name,price,location,sold,link,date
Acer Nitro 5 Laptop Gaming i7-10870H / 8GB / SSD 512 / VGA GTX 1650Ti 4GB / AN515-55-77MG,15.535.000,KOTA SURAKARTA (SOLO),0,https://shopee.co.id/Acer-Nitro-5-Laptop-Gaming-i7-10870H-8GB-SSD-512-VGA-GTX-1650Ti-4GB-AN515-55-77MG-i.6488816.7169470194,23-01-2021
Acer Nitro 5 Core i5-10300H / 8GB / SSD 512  / VGA GTX 1650Ti 4GB / FHD IPS 144Hz AN515-55,12.895.000,KOTA SURAKARTA (SOLO),0,https://shopee.co.id/Acer-Nitro-5-Core-i5-10300H-8GB-SSD-512-VGA-GTX-1650Ti-4GB-FHD-IPS-144Hz-AN515-55-i.6488816.1374698710,23-01-2021
"Acer Predator Helios 300  i7-10750H, 8GB, SSD 512, RTX2060 6gb Gaming",19.800.000,KOTA SURAKARTA (SOLO),0,https://shopee.co.id/Acer-Predator-Helios-300-i7-10750H-8GB-SSD-512-RTX2060-6gb-Gaming-i.6488816.4651305887,23-01-2021
"Laptop Acer Predator Nitro 5 i5 10300H GTX 1650 8GB 512GB 15.6"" FHD 144Hz AN515-55-58X3",12.369.000,KOTA JAKARTA PUSAT,127,https://shopee.co.id/Laptop-Acer-Predator-Nitro-5-i5-10300H-GTX-1650-8GB-512GB-15.6-FHD-144Hz-AN515-55-58X3-i.148846460.5317332378,23-01-2021
Acer i5 Gen7 RAM 8GB Nvidia 940MX Dual VGA Gaming Laptop Second E5-475 / 475G not rog asus nitro tuf,5.900.000,KOTA TANGERANG SELATAN,10,https://shopee.co.id/Acer-i5-Gen7-RAM-8GB-Nvidia-940MX-Dual-VGA-Gaming-Laptop-Second-E5-475-475G-not-rog-asus-nitro-tuf-i.6356067.2766117514,23-01-2021
Acer Predator Nitro 5 AN515 R2Z0 - 144Hz AMD Ryzen 5 4600 8GB 512ssd GTX1650Ti 4GB W10 + OFFICE,13.299.000,KOTA JAKARTA UTARA,6,https://shopee.co.id/Acer-Predator-Nitro-5-AN515-R2Z0-144Hz-AMD-Ryzen-5-4600-8GB-512ssd-GTX1650Ti-4GB-W10-OFFICE-i.78730497.3466239552,23-01-2021
Laptop Gaming Acer Nitro 5 AN515-55 | NH.Q7NSN.003,12.899.000,KOTA TANGERANG SELATAN,2,https://shopee.co.id/Laptop-Gaming-Acer-Nitro-5-AN515-55-NH.Q7NSN.003-i.155149633.3555311922,23-01-2021
Laptop Gaming Acer Nitro 5 AN515-44-R3Y8 | NH.Q9NSN.003,15.399.000,KOTA TANGERANG SELATAN,2,https://shopee.co.id/Laptop-Gaming-Acer-Nitro-5-AN515-44-R3Y8-NH.Q9NSN.003-i.155149633.6767795703,23-01-2021
Acer Predator Nitro 5 AN515-55-58X3 i5 10300 8GB 512ssd GTX1650Ti 4GB W10+OHS 15.6FHD 144Hz BLACK,12.499.000,KOTA JAKARTA UTARA,4,https://shopee.co.id/Acer-Predator-Nitro-5-AN515-55-58X3-i5-10300-8GB-512ssd-GTX1650Ti-4GB-W10-OHS-15.6FHD-144Hz-BLACK-i.225418842.3854978842,23-01-2021
ACER PREDATOR NITRO AN515-44 - RYZEN 7-4800H 8GB 512GB GTX1650Ti 4GB windows 10 home slim bezel,15.499.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/ACER-PREDATOR-NITRO-AN515-44-RYZEN-7-4800H-8GB-512GB-GTX1650Ti-4GB-windows-10-home-slim-bezel-i.27662413.7950698574,23-01-2021
Acer Nitro 5 AN515-55-58X3 [i5-10300H/W10+OHS] Black [NH.Q7NSN.003],12.599.000,KOTA JAKARTA TIMUR,6,https://shopee.co.id/Acer-Nitro-5-AN515-55-58X3-i5-10300H-W10-OHS-Black-NH.Q7NSN.003--i.37968209.6555653253,23-01-2021
Laptop ACER Nitro 5 AN515 | Ryzen 5 4600 8GB 512ssd GTX1650Ti 4GB W10+OHS 15.6FHD 144Hz |-44.R2Z0,13.499.000,KOTA JAKARTA UTARA,2,https://shopee.co.id/Laptop-ACER-Nitro-5-AN515-Ryzen-5-4600-8GB-512ssd-GTX1650Ti-4GB-W10-OHS-15.6FHD-144Hz-44.R2Z0-i.217781231.6055637484,23-01-2021
Acer Predator Nitro 5 AN515 i5 10300 8GB 512ssd GTX1650Ti 4GB W10+OHS 15.6FHD 144Hz -55.58X3,12.799.000,KOTA JAKARTA UTARA,2,https://shopee.co.id/Acer-Predator-Nitro-5-AN515-i5-10300-8GB-512ssd-GTX1650Ti-4GB-W10-OHS-15.6FHD-144Hz-55.58X3-i.250649369.6358910369,23-01-2021
ACER NITRO 5 AN515 44 R5 4600H R7 4800H GTX 1650 Ti 512GB 8GB RYZEN 5 7 R2Z0 R3Y8 PREDATOR,13.398.000,KAB. TANGERANG,1,https://shopee.co.id/ACER-NITRO-5-AN515-44-R5-4600H-R7-4800H-GTX-1650-Ti-512GB-8GB-RYZEN-5-7-R2Z0-R3Y8-PREDATOR-i.10257552.8702490069,23-01-2021
Acer nitro 5 5N515 54 second,12.824.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/Acer-nitro-5-5N515-54-second-i.118872664.5471905842,23-01-2021
ACER PREDATOR NITRO 7 AN715 - i7-9750H 8GB 512GB GTX1650 4GB 144Hz,15.500.000,KOTA SURABAYA,1,https://shopee.co.id/ACER-PREDATOR-NITRO-7-AN715-i7-9750H-8GB-512GB-GTX1650-4GB-144Hz-i.30815881.7215487743,23-01-2021
Acer Predator Nitro 5 Gaming Laptop i7 Gen 8 w/ GDDR5X 1060 6 GB,15.250.000,KOTA BANDUNG,2,https://shopee.co.id/Acer-Predator-Nitro-5-Gaming-Laptop-i7-Gen-8-w-GDDR5X-1060-6-GB-i.25348905.6202657862,23-01-2021
