name,price,location,sold,link,date
MSI GL65 LEOPARD 10SEK - 423ID | i7-10750H | RTX2060 6GB | 512GB NVME,21.499.000,KOTA JAKARTA BARAT,0,https://shopee.co.id/MSI-GL65-LEOPARD-10SEK-423ID-i7-10750H-RTX2060-6GB-512GB-NVME-i.41303795.7942118098,23-01-2021
Laptop Lenovo Second Berkualitas i5 / Bergaransi / Termurah Sikat Bosku,2.400.000,KOTA JAKARTA PUSAT,549,https://shopee.co.id/Laptop-Lenovo-Second-Berkualitas-i5-Bergaransi-Termurah-Sikat-Bosku-i.30169103.1949980283,23-01-2021
Laptop HP 14S-dk1123AU - Gold,6.699.000,KOTA TANGERANG SELATAN,2,https://shopee.co.id/Laptop-HP-14S-dk1123AU-Gold-i.155149633.9706045919,23-01-2021
Laptop Lenovo Thinkpad E530 i3 Gen 2 / Bergaransi / Termurah Sikat Bosku,2.250.000,KOTA JAKARTA PUSAT,2,https://shopee.co.id/Laptop-Lenovo-Thinkpad-E530-i3-Gen-2-Bergaransi-Termurah-Sikat-Bosku-i.30169103.4972977711,23-01-2021
Laptop Murah LENOVO THINKPAD X260 RAM 8GB SSD 256GB Original Bergaransi,5.100.000,KOTA BANDUNG,22,https://shopee.co.id/Laptop-Murah-LENOVO-THINKPAD-X260-RAM-8GB-SSD-256GB-Original-Bergaransi-i.250685702.3543856127,23-01-2021
ASUS ROG Strix G15 G512LI-I565B6T i5-10300H GTX 1650Ti 144Hz 8GB 512GB 15.6 Inch FHD,15.767.000,KOTA JAKARTA PUSAT,30,https://shopee.co.id/ASUS-ROG-Strix-G15-G512LI-I565B6T-i5-10300H-GTX-1650Ti-144Hz-8GB-512GB-15.6-Inch-FHD-i.148846460.3843591688,23-01-2021
ASUS ROG Zephyrus G14 GA401II-R55TA8G/R55TA8W - AMD Ryzen 5-4600HS 8GB 512GB SSD GTX1650Ti 120Hz,16.599.000,KOTA JAKARTA UTARA,31,https://shopee.co.id/ASUS-ROG-Zephyrus-G14-GA401II-R55TA8G-R55TA8W-AMD-Ryzen-5-4600HS-8GB-512GB-SSD-GTX1650Ti-120Hz-i.78730497.6345128840,23-01-2021
Asus ROG Super Gaming G531GT i5 GDDR5X 1650 FHD IPS,14.850.000,KOTA BANDUNG,1,https://shopee.co.id/Asus-ROG-Super-Gaming-G531GT-i5-GDDR5X-1650-FHD-IPS-i.25348905.3873321434,23-01-2021
Asus ROG GL552JX Gaming Desain i7 w/ GTX 950 IPS | GL552J Not GL553VD | G531GD | G531GT,10.350.000,KOTA BANDUNG,29,https://shopee.co.id/Asus-ROG-GL552JX-Gaming-Desain-i7-w-GTX-950-IPS-GL552J-Not-GL553VD-G531GD-G531GT-i.25348905.307834290,23-01-2021
Asus ROG Zephyrus M15 GU502LU i7 10750 16GB 512ssd GTX1660Ti 6GB W10 15.6FHD,19.499.000,KOTA JAKARTA UTARA,7,https://shopee.co.id/Asus-ROG-Zephyrus-M15-GU502LU-i7-10750-16GB-512ssd-GTX1660Ti-6GB-W10-15.6FHD-i.15641210.7452852106,23-01-2021
ASUS ROG Zephyrus GA401II-R75TA8W R7-4800HS/GTX1650Ti/8G/512G PCIe/120Hz/Moonlight white LED,22.268.000,KOTA JAKARTA UTARA,4,https://shopee.co.id/ASUS-ROG-Zephyrus-GA401II-R75TA8W-R7-4800HS-GTX1650Ti-8G-512G-PCIe-120Hz-Moonlight-white-LED-i.54873248.7136646316,23-01-2021
Asus ROG Zephyrus M15 GU502LW i7 10750 16GB 1TBssd RTX2070 8GB W10 15.6FHD 240Hz,25.649.000,KOTA JAKARTA UTARA,2,https://shopee.co.id/Asus-ROG-Zephyrus-M15-GU502LW-i7-10750-16GB-1TBssd-RTX2070-8GB-W10-15.6FHD-240Hz-i.15641210.7447424977,23-01-2021
Asus ROG Monster Slim Gaming GL702VM i7 w/ GTX 1060 6 GB,15.999.000,KOTA BANDUNG,1,https://shopee.co.id/Asus-ROG-Monster-Slim-Gaming-GL702VM-i7-w-GTX-1060-6-GB-i.25348905.6303785662,23-01-2021
ASUS ROG GA502IU Zephyrus G15 AMD Ryzen 9 4900H - RAM 8GB - 1TB SSD - GTX1660Ti 6GB - Black,22.999.000,KOTA JAKARTA TIMUR,2,https://shopee.co.id/ASUS-ROG-GA502IU-Zephyrus-G15-AMD-Ryzen-9-4900H-RAM-8GB-1TB-SSD-GTX1660Ti-6GB-Black-i.291375862.3252360313,23-01-2021
