name,price,location,sold,link,date
Laptop Asus - Asus Vivobook Flip - 2 in 1 - Bekas - Laptop Mulus,3.800.000,KAB. BANDUNG,0,https://shopee.co.id/Laptop-Asus-Asus-Vivobook-Flip-2-in-1-Bekas-Laptop-Mulus-i.349738611.8110782332,20-01-2021
ASUS VIVOBOOK A412U/A412FA INTEL PENTIUM GOLD 5405U RAM4GB SSD512/HDD1TB 14 FHD WINDOWS 10,6.499.000,KOTA JAKARTA PUSAT,905,https://shopee.co.id/ASUS-VIVOBOOK-A412U-A412FA-INTEL-PENTIUM-GOLD-5405U-RAM4GB-SSD512-HDD1TB-14-FHD-WINDOWS-10-i.32829345.4500595863,20-01-2021
ASUS VIVOBOOK E410MA INTEL N4020 RAM4GB SSD512GB 14FHD IPS WINDOWS 10+OFFICE ORIGINAL,5.999.000,KOTA JAKARTA PUSAT,41,https://shopee.co.id/ASUS-VIVOBOOK-E410MA-INTEL-N4020-RAM4GB-SSD512GB-14FHD-IPS-WINDOWS-10-OFFICE-ORIGINAL-i.32829345.4247742882,20-01-2021
Asus Vivobook Max X441MA-N4000/Ram 4GB/HDD 1000GB/14inch/Win10 Ori,4.990.000,KOTA BOGOR,1,https://shopee.co.id/Asus-Vivobook-Max-X441MA-N4000-Ram-4GB-HDD-1000GB-14inch-Win10-Ori-i.206148480.4973930021,20-01-2021
"ASUS Vivobook K413EQ-EB753TS 14"" FHD/Intel Core i7-1165G7/8GB/512GB SSD/Nvidia GeForce MX350/WIN 10",13.755.000,KOTA JAKARTA BARAT,1,https://shopee.co.id/ASUS-Vivobook-K413EQ-EB753TS-14-FHD-Intel-Core-i7-1165G7-8GB-512GB-SSD-Nvidia-GeForce-MX350-WIN-10-i.5677801.7474235257,20-01-2021
"Asus Vivobook X441BA GA441T GA442T | AMD A4 9125 RAM 4GB 1TB VGA AMD R3 14"" WIN10",4.449.000,KOTA YOGYAKARTA,5,https://shopee.co.id/Asus-Vivobook-X441BA-GA441T-GA442T-AMD-A4-9125-RAM-4GB-1TB-VGA-AMD-R3-14-WIN10-i.287183392.7265937236,20-01-2021
"Asus VivoBook K413EQ-EB552TS i5-1135G7 MX350 2GB 8GB RAM 512GB 14"" FHD",11.948.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/Asus-VivoBook-K413EQ-EB552TS-i5-1135G7-MX350-2GB-8GB-RAM-512GB-14-FHD-i.148846460.8005854192,20-01-2021
ASUS VIVOBOOK FLIP 14 TP401MA INTEL N4020 RAM4GB SSD 256GB 14 TOUCHSCREEN WINDOWS 10+OFFICE ORIGINAL,7.499.000,KOTA JAKARTA PUSAT,61,https://shopee.co.id/ASUS-VIVOBOOK-FLIP-14-TP401MA-INTEL-N4020-RAM4GB-SSD-256GB-14-TOUCHSCREEN-WINDOWS-10-OFFICE-ORIGINAL-i.32829345.3239748961,20-01-2021
LAPTOP ASUS VIVOBOOK A412FA Intel Pentium Gold 5405U 14''FHD / 1TB HDD + 256 SSD/  WIN 10,7.175.000,KOTA JAKARTA PUSAT,218,https://shopee.co.id/LAPTOP-ASUS-VIVOBOOK-A412FA-Intel-Pentium-Gold-5405U-14''FHD-1TB-HDD-256-SSD-WIN-10-i.141973518.6913724262,20-01-2021
ASUS VivoBook Pentium Gold A412FA-EK54011T Intel N5405U 4GB 1TB 14 Inch FHD A412FA-EK54012T EK54013T,6.341.000,KOTA JAKARTA PUSAT,38,https://shopee.co.id/ASUS-VivoBook-Pentium-Gold-A412FA-EK54011T-Intel-N5405U-4GB-1TB-14-Inch-FHD-A412FA-EK54012T-EK54013T-i.148846460.4145264450,20-01-2021
