name,price,location,sold,link,date
ASUS Zenbook UM425IA - AMD Ryzen 5 4500 8GB 512ssd Vega 6 W10+OHS 14 FHD,12.699.000,KOTA JAKARTA UTARA,4,https://shopee.co.id/ASUS-Zenbook-UM425IA-AMD-Ryzen-5-4500-8GB-512ssd-Vega-6-W10-OHS-14-FHD-i.78730497.5651443033,22-01-2021
Asus Zenbook UX425EA BM551TS/BM552TS i5 1135G7 8GB 512ssd IrisXe 80EU W10+OHS 14.0FHD Npad,14.099.000,KOTA JAKARTA UTARA,6,https://shopee.co.id/Asus-Zenbook-UX425EA-BM551TS-BM552TS-i5-1135G7-8GB-512ssd-IrisXe-80EU-W10-OHS-14.0FHD-Npad-i.250649369.4863498006,22-01-2021
Asus Zenbook Flip UM462DA  - AMD Ryzen 5 3500U 8GB 512ssd Vega 8 W10 14FHD,12.299.000,KOTA JAKARTA UTARA,22,https://shopee.co.id/Asus-Zenbook-Flip-UM462DA-AMD-Ryzen-5-3500U-8GB-512ssd-Vega-8-W10-14FHD-i.78730497.3108369066,22-01-2021
"ASUS ZENBOOK FLIP 14 UM462DA AI501TS - RYZEN R5 3500U - 8GB - 512GB - 14""FHD 100%sRGB - W10 - OFFICE",12.399.000,KOTA JAKARTA BARAT,4,https://shopee.co.id/ASUS-ZENBOOK-FLIP-14-UM462DA-AI501TS-RYZEN-R5-3500U-8GB-512GB-14-FHD-100-sRGB-W10-OFFICE-i.30555036.3916037687,22-01-2021
ASUS Zenbook Q407iQ AMD Ryzen 5-4500u 8GB 256SSD Win10,11.000.000,KOTA MALANG,4,https://shopee.co.id/ASUS-Zenbook-Q407iQ-AMD-Ryzen-5-4500u-8GB-256SSD-Win10-i.164898651.3762298608,22-01-2021
"Asus Zenbook Q407iQ AMD Ryzen 5 4500/RAM 8GB/512GB SSD MX350-2GB 14.2"" FHD GREY",11.599.000,KOTA JAKARTA TIMUR,1,https://shopee.co.id/Asus-Zenbook-Q407iQ-AMD-Ryzen-5-4500-RAM-8GB-512GB-SSD-MX350-2GB-14.2-FHD-GREY-i.238865572.5166219737,22-01-2021
Asus Zenbook Flip UM462DA - AMD Ryzen 7 3700 8GB 512ssd Vega 10 W10 14FHD,13.699.000,KOTA JAKARTA UTARA,1,https://shopee.co.id/Asus-Zenbook-Flip-UM462DA-AMD-Ryzen-7-3700-8GB-512ssd-Vega-10-W10-14FHD-i.78730497.4808049445,22-01-2021
"Asus Zenbook 14 UM431DA Ryzen 7 3700U 8GB 512GB SSD Vega 10 Windows10 14.0"" FHD",10.999.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/Asus-Zenbook-14-UM431DA-Ryzen-7-3700U-8GB-512GB-SSD-Vega-10-Windows10-14.0-FHD-i.261550444.3938937591,22-01-2021
ASUS ZENBOOK FLIP 14 UM462DA Ryzen 7,13.999.000,KOTA MEDAN,1,https://shopee.co.id/ASUS-ZENBOOK-FLIP-14-UM462DA-Ryzen-7-i.13315074.4338494293,22-01-2021
ASUS Zenbook UM425IA - AMD Ryzen 5 4500 8GB 512ssd Vega 6 W10+OHS 14 FHD,12.699.000,KOTA JAKARTA UTARA,4,https://shopee.co.id/ASUS-Zenbook-UM425IA-AMD-Ryzen-5-4500-8GB-512ssd-Vega-6-W10-OHS-14-FHD-i.78730497.5651443033,22-01-2021
"LAPTOP ASUS ZENBOOK UX331FAL - i5 8265U-8GB-256GB-13.3""IPS FHD WIN10",12.190.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/LAPTOP-ASUS-ZENBOOK-UX331FAL-i5-8265U-8GB-256GB-13.3-IPS-FHD-WIN10-i.120447940.2769095084,22-01-2021
Asus Zenbook Q407IQ Ryzen 5-4500u 8GB 256GB MX350 2GB Win10 14 FHD,10.799.000,KOTA JAKARTA PUSAT,3,https://shopee.co.id/Asus-Zenbook-Q407IQ-Ryzen-5-4500u-8GB-256GB-MX350-2GB-Win10-14-FHD-i.47045592.5148235338,22-01-2021
Asus Zenbook Duo Touch UX481FA i7 10510 8GB 512ssd W10 14.0FHD,19.699.000,KOTA JAKARTA SELATAN,4,https://shopee.co.id/Asus-Zenbook-Duo-Touch-UX481FA-i7-10510-8GB-512ssd-W10-14.0FHD-i.257997524.6041206455,22-01-2021
Asus Zenbook UX325EA i7 1165G7 16GB 512 SSD Iris Xe 96EU FHD FREE OHS GARANSI RESMI,18.699.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/Asus-Zenbook-UX325EA-i7-1165G7-16GB-512-SSD-Iris-Xe-96EU-FHD-FREE-OHS-GARANSI-RESMI-i.161934666.4068457527,22-01-2021
"ASUS ZENBOOK UM425IA - RYZEN 5- 4500U - 8GB - 512GB - 14""FHD - WIN10 - OFFICE HOME STUDENT - NUMPAD",12.999.000,KOTA JAKARTA BARAT,36,https://shopee.co.id/ASUS-ZENBOOK-UM425IA-RYZEN-5-4500U-8GB-512GB-14-FHD-WIN10-OFFICE-HOME-STUDENT-NUMPAD-i.174585297.6330301600,22-01-2021
ASUS ZENBOOK UX425EA BM551T BM552T - i5-1135G7 - 8GB - 512GB - 14”FHD 100%sRGB - W10 - NUMPAD-OFFICE,14.399.000,KOTA JAKARTA BARAT,3,https://shopee.co.id/ASUS-ZENBOOK-UX425EA-BM551T-BM552T-i5-1135G7-8GB-512GB-14”FHD-100-sRGB-W10-NUMPAD-OFFICE-i.30555036.5151709593,22-01-2021
"ASUS ZenBook 14 UX425JA - i5-1035G1 8GB 512GB SSD WIN10 14""FHD",14.775.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/ASUS-ZenBook-14-UX425JA-i5-1035G1-8GB-512GB-SSD-WIN10-14-FHD-i.56983549.7849118751,22-01-2021
