name,price,location,sold,link,date
SALE Dell Inspiron 3476 Core i3-7020|4GB|1TB|VGA 2GB|WIN 10/RESMI,6.929.650,KOTA SURABAYA,2,https://shopee.co.id/SALE-Dell-Inspiron-3476-Core-i3-7020-4GB-1TB-VGA-2GB-WIN-10-RESMI-i.62641692.1959193236,20-01-2021
Dell Inspiron 11 3162 Intel N3060 2GB 500GB 11.6 Inch DOS ,4.000.000,KOTA JAKARTA BARAT,1,https://shopee.co.id/Dell-Inspiron-11-3162-Intel-N3060-2GB-500GB-11.6-Inch-DOS-i.12636180.169617721,20-01-2021
Dell Inspiron 5406 [Ci7-1165G7-8-512-NVD-W10-OHS] DELL OFFICIAL,15.999.000,KOTA JAKARTA PUSAT,3,https://shopee.co.id/Dell-Inspiron-5406-Ci7-1165G7-8-512-NVD-W10-OHS-DELL-OFFICIAL-i.28185347.4167806913,20-01-2021
LAPTOP DELL INSPIRON 14 3000 CORE I7-8550U,7.900.000,KOTA JAKARTA BARAT,1,https://shopee.co.id/LAPTOP-DELL-INSPIRON-14-3000-CORE-I7-8550U-i.161292590.4710605428,20-01-2021
"DELL Inspiron 3671 MT i7-9700 GTX 1650 8GB 1TB+256GB SSD Win10 Home + LED 19.5""",16.399.900,KOTA JAKARTA PUSAT,1,https://shopee.co.id/DELL-Inspiron-3671-MT-i7-9700-GTX-1650-8GB-1TB-256GB-SSD-Win10-Home-LED-19.5--i.85424513.5541605008,20-01-2021
DELL Inspiron 14 3467 (Core i3-7020) 4 GB HDD 1 TB  w10,5.700.000,KOTA JAKARTA PUSAT,2,https://shopee.co.id/DELL-Inspiron-14-3467-(Core-i3-7020)-4-GB-HDD-1-TB-w10-i.77745422.1399805528,20-01-2021
"Laptop Dell inspiron 5448 intel core i3-5005u ram 4gb hdd 500 gb, dual vga",3.800.000,KOTA BOGOR,1,https://shopee.co.id/Laptop-Dell-inspiron-5448-intel-core-i3-5005u-ram-4gb-hdd-500-gb-dual-vga-i.163364264.4157914187,20-01-2021
Paketan Pc Dell Inspiron Core I3 7100 Ram 8 Gb Hdd 1 Tb Murah Berkualias,3.600.000,KOTA JAKARTA TIMUR,1,https://shopee.co.id/Paketan-Pc-Dell-Inspiron-Core-I3-7100-Ram-8-Gb-Hdd-1-Tb-Murah-Berkualias-i.31519229.7255432112,20-01-2021
Dell inspiron 3443,4.800.000,KOTA JAKARTA SELATAN,1,https://shopee.co.id/Dell-inspiron-3443-i.124680905.6235869200,20-01-2021
laptop seken Dell inspiron 14 black,4.100.000,KAB. BLITAR,1,https://shopee.co.id/laptop-seken-Dell-inspiron-14-black-i.6561044.7656618553,20-01-2021
LAPTOP Dell INSPIRON 3581 I3-7020U 4GB 1TB WIN10HSL 1YR,6.500.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/LAPTOP-Dell-INSPIRON-3581-I3-7020U-4GB-1TB-WIN10HSL-1YR-i.77745422.6714523992,20-01-2021
Dell Inspiron 7447 i7-47100HQ/8GB/1TB/GTX 850-4GB Second,6.999.000,KAB. BANDUNG,1,https://shopee.co.id/Dell-Inspiron-7447-i7-47100HQ-8GB-1TB-GTX-850-4GB-Second-i.120696526.4016062908,20-01-2021
DELL Inspiron 5447 INTEL CORE I7-4510U RAM8GB HDD1TB WINDOWS 10,3.000.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/DELL-Inspiron-5447-INTEL-CORE-I7-4510U-RAM8GB-HDD1TB-WINDOWS-10-i.186855095.7060441040,20-01-2021
DELL Inspiron 3481-I3 7020|4 GB|1 TB HDD|Amd radeon 520 2 GB|Windows,6.500.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/DELL-Inspiron-3481-I3-7020-4-GB-1-TB-HDD-Amd-radeon-520-2-GB-Windows-i.77745422.3214677060,20-01-2021
DELL INSPIRON 14-3467 4GB/1TB,3.400.000,KOTA MEDAN,1,https://shopee.co.id/DELL-INSPIRON-14-3467-4GB-1TB-i.164465638.3255822536,20-01-2021
HARGA PROMOOO DELL INSPIRON 14R 5437,7.250.000,KOTA JAKARTA TIMUR,1,https://shopee.co.id/HARGA-PROMOOO-DELL-INSPIRON-14R-5437-i.24907667.300643410,20-01-2021
Laptop Dell inspiron 3442 Ram 2gb HDD 500gb core i3 Like new,2.800.000,KOTA TANGERANG,1,https://shopee.co.id/Laptop-Dell-inspiron-3442-Ram-2gb-HDD-500gb-core-i3-Like-new-i.236551506.7952167721,20-01-2021
