name,price,location,sold,link,date
HP Pav Gaming 15-DK1064TX (Black Green) -  Intel i5-10300H(2.5Ghz),16.299.000,KOTA MAKASSAR,0,https://shopee.co.id/HP-Pav-Gaming-15-DK1064TX-(Black-Green)-Intel-i5-10300H(2.5Ghz)-i.241679293.6358973229,14-01-2021
HP Pavilion Gaming 15 ec1076ax - AMD Ryzen 7 4800 16GB 512ssd GTX1660Ti 6GB W10+OHS 15.6FHD,16.549.000,KOTA JAKARTA UTARA,14,https://shopee.co.id/HP-Pavilion-Gaming-15-ec1076ax-AMD-Ryzen-7-4800-16GB-512ssd-GTX1660Ti-6GB-W10-OHS-15.6FHD-i.78730497.4159163349,14-01-2021
HP 22-C0035D AIO(White) | Intel Core i3-8130U | Intel Graphics 620 |RAM 4GB | HDD 1TB | W10,8.550.000,KOTA MAKASSAR,0,https://shopee.co.id/HP-22-C0035D-AIO(White)-Intel-Core-i3-8130U-Intel-Graphics-620-RAM-4GB-HDD-1TB-W10-i.241679293.7151284312,14-01-2021
Pc Hp Slimline S01-PD0111 (Black) | Intel Core i7-8700 | RAM 8 GB | SSD 512 GB | GeForce GT730 2GB,12.600.000,KOTA MAKASSAR,0,https://shopee.co.id/Pc-Hp-Slimline-S01-PD0111-(Black)-Intel-Core-i7-8700-RAM-8-GB-SSD-512-GB-GeForce-GT730-2GB-i.241679293.4867993434,14-01-2021
Pc Hp Slimline S01-PD0105L | Intel Core i5-8400 | RAM 4GB | HDD 1TB,7.300.000,KOTA MAKASSAR,0,https://shopee.co.id/Pc-Hp-Slimline-S01-PD0105L-Intel-Core-i5-8400-RAM-4GB-HDD-1TB-i.241679293.4458975188,14-01-2021
HP OMEN 15 GTX 1660Ti - 144HZ - RYZEN 7 4800H - 16GB RAM - 512GB SSD - Mica Silver,18.049.000,KOTA JAKARTA PUSAT,6,https://shopee.co.id/HP-OMEN-15-GTX-1660Ti-144HZ-RYZEN-7-4800H-16GB-RAM-512GB-SSD-Mica-Silver-i.259973835.7757715546,14-01-2021
HP OMEN 15 GTX 1660Ti - 144HZ - RYZEN 7 4800H - 16GB RAM - 1TB SSD - Mica Silver,18.699.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/HP-OMEN-15-GTX-1660Ti-144HZ-RYZEN-7-4800H-16GB-RAM-1TB-SSD-Mica-Silver-i.259973835.9707153672,14-01-2021
HP Omen 15 Ryzen 7 4800 16GB 512ssd | 1TB SSD GTX1660Ti 6GB W10 15.6FHD,17.849.000,KOTA JAKARTA UTARA,2,https://shopee.co.id/HP-Omen-15-Ryzen-7-4800-16GB-512ssd-1TB-SSD-GTX1660Ti-6GB-W10-15.6FHD-i.15641210.5556772980,14-01-2021
HP Omen 15 i7 9750 16GB 1TB+512ssd RTX2060 6GB W10 15.6FHD,20.699.000,KOTA JAKARTA SELATAN,3,https://shopee.co.id/HP-Omen-15-i7-9750-16GB-1TB-512ssd-RTX2060-6GB-W10-15.6FHD-i.257997524.6757340732,14-01-2021
"HP Omen 15 2020 Ryzen 7-4800H 16GB 512GB GTX1660Ti 6GB Win10 15,6 FHD",17.999.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/HP-Omen-15-2020-Ryzen-7-4800H-16GB-512GB-GTX1660Ti-6GB-Win10-15-6-FHD-i.47045592.5756766055,14-01-2021
