name,price,location,sold,link,date
Laptop Murah Lenovo Thinkpad T440P Ci5 Tangguh dan Engsel Kokoh,3.450.000,KOTA JAKARTA PUSAT,0,https://shopee.co.id/Laptop-Murah-Lenovo-Thinkpad-T440P-Ci5-Tangguh-dan-Engsel-Kokoh-i.20247673.7045171272,14-01-2021
Laptop Second i5 Lenovo Thinkpad T410,2.350.000,KOTA JAKARTA BARAT,23,https://shopee.co.id/Laptop-Second-i5-Lenovo-Thinkpad-T410-i.18727563.6610715241,14-01-2021
Laptop Lenovo ThinkPad X260 i5 Gen 6 8/256 Bergaransi Dan Murah,5.100.000,KOTA BANDUNG,0,https://shopee.co.id/Laptop-Lenovo-ThinkPad-X260-i5-Gen-6-8-256-Bergaransi-Dan-Murah-i.77276577.6472173105,14-01-2021
Lenovo Legion Y530 - 73ID Core i7-8750H / RAM 8GB / Intel Optane / Windows 10 - Free Mouse Gaming,15.740.000,KOTA SURAKARTA (SOLO),0,https://shopee.co.id/Lenovo-Legion-Y530-73ID-Core-i7-8750H-RAM-8GB-Intel-Optane-Windows-10-Free-Mouse-Gaming-i.6488816.1657401687,14-01-2021
LENOVO THINKPAD X220 i5 |RAM 4GB |HDD 320GB |MULUSSS |BERGARANSI |MANTAPPP,2.399.000,KOTA JAKARTA UTARA,0,https://shopee.co.id/LENOVO-THINKPAD-X220-i5-RAM-4GB-HDD-320GB-MULUSSS-BERGARANSI-MANTAPPP-i.214933471.3354724429,14-01-2021
Lenovo ideapad 3i 14IGL05 N4020 4GB/256GB SSD/W10 OHS Red/Grey,4.999.000,KOTA JAKARTA PUSAT,2,https://shopee.co.id/Lenovo-ideapad-3i-14IGL05-N4020-4GB-256GB-SSD-W10-OHS-Red-Grey-i.24011016.4970800196,14-01-2021
"LENOVO IDEAPAD SLIM 3 + OHS (AMD 3020e Win10  256GB SSD 14"" HD TN )WIN 10",5.475.000,KOTA JAKARTA PUSAT,2,https://shopee.co.id/LENOVO-IDEAPAD-SLIM-3-OHS-(AMD-3020e-Win10-256GB-SSD-14-HD-TN-)WIN-10-i.141973518.6970861155,14-01-2021
"LENOVO Ideapad Slim 3 14ADA05 14"" HD/AMD 3020e/4GB/256GB SSD/Win10+OHS",5.488.000,KOTA JAKARTA UTARA,1,https://shopee.co.id/LENOVO-Ideapad-Slim-3-14ADA05-14-HD-AMD-3020e-4GB-256GB-SSD-Win10-OHS-i.257244871.5273132361,14-01-2021
"Lenovo Ideapad 330-14ast Intel Celeron N4000, Ramal 4gb HDD 1tb, mulus-second",4.100.000,KOTA BOGOR,1,https://shopee.co.id/Lenovo-Ideapad-330-14ast-Intel-Celeron-N4000-Ramal-4gb-HDD-1tb-mulus-second-i.163364264.4272575381,14-01-2021
Lenovo Ideapad Slim 5i 14ITL05 i5-1135G7 / 8GB_DDR4 / 512GB / 2Y Premium Care / Graphite Grey,11.160.000,KOTA JAKARTA UTARA,2,https://shopee.co.id/Lenovo-Ideapad-Slim-5i-14ITL05-i5-1135G7-8GB_DDR4-512GB-2Y-Premium-Care-Graphite-Grey-i.51115741.3469263374,14-01-2021
LENOVO IDEAPAD SLIM 3i - 14IGL05,5.299.000,KOTA MEDAN,1,https://shopee.co.id/LENOVO-IDEAPAD-SLIM-3i-14IGL05-i.13315074.9603503842,14-01-2021
"LENOVO IDEAPAD SLIM 3 - INTEL N4020 - 4GB - 256 GB SSD - 14""- WIN10 - OFFICE HOME STUDENT",5.699.000,KOTA KEDIRI,3,https://shopee.co.id/LENOVO-IDEAPAD-SLIM-3-INTEL-N4020-4GB-256-GB-SSD-14-WIN10-OFFICE-HOME-STUDENT-i.6689776.8302511495,14-01-2021
Lenovo Ideapad 3 15 Ryzen 5-3500U 8GB 256GB AMD Radeon Win10 15.6 FHD,8.199.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/Lenovo-Ideapad-3-15-Ryzen-5-3500U-8GB-256GB-AMD-Radeon-Win10-15.6-FHD-i.47045592.7569070144,14-01-2021
Lenovo Ideapad Slim 5i 14 i5 1135G7 8GB 512ssd W10+OHS 14.0FHD IPS 2Yr ADP -5JID/5LID,10.499.000,KOTA JAKARTA UTARA,2,https://shopee.co.id/Lenovo-Ideapad-Slim-5i-14-i5-1135G7-8GB-512ssd-W10-OHS-14.0FHD-IPS-2Yr-ADP-5JID-5LID-i.250649369.4769494714,14-01-2021
LENOVO IDEAPAD 3 14IIL INTEL I3 1005G1 8/4GB 512GB SSD INTEL GRAPHICS WIN10HOME + OHS,7.820.000,KOTA JAKARTA SELATAN,2,https://shopee.co.id/LENOVO-IDEAPAD-3-14IIL-INTEL-I3-1005G1-8-4GB-512GB-SSD-INTEL-GRAPHICS-WIN10HOME-OHS-i.237770067.6871543664,14-01-2021
LAPTOP IDEAPAD SLIM 3 AMD RYZEN 5-3500U RAM 8GB 256GB SSD,8.600.000,KOTA TANGERANG,0,https://shopee.co.id/LAPTOP-IDEAPAD-SLIM-3-AMD-RYZEN-5-3500U-RAM-8GB-256GB-SSD-i.54184692.5075828692,14-01-2021
Laptop Lenovo T530 i5 Gen 3 Berkualitas Bergaransi Dan Murah,2.750.000,KOTA BANDUNG,0,https://shopee.co.id/Laptop-Lenovo-T530-i5-Gen-3-Berkualitas-Bergaransi-Dan-Murah-i.77276577.7274505037,14-01-2021
LEPTOP PC LENOVO 1P3 core i3 -1005G1 4GB 512GB,8.399.000,KOTA BEKASI,0,https://shopee.co.id/LEPTOP-PC-LENOVO-1P3-core-i3-1005G1-4GB-512GB-i.159956412.4466429062,14-01-2021
