name,price,location,sold,link,date
Lenovo Legion 5-2XID - AMD Ryzen 7-4800H 16GB 512ssd GTX1650Ti 4GB W10+OHS 15.6FHD 144Hz FREE OFFICE,17.699.000,KOTA JAKARTA UTARA,22,https://shopee.co.id/Lenovo-Legion-5-2XID-AMD-Ryzen-7-4800H-16GB-512ssd-GTX1650Ti-4GB-W10-OHS-15.6FHD-144Hz-FREE-OFFICE-i.78730497.3338614370,16-01-2021
Lenovo Legion 7i Intel 6DID i7 10875H 32GB RTX2070 8GB NVIDIA 1TB SSD 15 FHD WVA 144Hz Win10 OHS RGB,35.999.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/Lenovo-Legion-7i-Intel-6DID-i7-10875H-32GB-RTX2070-8GB-NVIDIA-1TB-SSD-15-FHD-WVA-144Hz-Win10-OHS-RGB-i.26026296.5650499978,16-01-2021
"Lenovo Legion 5i Intel K9ID i7 10750H 16GB GTX 1650Ti 4G NVIDIA 512 SSD 15"" FHD WVA 144Hz Win10 OHS",19.999.000,KOTA JAKARTA PUSAT,2,https://shopee.co.id/Lenovo-Legion-5i-Intel-K9ID-i7-10750H-16GB-GTX-1650Ti-4G-NVIDIA-512-SSD-15-FHD-WVA-144Hz-Win10-OHS-i.26026296.3667482275,16-01-2021
"Lenovo Legion 5i Intel MUID i7 10750H 16GB RTX 2060 6GB NVIDIA 512GB SSD 15"" FHD WVA 144Hz Win10 OHS",23.999.000,KOTA JAKARTA PUSAT,4,https://shopee.co.id/Lenovo-Legion-5i-Intel-MUID-i7-10750H-16GB-RTX-2060-6GB-NVIDIA-512GB-SSD-15-FHD-WVA-144Hz-Win10-OHS-i.26026296.7667394722,16-01-2021
Laptop DELL LATITUDE 7450 I5 GEN 5 RAM 8GB SSD 240GB Mulus Bergaransi,5.000.000,KOTA BANDUNG,19,https://shopee.co.id/Laptop-DELL-LATITUDE-7450-I5-GEN-5-RAM-8GB-SSD-240GB-Mulus-Bergaransi-i.250685702.3632049008,16-01-2021
LENOVO LEGION 5 A5ID RYZEN 5 4600H 16GB 512GB GTX 1650TI 120HZ NOT MLID 2WID 40ID,17.888.000,KOTA TANGERANG,8,https://shopee.co.id/LENOVO-LEGION-5-A5ID-RYZEN-5-4600H-16GB-512GB-GTX-1650TI-120HZ-NOT-MLID-2WID-40ID-i.10257552.5544194213,16-01-2021
Lenovo Legion 5 15 Ryzen 5 4600 16GB 1TB+256ssd GTX1650Ti 4GB W10 15.6FHD,13.799.000,KOTA JAKARTA UTARA,1,https://shopee.co.id/Lenovo-Legion-5-15-Ryzen-5-4600-16GB-1TB-256ssd-GTX1650Ti-4GB-W10-15.6FHD-i.15641210.4857133096,16-01-2021
"Laptop Gaming LENOVO LEGION 5-2GID R7-4800H 8GBX2 512GB RTX2060 6GB 15,6"" WIN10+OPI P.BLACk",21.999.000,KOTA TANGERANG SELATAN,2,https://shopee.co.id/Laptop-Gaming-LENOVO-LEGION-5-2GID-R7-4800H-8GBX2-512GB-RTX2060-6GB-15-6-WIN10-OPI-P.BLACk-i.91649692.7668661112,16-01-2021
Laptop LENOVO Legion 5i 15IMH | i7 10750 16GB 512ssd GTX1650Ti 4GB W10 15.6FHD RGB |,15.549.000,KOTA JAKARTA UTARA,10,https://shopee.co.id/Laptop-LENOVO-Legion-5i-15IMH-i7-10750-16GB-512ssd-GTX1650Ti-4GB-W10-15.6FHD-RGB--i.217781231.3642529472,16-01-2021
Lenovo Legion Y545 15iRH i7 9750 16GB 1TB+512ssd GTX1660Ti 6GB W10 15.6FHD,15.849.000,KOTA JAKARTA UTARA,4,https://shopee.co.id/Lenovo-Legion-Y545-15iRH-i7-9750-16GB-1TB-512ssd-GTX1660Ti-6GB-W10-15.6FHD-i.15641210.4418556161,16-01-2021
LENOVO LEGION 5 Ryzen 7 - 4800H,19.099.000,KOTA MOJOKERTO,1,https://shopee.co.id/LENOVO-LEGION-5-Ryzen-7-4800H-i.268490859.3260029586,16-01-2021
Laptop LENOVO Legion 7i | i7 10750 16GB 1TBssd RTX2070 8GB W10 15.6FHD |,25.999.000,KOTA JAKARTA UTARA,3,https://shopee.co.id/Laptop-LENOVO-Legion-7i-i7-10750-16GB-1TBssd-RTX2070-8GB-W10-15.6FHD--i.217781231.5250380324,16-01-2021
LENOVO LEGION 5 RYZEN 7-4800H 16GB 512GB GTX1650Ti 4GB 144Hz Win10+OHS 4 zone RGB,18.399.000,KOTA JAKARTA BARAT,2,https://shopee.co.id/LENOVO-LEGION-5-RYZEN-7-4800H-16GB-512GB-GTX1650Ti-4GB-144Hz-Win10-OHS-4-zone-RGB-i.30121154.7139192641,16-01-2021
Laptop Gaming Lenovo Legion 5i 15IMH i7 10750 16GB 512ssd GTX1650Ti 4GB W10 15.6FHD RGB 120 Hz,15.999.000,KOTA JAKARTA UTARA,2,https://shopee.co.id/Laptop-Gaming-Lenovo-Legion-5i-15IMH-i7-10750-16GB-512ssd-GTX1650Ti-4GB-W10-15.6FHD-RGB-120-Hz-i.225418842.3760377203,16-01-2021
LAPTOP GAMING Lenovo legion 5i 15iMH i7 10750 16GB 512ssd GTX1660Ti 6GB W10 15.6FHD,17.799.000,KOTA JAKARTA SELATAN,1,https://shopee.co.id/LAPTOP-GAMING-Lenovo-legion-5i-15iMH-i7-10750-16GB-512ssd-GTX1660Ti-6GB-W10-15.6FHD-i.241683399.4562470193,16-01-2021
Lenovo Legion 5 15 Ryzen 5 4600 - GTX 1650Ti - 1TB + 256GB SSD - 120HZ,13.799.000,KOTA JAKARTA PUSAT,3,https://shopee.co.id/Lenovo-Legion-5-15-Ryzen-5-4600-GTX-1650Ti-1TB-256GB-SSD-120HZ-i.364038165.9305788765,16-01-2021
Laptop LENOVO Legion 5 | Ryzen 5 4600 16GB 512ssd RTX2060 6GB W10 15.6FHD 144Hz 100% sRGB |,18.199.000,KOTA JAKARTA UTARA,4,https://shopee.co.id/Laptop-LENOVO-Legion-5-Ryzen-5-4600-16GB-512ssd-RTX2060-6GB-W10-15.6FHD-144Hz-100-sRGB--i.217781231.3638941606,16-01-2021
Lenovo Legion 5 A5ID - 144hz AMD Ryzen 5 4600H 16GB 512SSD RTX2060 6GB W10+OHS 15.6FHD,18.199.000,KOTA JAKARTA UTARA,5,https://shopee.co.id/Lenovo-Legion-5-A5ID-144hz-AMD-Ryzen-5-4600H-16GB-512SSD-RTX2060-6GB-W10-OHS-15.6FHD-i.78730497.8902104458,16-01-2021
Lenovo Legion 5i 15 CGUS CORE i7 10750/RAM 8GB/512GB SSD/GTX1650Ti-4GB/15.6/FHD 120HZ/WIN10,15.549.000,KOTA JAKARTA TIMUR,1,https://shopee.co.id/Lenovo-Legion-5i-15-CGUS-CORE-i7-10750-RAM-8GB-512GB-SSD-GTX1650Ti-4GB-15.6-FHD-120HZ-WIN10-i.238865572.7466464595,16-01-2021
Laptop LENOVO Legion Y545 15iRH | i7 9750 16GB 1TB+512ssd GTX1660Ti 6GB 15.6FHD W10 |,15.849.000,KOTA JAKARTA UTARA,1,https://shopee.co.id/Laptop-LENOVO-Legion-Y545-15iRH-i7-9750-16GB-1TB-512ssd-GTX1660Ti-6GB-15.6FHD-W10--i.217781231.3834541508,16-01-2021
LAPTOP PC ACER A314-22 Ryzen 3 -3250 Win 10+ OHS,7.199.000,KOTA BEKASI,0,https://shopee.co.id/LAPTOP-PC-ACER-A314-22-Ryzen-3-3250-Win-10-OHS-i.159956412.7170083553,16-01-2021
"Macbook Air 2020 13"" inch 1.1GHz i3 8GB 256GB Touch ID Grey Silver Gold",13.667.000,KOTA JAKARTA PUSAT,36,https://shopee.co.id/Macbook-Air-2020-13-inch-1.1GHz-i3-8GB-256GB-Touch-ID-Grey-Silver-Gold-i.820366.3228787887,16-01-2021
LEPTOP PC LENOVO 1P3 core i3 -1005G1 4GB 512GB,8.399.000,KOTA BEKASI,0,https://shopee.co.id/LEPTOP-PC-LENOVO-1P3-core-i3-1005G1-4GB-512GB-i.159956412.4466429062,16-01-2021
HP Gaming Pavilion 15-dk1064TX i5-103000H 8GB 512GB SSD RTX2060 Win 10+OHS,15.699.000,KOTA JAKARTA BARAT,3,https://shopee.co.id/HP-Gaming-Pavilion-15-dk1064TX-i5-103000H-8GB-512GB-SSD-RTX2060-Win-10-OHS-i.30121154.2754102130,16-01-2021
Laptop bekas murah Intel Core i5 HDD 320GB RAM 4GB,1.990.000,KOTA JAKARTA PUSAT,11,https://shopee.co.id/Laptop-bekas-murah-Intel-Core-i5-HDD-320GB-RAM-4GB-i.68731002.4601096914,16-01-2021
LENOVO LEGION Y740-15IRHG,26.999.000,KOTA MEDAN,1,https://shopee.co.id/LENOVO-LEGION-Y740-15IRHG-i.13315074.2472897385,16-01-2021
Lenovo Legion 5 A7ID - 144Hz AMD Ryzen 7 4800 16GB 512ssd RTX2060 6GB W10+OHS 15.6FHD,21.399.000,KOTA JAKARTA UTARA,3,https://shopee.co.id/Lenovo-Legion-5-A7ID-144Hz-AMD-Ryzen-7-4800-16GB-512ssd-RTX2060-6GB-W10-OHS-15.6FHD-i.78730497.4269751439,16-01-2021
Lenovo Legion 5 Ryzen 7 4800H RTX2060 6GB 512GB SSD 16GB WIN10 + OHS Original,22.099.000,KOTA JAKARTA BARAT,1,https://shopee.co.id/Lenovo-Legion-5-Ryzen-7-4800H-RTX2060-6GB-512GB-SSD-16GB-WIN10-OHS-Original-i.30121154.7771362258,16-01-2021
Lenovo Legion 5-MLID - AMD Ryzen 5 4600H 16GB 512SSD GTX1650Ti 4GB W10+OHS 15.6FHD,16.899.000,KOTA JAKARTA UTARA,9,https://shopee.co.id/Lenovo-Legion-5-MLID-AMD-Ryzen-5-4600H-16GB-512SSD-GTX1650Ti-4GB-W10-OHS-15.6FHD-i.78730497.7254883179,16-01-2021
LEGION 5i GTX 1660Ti - 120HZ REFRESH RATE  - 16GB RAM - RGB KEYBOARD - i7 10750H,17.799.000,KOTA JAKARTA PUSAT,14,https://shopee.co.id/LEGION-5i-GTX-1660Ti-120HZ-REFRESH-RATE-16GB-RAM-RGB-KEYBOARD-i7-10750H-i.259973835.7444961547,16-01-2021
Lenovo Legion 5-2XID - AMD Ryzen 7-4800H 16GB 512ssd GTX1650Ti 4GB W10+OHS 15.6FHD 144Hz FREE OFFICE,17.699.000,KOTA JAKARTA UTARA,22,https://shopee.co.id/Lenovo-Legion-5-2XID-AMD-Ryzen-7-4800H-16GB-512ssd-GTX1650Ti-4GB-W10-OHS-15.6FHD-144Hz-FREE-OFFICE-i.78730497.3338614370,16-01-2021
Lenovo Legion 5i i7 10750 16GB 512ssd RTX2060 6GB W10+OHS 15.6FHD 144Hz 100% sRGB MUID,22.599.000,KOTA JAKARTA UTARA,1,https://shopee.co.id/Lenovo-Legion-5i-i7-10750-16GB-512ssd-RTX2060-6GB-W10-OHS-15.6FHD-144Hz-100-sRGB-MUID-i.15641210.9303214651,16-01-2021
Lenovo Legion 5 2XID Ryzen 7 4800H 16GB SSD 512GB GTX1650Ti 4GB Win10,17.995.000,KOTA PALEMBANG,3,https://shopee.co.id/Lenovo-Legion-5-2XID-Ryzen-7-4800H-16GB-SSD-512GB-GTX1650Ti-4GB-Win10-i.148017040.7040361890,16-01-2021
Lenovo Legion 5 Ryzen 7 4800H 16GB 512 SSD GTX1650Ti 4GB 144Hz FREE OFFICE GARANSI RESMI,18.999.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/Lenovo-Legion-5-Ryzen-7-4800H-16GB-512-SSD-GTX1650Ti-4GB-144Hz-FREE-OFFICE-GARANSI-RESMI-i.161934666.3257502577,16-01-2021
Lenovo Legion 5i 15IMH i7 10750 16GB 512ssd GTX1660Ti 6GB W10 15.6FHD RGB 120HZ,17.449.000,KOTA JAKARTA UTARA,10,https://shopee.co.id/Lenovo-Legion-5i-15IMH-i7-10750-16GB-512ssd-GTX1660Ti-6GB-W10-15.6FHD-RGB-120HZ-i.15641210.3745432698,16-01-2021
(DISCONTINUE) Lenovo Legion Y540 - 15IRH | Pengganti : Legion 5 & 5i / IdeaPad Gaming 3 & 3i,14.499.000,KOTA JAKARTA UTARA,9,https://shopee.co.id/(DISCONTINUE)-Lenovo-Legion-Y540-15IRH-Pengganti-Legion-5-5i-IdeaPad-Gaming-3-3i-i.86803663.5120860153,16-01-2021
"Lenovo Legion 5 15ARH - 2WID | 15,6"" | R5-4600H | GTX 1650Ti 4GB | RAM 16GB | Win 10 HOME + OHS 2019",16.399.000,KOTA JAKARTA UTARA,2,https://shopee.co.id/Lenovo-Legion-5-15ARH-2WID-15-6-R5-4600H-GTX-1650Ti-4GB-RAM-16GB-Win-10-HOME-OHS-2019-i.86803663.6139058307,16-01-2021
Lenovo Legion 5 - 100% sRGB - Ryzen 5 4600H - 16GB - SSD 512GB - GTX1650Ti 4GB,16.899.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/Lenovo-Legion-5-100-sRGB-Ryzen-5-4600H-16GB-SSD-512GB-GTX1650Ti-4GB-i.259973835.4973474830,16-01-2021
LENOVO LEGION Y740 15IRHG i7 9750H RTX 2060 DDR4 16Gb SSD 1Tb 144hz,28.888.000,KOTA TANGERANG,2,https://shopee.co.id/LENOVO-LEGION-Y740-15IRHG-i7-9750H-RTX-2060-DDR4-16Gb-SSD-1Tb-144hz-i.10257552.6839273210,16-01-2021
"Lenovo Legion 5i Intel MUID i7 10750H 16GB RTX 2060 6GB NVIDIA 512GB SSD 15"" FHD WVA 144Hz Win10 OHS",23.999.000,KOTA JAKARTA PUSAT,4,https://shopee.co.id/Lenovo-Legion-5i-Intel-MUID-i7-10750H-16GB-RTX-2060-6GB-NVIDIA-512GB-SSD-15-FHD-WVA-144Hz-Win10-OHS-i.26026296.7667394722,16-01-2021
"Lenovo Legion Y540 15IRH MSID + OHS (i7 9750HF Win10 16GB 512 SSD 15.6"" FHD 144Hz NVIDIA GTX1650 4G)",16.999.000,KOTA SURABAYA,2,https://shopee.co.id/Lenovo-Legion-Y540-15IRH-MSID-OHS-(i7-9750HF-Win10-16GB-512-SSD-15.6-FHD-144Hz-NVIDIA-GTX1650-4G)-i.252699817.4939552950,16-01-2021
