name,price,location,sold,link,date
Lenovo PC IdeaCentre Mini 5i 01IMH05 01YN + OHS (i3 10100T Win10 Home 4GB 1TB HDD Intel Integrated),6.549.000,KOTA JAKARTA PUSAT,0,https://shopee.co.id/Lenovo-PC-IdeaCentre-Mini-5i-01IMH05-01YN-OHS-(i3-10100T-Win10-Home-4GB-1TB-HDD-Intel-Integrated)-i.26026296.7069449500,26-01-2021
LENOVO THINKPAD X1 YOGA I7 6500U TOUCH 8GB RAM 256GB SSD,7.500.000,KOTA JAKARTA SELATAN,1,https://shopee.co.id/LENOVO-THINKPAD-X1-YOGA-I7-6500U-TOUCH-8GB-RAM-256GB-SSD-i.161362598.4375184578,26-01-2021
LENOVO YOGA C740 CORE I5 10210U RAM 8GB SSD 512GB BLACK MICA - X360,13.400.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/LENOVO-YOGA-C740-CORE-I5-10210U-RAM-8GB-SSD-512GB-BLACK-MICA-X360-i.238307530.9508147838,26-01-2021
"Lenovo Yoga Slim 7i Pro 14ITL5 Intel i7 1165G7 Win10 16GB 1TB SSD 14"" 2.2K NVIDIA MX450 2GB OHS 2UID",19.249.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/Lenovo-Yoga-Slim-7i-Pro-14ITL5-Intel-i7-1165G7-Win10-16GB-1TB-SSD-14-2.2K-NVIDIA-MX450-2GB-OHS-2UID-i.26026296.8810581681,26-01-2021
"Lenovo Yoga Slim 7 Ryzen 5 4500U Win10 16GB 512GB SSD 14"" FHD WVA 100% sRGB AMD Radeon OHS 1RID 1SID",13.299.000,KOTA JAKARTA PUSAT,17,https://shopee.co.id/Lenovo-Yoga-Slim-7-Ryzen-5-4500U-Win10-16GB-512GB-SSD-14-FHD-WVA-100-sRGB-AMD-Radeon-OHS-1RID-1SID-i.26026296.7743480162,26-01-2021
Lenovo Yoga Slim 7 14 Ryzen 7 4800 16GB 1TBssd Vega7 W10+OHS 14.0FHD IPS 2Yr ADP -11ID/12ID,17.499.000,KOTA JAKARTA UTARA,1,https://shopee.co.id/Lenovo-Yoga-Slim-7-14-Ryzen-7-4800-16GB-1TBssd-Vega7-W10-OHS-14.0FHD-IPS-2Yr-ADP-11ID-12ID-i.250649369.4853956947,26-01-2021
Lenovo Yoga Slim 7 14 BHID BGID Ryzen 5 4500 16GB 512ssd W10 OHS 14 FHD IPS 2Yr ADP,13.100.000,KOTA MALANG,1,https://shopee.co.id/Lenovo-Yoga-Slim-7-14-BHID-BGID-Ryzen-5-4500-16GB-512ssd-W10-OHS-14-FHD-IPS-2Yr-ADP-i.164898651.6568450199,26-01-2021
Lenovo Yoga C740 14 2in1 Touch i7 10510 16GB 1TBssd W10+OHS 14.0FHD FP Blit Pen -CSID/CRID,17.899.000,KOTA JAKARTA UTARA,2,https://shopee.co.id/Lenovo-Yoga-C740-14-2in1-Touch-i7-10510-16GB-1TBssd-W10-OHS-14.0FHD-FP-Blit-Pen-CSID-CRID-i.250649369.5749343320,26-01-2021
Lenovo Yoga 7 27ID ci7-1165G7/16GB/1TBssd/Iris Xe/W10+OHS/14FHD,18.498.000,KOTA MALANG,1,https://shopee.co.id/Lenovo-Yoga-7-27ID-ci7-1165G7-16GB-1TBssd-Iris-Xe-W10-OHS-14FHD-i.164898651.9405513227,26-01-2021
"LENOVO YOGA SLIM 7-14ARE05-AMD RYZEN 7-4800U-16GB-1 TB-14""-W10H",17.399.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/LENOVO-YOGA-SLIM-7-14ARE05-AMD-RYZEN-7-4800U-16GB-1-TB-14-W10H-i.120447940.3357769770,26-01-2021
"LENOVO THINKPAD YOGA L13  I5-10210U/8GB/512GB/W10PRO/13.3"" TOUCHSCREEN FLIP",17.499.000,KOTA SURABAYA,1,https://shopee.co.id/LENOVO-THINKPAD-YOGA-L13-I5-10210U-8GB-512GB-W10PRO-13.3-TOUCHSCREEN-FLIP-i.33376824.6859358346,26-01-2021
