name,price,location,sold,link,date
"Laptop MSI Modern 15 A10RAS-063ID (9S7-155123-063) Ci5-Gen10/W10H/15.6""/MX330 2GB/8GB/512GB",12.999.000,KOTA JAKARTA BARAT,4,https://shopee.co.id/Laptop-MSI-Modern-15-A10RAS-063ID-(9S7-155123-063)-Ci5-Gen10-W10H-15.6-MX330-2GB-8GB-512GB-i.41303795.6818017536,27-01-2021
OMEN Laptop 15-EN0045AX,17.999.000,KOTA TANGERANG SELATAN,0,https://shopee.co.id/OMEN-Laptop-15-EN0045AX-i.155149633.8302086162,27-01-2021
Laptop Gaming HP Pavilion Gaming 15-DK1141TX BONUS MOUSE GAMING,19.299.000,KOTA TANGERANG SELATAN,0,https://shopee.co.id/Laptop-Gaming-HP-Pavilion-Gaming-15-DK1141TX-BONUS-MOUSE-GAMING-i.155149633.8206076256,27-01-2021
"HP Pavilion Gaming 15-ec1071ax Laptop 15"" - Ryzen 7-4800H - 16GB - Nvidia GTX 1650 - 512 GB SSD W10",15.809.000,KOTA JAKARTA UTARA,1,https://shopee.co.id/HP-Pavilion-Gaming-15-ec1071ax-Laptop-15-Ryzen-7-4800H-16GB-Nvidia-GTX-1650-512-GB-SSD-W10-i.12758413.3366884238,27-01-2021
"HP Pavilion Gaming Laptop 15-dk1141TX Laptop/15""/i7-10750H/8GB/GTX 1660Ti 6GB Max Q/512GB + 32GB",19.299.000,KOTA JAKARTA UTARA,0,https://shopee.co.id/HP-Pavilion-Gaming-Laptop-15-dk1141TX-Laptop-15-i7-10750H-8GB-GTX-1660Ti-6GB-Max-Q-512GB-32GB-i.12758413.5068278592,27-01-2021
"MSI GF63 THIN 9SCSR 883 - i5-9300H - 8GB - 256GB SSD - GTX1650Ti Max Q 4GB - 15""FHD - WIN10",11.599.000,KOTA JAKARTA BARAT,15,https://shopee.co.id/MSI-GF63-THIN-9SCSR-883-i5-9300H-8GB-256GB-SSD-GTX1650Ti-Max-Q-4GB-15-FHD-WIN10-i.174585297.7515514040,27-01-2021
Laptop Gaming MSI GF63 Thin 9SCSR Core i7-9750H GTX 1650Ti 8GB 512GB 15.6 Inch FHD 9S7-16R412-882,13.959.000,KOTA JAKARTA PUSAT,5,https://shopee.co.id/Laptop-Gaming-MSI-GF63-Thin-9SCSR-Core-i7-9750H-GTX-1650Ti-8GB-512GB-15.6-Inch-FHD-9S7-16R412-882-i.148846460.6853488934,27-01-2021
MSI Modern 14 B11SB i5-1135G7 8GB 512SSD MX450 2GB FHD IPS Thin Bezel Win10,12.800.000,KOTA MALANG,4,https://shopee.co.id/MSI-Modern-14-B11SB-i5-1135G7-8GB-512SSD-MX450-2GB-FHD-IPS-Thin-Bezel-Win10-i.164898651.7467409744,27-01-2021
Laptop Gaming MSI GF63 Thin 9SCSR Core i5-9300H GTX 1650Ti 8GB 256GB 15.6 Inch FHD 9S7-16R412-883,11.567.000,KOTA JAKARTA PUSAT,2,https://shopee.co.id/Laptop-Gaming-MSI-GF63-Thin-9SCSR-Core-i5-9300H-GTX-1650Ti-8GB-256GB-15.6-Inch-FHD-9S7-16R412-883-i.148846460.4653486597,27-01-2021
"MSI GF63 Thin 10SCSR-677 - i7-10750H - 8GB - 512GB SSD - GTX1650Ti MaxQ 4GB - 15.6""FHD 144Hz - W10",14.999.000,KOTA JAKARTA BARAT,4,https://shopee.co.id/MSI-GF63-Thin-10SCSR-677-i7-10750H-8GB-512GB-SSD-GTX1650Ti-MaxQ-4GB-15.6-FHD-144Hz-W10-i.174585297.5248121584,27-01-2021
MSI GF63 Thin 9SCSR (9S7-16R412-882),13.499.000,KOTA JAKARTA PUSAT,7,https://shopee.co.id/MSI-GF63-Thin-9SCSR-(9S7-16R412-882)-i.95106793.3553466867,27-01-2021
MSI GF75 Thin 9SC - 9S7-17F212-609,14.999.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/MSI-GF75-Thin-9SC-9S7-17F212-609-i.746822.6253369288,27-01-2021
MSI GF63 Thin 10SCSR (9S7-16R412-677),14.999.000,KOTA JAKARTA PUSAT,2,https://shopee.co.id/MSI-GF63-Thin-10SCSR-(9S7-16R412-677)-i.95106793.4529468906,27-01-2021
MSI GF75 Thin 9SC - 9S7-17F212-609,14.999.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/MSI-GF75-Thin-9SC-9S7-17F212-609-i.95106793.5253367365,27-01-2021
MSI GF65 Thin 10SDR - 845ID | i7-10750H | GTX1660Ti 6GB | 512GB SSD | 144Hz,15.999.000,KOTA JAKARTA BARAT,3,https://shopee.co.id/MSI-GF65-Thin-10SDR-845ID-i7-10750H-GTX1660Ti-6GB-512GB-SSD-144Hz-i.41303795.3642216823,27-01-2021
