name,price,location,sold,link,date
Acer Aspire 5 A514-53 i3-1005G1 4GB 512GB FREE Office GARANSI RESMI,7.350.000,Jakarta Utara,10,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEosrRHsHO6AyDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUsthbm-7q3OBUsthosJho_1Oo_nRbm-srcHi6s1FHmFiy3zwrfo5rM1i6sJpo_nXopKf6ZFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z_VHqBJF_S2zH7OJgRx68juN_1zg81ONZ9o-Q9zDguxjPMoW1MgsHjNfyfOuq1Y2Z9P-q9P2yM7NPujau3Bvq1Bd_BzDqujaZM2g8_CN_M2zHjh11MhvzcW7_OzcQJNNHAVvuJVE3BPZqBBWZ_C6uJO2_JoGPMoWQcNxupuM3jP3POKaQcW-qMY2_1o-r7BW69BxufzFyMFNPfoW63Wju7dF3A-Dq7BkQfBoe7BpZ37N83V9gICiQABEy1rNPOKaQcW-qMY2_1o-r7BXzsVq3JtO3AoZqVtp_3Bvq12p__Jd8jY1gRBMZIxp_3OdPMep8AxizJgpysoj6cgc_jgZHAVcuchZgBouo1u983zt3_-381BIzS2szfhN3BojgcgU8VzZu3z61B1OuuKFujYZH9oX3uP6Qco2eMxsH7-FyfOuQBxy8AxxH7ND3sod6cHp1Sz-q9P2yp-6PMoWuMggQj2fgAo6QJBkQfBoqBj7_c2V8JN1qpzvzVVE_1z-oJOJu_C-q9P2yp-6PMoWuMgsHBgtyfO6Q7BkQfBoqMWR_c2sHJO1gpzoqjVR_S2uo1NJqpC-QsnYUiFiP9oBrBY2gmUEUsnibm-xQcri6i-pPcOwqRoBgOYDHOYDHBYDHZUDUMNOQ3-BrBY5gBYxgIHi6sUFbm-XP3Oig9-wy3zp9R-BrZUEHsnDUMoxPVY2gIHi6BDa6_rDHpK7omFp6_Ka9ZFiQBYsy3Njq3zxPcuwy3zpUstNHmFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMoFyOYpqcYF9RuXrZUDUSgBrSo2Qfdi6i-fHiUDUMoDP9o7g9-wq3zwPsUi6sUpH_1pbm-sy9zBgfYa8uYpP3PSg9o79fV7PI-2ySu7gZUE3aUp6_KaUiFiHpjdoiUDUseFHAKibmUp6_jpUiFiHpjd6Z-Pwe?src=search&keywords=acer+aspire&management_type=1&page=1&r=https%3A%2F%2Fwww.tokopedia.com%2Ftokolaptopid%2Facer-aspire-5-a514-53-i3-1005g1-4gb-512gb-free-office-garansi-resmi%3Fsrc%3Dtopads&is_search=1&t=desktop&dv=desktop&ob=23,25-01-2021
"ACER ASPIRE 5 A514-53G-37JP INTEL i3-1005G1 4GB 1TB MX350 2GB 14"" HD",7.999.000,Medan,1,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUE6AKNH_H7o_rDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstabm-7q3OBUsthosJho_1Oo_nRbm-srcHi6s1FHmFiy3zwrfo5rM1i6sJpHArX6AyRHZFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z_CHqMrp_7zCHJYJypzozVJ7_S2SP7N_Z9o-Q9zDguxjPMoW1MgsHjNfyfOuq1Y2Z9P-q9P2yM7NPujau3Bvq1Bd_BzDqujaZM2g8_CN_M2zHjh11MhvzcW7_OzcQJNNHAVvuJVE3BPZqBBWZ_C6uJO2_JoGPMoWQcNxupuM3jP3POKaQcW-qMY2_1o-r7BW69BxufzFyMFNPfoW63Wju7dF3A-Dq7BkQfBoe7BpZ37N83V9gICiQABEy1rNPOKaQcW-qMY2_1o-r7BXzsVq3JtO3AoZqVtp_3Bvq12p__Jd8jY1gRBMZIxp_3OdPMep8AxizJgpysoj6cgc_jgZHAVcuchZgBouo1u983zt3_-381BIzS2szfhN3BojgcgU8VzZu3z61B1OuuKFujYZH9oX3uP6Qco2eMxsH7-FyfOuQBxy8AxxH7ND3sod6cHp1Sz-q9P2yp-6PMoWuMggQj2fgAo6QJBkQfBoqB1O_c2V8JN1e_zvucHh_3208JN1gfBHe72E3_UN8u23692qu7gN3_-Sq1Y2Z9BvzJuO_BzC8jYJgR2o8jJ7_BzzH7N_Zsjibm-Orfua9fBjUstiHmUDUMVDgaUEUSo7QuY0rfuS9fFp9fFa9fFhUiFiQSuWyMua9fYM9fVjraUEHsnDUMNOQ3-BrBYxgIowrMuhUstaHmFiyfV79fBjraUE3pUNoaFp6Ae7bAHN6A-Pbm-X9foxQMz2gcV7guYxgIHi6sjFbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstiyRCs9RotQRCwP3NhUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUEoAnN6ZFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDiHpjdHiUDUsHN6AyibmU7HAndUiFiHpjNHaUDUsHN6Aji997?t=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Freinokomputindo%2Facer-aspire-5-a514-53g-37jp-intel-i3-1005g1-4gb-1tb-mx350-2gb-14-hd%3Fsrc%3Dtopads&src=search&is_search=1&keywords=acer+aspire&ob=23&dv=desktop&page=1&management_type=2,25-01-2021
"ACER Aspire 5 514-53G-37JP|i3-10110U|4GB |1TB + SLOT SSD|14""| MX350",7.979.796,Jakarta Pusat,1,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUE6AHFoAyO6AeDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstpbm-7q3OBUsthosJho_1Oo_nRbm-srcHi6seOHmFiy3zwrfo5rM1i6sJpHA1XoAKRHaFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z9P-q9P2y_-3o3ea69BqzsBE3_UN8u2_Z_g-qjV2_JoGP3Uao32q17jfZ32VH1Y9ZM2gQ1Nk_Vz-HjNJ39z6zO17_OHFo1O9u_oHuV1O_1z6QV2I_MBgqBJh_9B-r7BW69BxufzFyMFNqO2yeMgxuOV2_fB-P7B2PfBiH72F3s-DPuKpeSBiHBUh3_oZgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Ao6QfUpeMgxuOV2_fB-P7B2PfBs3VgDyfNDgMzIzMNs81jfZ3OR8BxE__uvzJtdgjPR83-I6_oMZIxp_uPdPMep8AxuHVgUuVu3_Ogc6121qO-iZs-cqB2yZ3Pg3JNRyuxGQJthH_xMzjNc1snhzBzD1MgZu_uUuRBjqVjauSB-z7gEy7PD8u2_gczMZIxayp-3QMgU8I2jzpC2_JoG8Bja69BqusB2yf7NHfHau3Bvq1BN_S2-P1NJZ92o8MHh_OzSoJY1qpuo81BpZ3N6qMUpZMhyH7ND3uxGqMVAZ_g-qjj7_1H7o1Y1z_-68jj7_32u81NEyRxo81tNUiFiP9oBrBY2gmUEUsnibm-xQcri6i-pPcOwqRoBgOYDHOYDHBYDHZUDUMNOQ3-BrBY5gBYxgIHi6sUFbm-XP3Oig9-wy3zp9R-BrZUEHsnDUMoxPVY2gIHi6BDa6_rDHpK7omFp6_Ka9ZFiQBYsy3Njq3zxPcuwy3zpUstNHmFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMoFyOYpqcYF9RuXrZUDUSgBrSo2Qfdi6i-fHiUDUMoDP9o7g9-wq3zwPsUi6sUf6AJpbm-sy9zBgfYa8uYpP3PSg9o79fV7PI-2ySu7gZUE3aUp6_KaUiFiHpjdoiUDUseFHAKibmUp6_jpUiFiHpjd6Z-Pwe?page=1&ob=23&dv=desktop&management_type=1&t=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Fsholehonl%2Facer-aspire-5-514-53g-37jp-i3-10110u-4gb-1tb-slot-ssd-14-mx350%3Fsrc%3Dtopads&src=search&is_search=1&keywords=acer+aspire,25-01-2021
ACER ASPIRE 3 A314 22 R1KF AMD ATHLON 3050U 4GB 256SSD VEGA 3 W10 OHS,6.099.000,Medan,3,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUE6AKNH_H7o_JDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUst7bm-7q3OBUsthosJho_1Oo_nRbm-srcHi6s1FHmFiy3zwrfo5rM1i6sJa6AHXos1f6ZFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z9P-q9P2y_-3o3ea69BqzsBE3_UN8u2_Z_g-qjV2_JoGP3Uao32q17jfZ32VH1Y9ZM2gQ1Nk_Vz-HjNJ39z6zO17_OHFo1O9u_oHuV1O_1z6QV2I_MBgqBJh_9B-r7BW69BxufzFyMFNqO2yeMgxuOV2_fB-P7B2PfBiH72F3s-DPuKpeSBiHBUh3_oZgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Ao6QfUpeMgxuOV2_fB-P7B2PfBs3VgDyfNDgMzIzMNs81jfZ3OR8BxE__uvzJtdgjPR83-I6_oMZIxp_uPdPMep8AxuHVgUuVu3_Ogc6121qO-iZs-cqB2yZ3Pg3JNRyuxGQJthH_xMzjNc1snhzBzD1MgZu_uUuRBjqVjauSB-z7gEy7PD8u2_gczMZIxayp-3QMgU8I2jzpC2_JoG8Bja69BqusB2yf7NHfHau3Bvq1BN_M2-P1NE39x6uV17_BzV8JOkgpzo8BV2_JoG8Bja69BqusBE3BPc8ujagfBvq1BN_S2gP1OkqRBvuJVd_1zzo1Y1gRPoq1tNUiFiP9oBrBY2gmUEUsnibm-xQcri6i-pPcOwqRoBgOYDHOYDHBYDHZUDUMNOQ3-BrBY5gBYxgIHi6sUFbm-XP3Oig9-wy3zp9R-BrZUEHsnDUMoxPVY2gIHi6BDa6_rDHpK7omFp6_Ka9ZFiQBYsy3Njq3zxPcuwy3zpUstNHmFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMoFyOYpqcYF9RuXrZUDUSgBrSo2Qfdi6i-fHiUDUMoDP9o7g9-wq3zwPsUi6sKh6mFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDiHpjdHiUDUsHN6AyibmU7HAndUiFiHpjNHaUDUsHN6Aji997?ob=23&r=https%3A%2F%2Fwww.tokopedia.com%2Freinokomputindo%2Facer-aspire-3-a314-22-r1kf-amd-athlon-3050u-4gb-256ssd-vega-3-w10-ohs%3Fsrc%3Dtopads&page=1&dv=desktop&src=search&is_search=1&keywords=acer+aspire&t=desktop&management_type=2,25-01-2021
LAPTOP ACER ASPIRE 5 514-53G-INTEL CORE i5 1035G1-4GB-1TB-NVDIA MX350 - RAM 4GB STANDRT,8.756.600,Surabaya,10,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUE6AedH_rFo_JDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstObm-7q3OBUsthosJho_1Oo_nRbm-srcHi6sHOHmFiy3zwrfo5rM1i6sJao_KX6_e7HaFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBo1pzN_7z-P7N1z9BvzJBR_BzV81YJZ3BHe72kgJxGgMHauMxsQ1N5Z325q1N_oI2o8jOE_92o8jOE_92o8jOE_92zq1hAZS-q3cFpysoGqOKp_M2iH72DZ325q1OAZ9o-Q_ufyMO6QJBkQfBouV1O33O6quja_9zoqBjF_MjFHV21gpuHucWd3BzsPJN1qRPoHBg03_-Gq1NJu92-q9P2ysoGrVtaQIuyHB-Dy7yNrV2AZ_g-qjV2_JoGPMoWQcNxupuMy7xGPB2UuM2jzsBF3jo-ojBke3BHe72fyfODQMV9o3gsHMxfy7yNrV2AZ_g-qjV2_JoG8cz9uSBBusjF3uPj8jBkQfBizJNM_920oJOX8AxizJ2pysoj6cgIPRxizpjpgjxduV-ugJNZu_uu3ACD_O-crfNgu7NDyfBmqcHpeSCsQuuX3Vxd6V1Fujx1uugvujyNzBz0gc-GHjgk3Bx-gOBy_SPx3J2DZsJh6cgIPI2qufedgjx6Hc-_Z9o-QjNkysoGQVKaZSBiHfzE3Bo-ojBkZ_V6q_ep_92C81Y1yR26uVBd_S2SoJB2PfBsHjNfyfO3gMHauMxsQ1N5Z325q1OkyRPHqMDp_92S8JOk19x6zcrp_M2VHJBXHA7ibm-Orfua9fBjUstiHmUDUMVDgaUEUSo7QuY0rfuS9fFp9fFa9fFhUiFiQSuWyMua9fYM9fVjraUEHsnDUMNOQ3-BrBYxgIowrMuhUstaHmFiyfV79fBjraUE3pUNoaFp6Ae7bAHN6A-Pbm-X9foxQMz2gcV7guYxgIHi6sjFbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstiyRCs9RotQRCwP3NhUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUEH_jfHAeDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUsHN6AUibmUp6_KfUiFioAnF6mUDUsHN6_HibmUp6_KNUBOY?t=desktop&is_search=1&ob=23&src=search&keywords=acer+aspire&dv=desktop&page=1&r=https%3A%2F%2Fwww.tokopedia.com%2Fmur4hk0m%2Flaptop-acer-aspire-5-514-53g-intel-core-i5-1035g1-4gb-1tb-nvdia-mx350-ram-4gb-standrt%3Fsrc%3Dtopads&management_type=1,25-01-2021
"Acer Aspire 5 A514-53 - i3-1005G1 4GB 512GB + INTEL OPTANE 14"" W10 OHS",7.399.000,Jakarta Pusat,204,https://www.tokopedia.com/collinsofficial/acer-aspire-5-a514-53-i3-1005g1-4gb-512gb-intel-optane-14-w10-ohs?whid=0,25-01-2021
"Acer Aspire 3 Slim A314-22 AMD RYZEN 3-3250U 4GB 256GB 14"" FHD W10 OHS",6.799.000,Jakarta Pusat,52,https://www.tokopedia.com/collinsofficial/acer-aspire-3-slim-a314-22-amd-ryzen-3-3250u-4gb-256gb-14-fhd-w10-ohs?whid=0,25-01-2021
"LAPTOP ACER ASPIRE 3 A314-22 AMD RYZEN 3-3250U 4GB 256GB 14"" OHS W10",6.699.000,Jakarta Pusat,26,https://www.tokopedia.com/protechcom/laptop-acer-aspire-3-a314-22-amd-ryzen-3-3250u-4gb-256gb-14-ohs-w10?whid=0,25-01-2021
"Acer Aspire 3 Slim A314-22 - AMD A3020e 4GB SSD 256GB 14"" HD W10 OHS",5.375.000,Jakarta Pusat,15,https://www.tokopedia.com/collinsofficial/acer-aspire-3-slim-a314-22-amd-a3020e-4gb-ssd-256gb-14-hd-w10-ohs?whid=0,25-01-2021
"ACER ASPIRE 3 A314-32 Intel N4120/4GB/256GB SSD/14""HD/WIN10/OHS 2019",6.299.000,Jakarta Pusat,39,https://www.tokopedia.com/infonetmanggadua/acer-aspire-3-a314-32-intel-n4120-4gb-256gb-ssd-14-hd-win10-ohs-2019-hitam-8-gb?whid=0,25-01-2021
