name,price,location,sold,link,date
"ASUS ROG Zephyrus G14 GA401 Ryzen7 4800 8GB 512ssd GTX1650 4GB W10 14""",15.849.000,Jakarta Utara,39,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEosJhHAKdo_UDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUsthbm-7q3OBUsthosJh6_JFHp1hbm-srcHi6s1NHZFiy3zwrfo5rM1i6sJfopyXH_JdoZFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoq_zR_uzu8JO1_926uJVd_32uo1NJ1_--q9P23_oZ8uKp_Mhg3J2ky1o-ojBkZ9PHqBud_32S81OJu9xoqMPN_1zu8JB2PfBxHByOgAUN8u2c692gHsBN3Bo-ojBke3BHe72OysUOqB2_Z_g-qj7h_7PuHBBkZ_zHuJND3M2VPJNJu9xo1pVt3uP3q1h11_z6uOJa_MO3QJOEypogq1BpZ37N83V9gICiQAB03BxmgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Aom83Ua1sVgHO-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7N5ysomgMV913Bvq1BRZ3BRq3oyuMhsQMhMgJPcQMoNZ_g-QJNc1snhzBzD1MgZu_uUuRBjqcHpuS2-ZJ2f3SBjgcgU8IooQ9xfgAod6c-JzSoiHfedgjPR8BxE19PozcKdgjP78B29gAxMzjNc1snhzBzD1Mg_u_uVuRBjqcHpuS2-ZJ2f3SBjgcgU8I2jzpC2_JoG8Bja69BqusB2yf7NHfHau3Bvq1BN_OzoP1Y1u_C6qjJa_M2sHjNJyp-6uVV2_JoG8Bja69BqusBE3BPc8ujagfBvq1BE_M2zP1OkqpC6zJJF_92u8jOJe_uoq1tNUiFiP9oBrBY2gmUEUsnibm-xQcri6i-pPcOwqRoBgOYDHOYDHBYDHZUDUMNOQ3-BrBY5gBYxgIHi6sUFbm-XP3Oig9-wy3zp9R-BrZUEHsnDUMoxPVY2gIHi6BDa6_rDHpK7oaF7HAnd9ZFiQBYsy3Njq3zxPcuwy3zpUstaHaFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMoFyOYpqcYF9RuXrZUDUSgBrSo2Qfdi6i-fHiUDUMoDP9o7g9-wq3zwPsUi6seRH_Jfbm-sy9zBgfYa8uYpP3PSg9o79fV7PI-2ySu7gZUE3aU7HAndUiFiHpjdHiUDUsHFo_eibmUpHAUibmU7HAnNUBOY?keywords=asus+rog&ob=23&t=desktop&src=search&dv=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Froyalltech%2Fasus-rog-zephyrus-g14-ga401-ryzen7-4800-8gb-512ssd-gtx1650-4gb-w10-14%3Fsrc%3Dtopads&is_search=1&page=1&management_type=1,29-01-2021
Asus ROG Zephyrus M15 GU502LW i7 10875 16GB 1TB RTX2070-8GB WIN-10,33.999.000,Jakarta Utara,1,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUE6AH7HsyfoArDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstabm-7q3OBUsthosJh6_JFHp1hbm-srcHi6syFHmFiy3zwrfo5rM1i6sJa6_eXH_KdomFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBo1pzE_1zSo1OJe_Voqj7h_M2C81OJqpC-q9P23_oZ8uKp_Mhg3J2ky1o-ojBkyRu6ucDF_OzoHjNEe_zvzVBR_S2gq1hAZS-q3cFpysoGqOKp_M2iH72DZ325q1OAZ9o-Q_ufyMO6QJBkQfBo8B173Bzqq1OkgRzoHBgW_uHFHJN1z9xHu7gt3BP-PJNJgpVqzVja3BPu8jNEgcB-q9P2ysoGrVtaQIuyHB-Dy7yNrV2AZ_g-qjV2_JoGPMoWQcNxupuMy7xGPB2UuM2jzsBF3jo-ojBke3BHe72fyfODQMV9o3gsHMxfy7yNrV2AZ_g-qjV2_JoG8cz9uSBBusjF3uPj8jBkQfBuHVgUuVu3_Ogc61g1qfziZs-c8Mzy_3PsQ_BXZsJh6cgIPRBizpjpgjxdr7O98IgjHRKdyjz6gjNJe9PvZIKdy_o6QVtp8AxuHVgUuVu3_Ogc6121qO-iZs-c8Mzy_3PsQ_BXZsJh6cgU_sCi17BpZ3N6qMUpZMhyHj2Nysoj8B2_Z_g-qjjp_Sj7P7OE19xoqBjO_1zVH7NJ1_V-q9P2yp-6PMoWuMgsHBgtyfO6Q7BkQfBoqMPd_c2-oJNJz_Vo8MDa_92-HJY1u3BM1_7YUiFiP9oBrBY2gmUEUsnibm-xQcri6i-pPcOwqRoBgOYDHOYDHBYDHZUDUMNOQ3-BrBY5gBYxgIHi6sUFbm-XP3Oig9-wy3zp9R-BrZUEHsnDUMoxPVY2gIHi6BDa6_rDHpK7oaF7HAnd9ZFiQBYsy3Njq3zxPcuwy3zpUstaHaFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMoFyOYpqcYF9RuXrZUDUSgBrSo2Qfdi6i-fHiUDUMoDP9o7g9-wq3zwPsUi6sJRHpJFbm-sy9zBgfYa8uYpP3PSg9o79fV7PI-2ySu7gZUE3aU7HAndUiFiHpjdHiUDUsHFo_eibmUpHAUibmU7HAnNUBOY?dv=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Fenvicstore%2Fasus-rog-zephyrus-m15-gu502lw-i7-10875-16gb-1tb-rtx2070-8gb-win-10%3Fsrc%3Dtopads&t=desktop&src=search&keywords=asus+rog&is_search=1&management_type=1&page=1&ob=23,29-01-2021
Asus ROG STRIX III G531GT i7-9750H GTX 1650 SSD 512 Garansi resmi,14.000.000,Tangerang Selatan,1,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUE6AJaHpUNHA1DUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstpbm-7q3OBUsthosJh6_JFHp1hbm-srcHi6seOHmFiy3zwrfo5rM1i6sJaoAJXHAHFomFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z_VHqMod_jz-oJN1yRx6zJj7_Bzs8JNAZ9o-Q9zDguxjPMoW1MgsHjNfyfOuq1Y2Z9P-q9P2yM7NPujau3Bvq1BE_BztQJNWZ9BvepCE3BPg8Jh11_VouJu73uPcQVB2HACvzVg0_M2qQV21__o6HjB2_JoGPMoWQcNxupuM3jP3POKaQcW-qMY2_1o-r7BW69BxufzFyMFNPfoW63Wju7dF3A-Dq7BkQfBoe7BpZ37N83V9gICiQABEy1rNPOKaQcW-qMY2_1o-r7BXzsVq3JtO3AoZqVtp_3Bvq1211Buj_B-uouuyHVgv1sVpQBBy_sVs81-Nys-sQBxy8AxizJ2pysoj6cgIPRxizpjpgjxdr77h6ACozJJ7gjxdrMHauMNMZIx11Buj_B-uouuyHchv1jgpQBBy_sVs81-Nys-sQBxy8AxsHO-7Z3BRq3Ha_SgsQugM33NGPMep_Mh-qMY2_32uo1hkypV6qBuE_92gH1Oku_V6uVJhZ3BRq3Ha_SgsQugMyp-3qcoW_MY-qMY2_32go1hkyR2ozV1p_M2u8jY1Z9x6qMDFZ3dFvZUDUSupg9-wq3ei6iUFUiFiy3hSUstirRzW9fWpg3PwQAowQA-wQAJibm-XP3Oig9-wQfgwy3zpUstaHmFiQSuWyMua9fVjrOYag9Ji6sUFbm-sy9zwq3zpUs2QHsjRbAHdoArDoAnF6V7DUMNwyfVXgcBjy9zB9fVjraUEHsHDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-srcowrfx5rVYOQSJibm-fg9-pq3YXUstiPsUibm-sQIupPcua9fBj9RyaUstOHA1aHaFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDioAnF6mUDUsHN6AUibmUpHA17UiFiHpnaUiFioAnF6Z-Pwe?page=1&r=https%3A%2F%2Fwww.tokopedia.com%2Fthunderstores%2Fasus-rog-strix-iii-g531gt-i7-9750h-gtx-1650-ssd-512-garansi-resmi%3Fsrc%3Dtopads&management_type=2&dv=desktop&keywords=asus+rog&is_search=1&t=desktop&src=search&ob=23,29-01-2021
"Asus ROG Zephyrus G14 GA401iV Ryzen 9 4900 16GB 1TBssd RTX2060 6GB W10 - Putih, 16 gb",24.799.000,Jakarta Utara,1,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUE6AUf6_JhH_rDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUst7bm-7q3OBUsthosJh6_JFHp1hbm-srcHi6sUOHmFiy3zwrfo5rM1i6sJaHs1XosJRHaFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z9P-q9P2y_-3o3ea69BqzsBE3_UN8u2_Z_g-qjV2_JoGP3Uao32q17jfZ32oH1YIu_-gqjj7_Vz6QV2kz9z6zVud_uHhqVB9uMBHuVJ7_BPzHjNWuMho8MHp33B-r7BW69BxufzFyMFNqO2yeMgxuOV2_fB-P7B2PfBiH72F3s-DPuKpeSBiHBUh3_oZgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Ao6QfUpeMgxuOV2_fB-P7B2PfBs3VgDyfNDgMzIzMNs81jfZ3h6zBUFH1g1QV-M1B1OZVPNgcxsHOgEZ1xGPB2NgczMZIxp_3OdPMep8AxizJgpysoj6cgIPR2y8BVR_1zt6cgIPI2qufedgjg6zBUFH1g1QV-M1O1OzuPNgcxsHOgEZ1xGPB2NgczMZIxEgJrFq1hAZS2gHsBN3ByNq3oW6_osHBu2_fB-81N1gRuoqBjp_M2VH1N1u_o6qjj7_3B-r7BX_M2iH72D3Ao6QVByZM2xe7jfZ32-HjN2oI2vzJJa_92zP7O1_9PvzJ1O_9BG6ZUDUSupg9-wq3ei6iUFUiFiy3hSUstirRzW9fWpg3PwQAowQA-wQAJibm-XP3Oig9-wQfgwy3zpUstaHmFiQSuWyMua9fVjrOYag9Ji6sUFbm-sy9zwq3zpUs2QHsjRbAHdoArDoAnF6V7DUMNwyfVXgcBjy9zB9fVjraUEHsHDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-srcowrfx5rVYOQSJibm-fg9-pq3YXUstiPsUibm-sQIupPcua9fBj9RyaUsta6_yfomFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDioAnF6mUDUsHN6AUibmUpHA17UiFiHpnaUiFioAnF6Z-Pwe?page=1&dv=desktop&management_type=1&is_search=1&t=desktop&keywords=asus+rog&ob=23&r=https%3A%2F%2Fwww.tokopedia.com%2Fgreetmart%2Fasus-rog-zephyrus-g14-ga401iv-ryzen-9-4900-16gb-1tbssd-rtx2060-6gb-w10-putih-16-gb%3Fsrc%3Dtopads&src=search,29-01-2021
ASUS ROG PHONE 3 III ROGPHONE III 128GB 8GB - Garansi Resmi Indonesia,10.750.000,Jakarta Pusat,25,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEosrpHpnpHAJDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstObm-7q3OBUsthosJh6_JFHp1hbm-srcHi6s1OHmFiy3zwrfo5rM1i6syhHZdaoAehomFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoepeh_92zH7N1qR26ucPN_7zSH7NNZ9o-Q1dFyfFN8B29zSBgHMP2_fB-oJhk__o6uVBE_jzu8JNEyp-6qBJO_7o-r7BWPchB3czfyfOZgMHa_SgsQuu2_fB-P7B2PfBiQ_BO3_-uq1Y2Z926ucxD_MO-81YAHI2quOBd_VzzH1O1z9zgu7gD33jFHJYJuMW6qB2D3BzoH7daZ3BHe72fyfODQMV9o3gqzOgR3A-Dq7BkQfBoe7BpZ37N83V9gICiQABRyf7Nqfz9_sCyHMh0Z325q1OAZ9o-Q_BNyuPjrc-D692xzpBR3A-Dq7BkQfBoe7BpZ3NcHu2yZsuyHO-t3sooq1Y2ZBzZu3z61B1OuuKFujYZH9oX3ux6H3oNeSBiHMoX3Vxd6c-JZSoiHfedgjPR8c-I6_oMZIxayp-3QMgU8VzZu3z61B1OuuKFQJYZzSoX3ux6H3oNeSBiHMoX3Vxd6cHp1SzMZIxp__Jd8jOJu_C-q9P2yp-6PMoWuMggQj2fgAo6QJBkQfBoqMHa_c2V8JNEz_uo8MPN_BzzH1N1u_--q9P2yp-6PMoWuMgsHBgtyfO6Q7BkQfBoqMDh_c2CP7Oke9x6zVBR_M2V8jN1u3BM1_7YUiFiP9oBrBY2gmUEUsnibm-xQcri6i-pPcOwqRoBgOYDHOYDHBYDHZUDUMNOQ3-BrBY5gBYxgIHi6sUFbm-XP3Oig9-wy3zp9R-BrZUEHsnDUMoxPVY2gIHi6BDfoZFaomFpHA179ZFiQBYsy3Njq3zxPcuwy3zpUstaHaFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMoFyOYpqcYF9RuXrZUDUSgBrSo2Qfdi6i-fHiUDUMoDP9o7g9-wq3zwPsUi6sJdHprFbm-sy9zBgfYa8uYpP3PSg9o79fV7PI-2ySu7gZUE3aU7HAndUiFiHpjdHiUDUsHFo_eibmUpHAUibmU7HAnNUBOY?keywords=asus+rog&ob=23&t=desktop&dv=desktop&management_type=1&is_search=1&src=search&page=1&r=https%3A%2F%2Fwww.tokopedia.com%2Fchocoapple%2Fasus-rog-phone-3-iii-rogphone-iii-128gb-8gb-garansi-resmi-indonesia%3Fsrc%3Dtopads,29-01-2021
ASUS ROG STRIX G512LI-I75TB6T i7-10750H 8GB 512GB GTX1650Ti 4GB 144Hz,17.499.000,Jakarta Pusat,53,https://www.tokopedia.com/collinsofficial/asus-rog-strix-g512li-i75tb6t-i7-10750h-8gb-512gb-gtx1650ti-4gb-144hz?whid=0,29-01-2021
ASUS ROG STRIX G512LI-I565B6T i5-10300H 8GB 512GB GTX1650Ti 4GB 144Hz,16.799.000,Jakarta Pusat,34,https://www.tokopedia.com/collinsofficial/asus-rog-strix-g512li-i565b6t-i5-10300h-8gb-512gb-gtx1650ti-4gb-144hz?whid=0,29-01-2021
"ASUS ROG Zephyrus G14 GA401 Ryzen7 4800 8GB 512ssd GTX1650 4GB W10 14""",15.849.000,Jakarta Utara,39,https://www.tokopedia.com/royalltech/asus-rog-zephyrus-g14-ga401-ryzen7-4800-8gb-512ssd-gtx1650-4gb-w10-14?whid=0,29-01-2021
ASUS ROG G531GT-I765G1T STRIX III i7-9750H GTX1650 4GB 512GB SSD 120Hz,16.298.000,Kab. Tangerang,64,https://www.tokopedia.com/frenjen/asus-rog-g531gt-i765g1t-strix-iii-i7-9750h-gtx1650-4gb-512gb-ssd-120hz?whid=0,29-01-2021
ASUS ROG STRIX G512LV-I7R6C8T i7-10870H 16GB 512GB RTX2060 6GB 240Hz,23.739.000,Jakarta Pusat,11,https://www.tokopedia.com/collinsofficial/asus-rog-strix-g512lv-i7r6c8t-i7-10870h-16gb-512gb-rtx2060-6gb-240hz?whid=0,29-01-2021
