name,price,location,sold,link,date
Laptop HP OMEN 15 - dh1020TX i7-10750H 32GB 1TB+ 512GB RTX2070 8GB FHD - Non Bundling,31.986.000,Jakarta Pusat,4,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEopKN6AjpoAnDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUsthbm-7q3OBUsthosJF6_eNopyNbm-srcHi6s1Fbm-xgVYpyfYagZUEH_URHmdpH_yDUSHp9fh5gaUEUMuNZM2jZJ2M33NGPMep_Mh-qMY2_1o-r7BW_sCsQABE3BPc8ujagfBvq1BRZ3BRq3JausujHsBN3jyN8Bja69Bq17jfZ32Cq1hAZSuiHsuk3Bo-ojBku92vzO-k3jPZQ1h1gpo6zVV7_jz0Hu2AHAuo8jgD_VzS8JY1e_CquVjO3uzs8V22Z9o-Q_BNyuPjrc-D63Wq3J-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7-Nys-ZHujp1MgxuOV2_fB-P7B2PfBiH72F3s-DPuKp_MYiH7-MyuPzq1Y2Z9P-q9P2yOx3QcoXQcgjz7gXyRB-ojBWPRBizpjpgjxdr7O98IgjHRKdyjz6gjNJe9PvZIKdy_o6QVtp8AxuHVgUuVu3_Ogc6121qO-iZs-tP7BI69zqupzX3Vxd6cHp1SzMZIx11Buj_B-uouuyHVgv1sVpQMVUe3PiHsVDyMBjgJB2PfBsHjNfyfO3gBBXZSgjH7NDZ325q1Oku_zHqj1F_S2sP7Nke926zVVN_uz0q1hAZS2gHsBN3ByN8B29zSBgHMP2_fB-81NkZ9u6ucoR_jzS8jNJz9P6ucHh_jzoq3gzv_7ibm-Orfua9fBjUstiHmUDUMVDgaUEUSo7QuY0rfuS9fFp9fFa9fFhUiFiQSuWyMua9fYM9fVjraUEHZFiQSuWyMua9fVjrOYag9Ji6sUFbm-sy9zwq3zpUs2QHsjRbAHdoArDoAnF6V7DUMNwyfVXgcBjy9zB9fVjraUEHZFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMzBgiUDUSgBrSo2Qfdi6i-fHiUDUMoDP9o7g9-wq3zwPsUi6sUNosy7bm-sy9zBgfYa8uYpP3PSg9o79fV7PI-2ySu7gZUE3aU7HAndUiFiHpjdHiUDUsHN6AjibmUpoiUDUsHN6Ayi997?src=search&keywords=hp+omen&t=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Fstudiolaptop%2Flaptop-hp-omen-15-dh1020tx-i7-10750h-32gb-1tb-512gb-rtx2070-8gb-fhd-non-bundling%3Fsrc%3Dtopads&management_type=1&dv=desktop&ob=23&is_search=1&page=1,18-01-2021
HP OMEN 15 en0045ax | Ryzen 5 4600H 16GB 512SSD GTX1660Ti 6GB 144hz,17.799.000,Jakarta Utara,10,https://www.tokopedia.com/amd-id/hp-omen-15-en0045ax-ryzen-5-4600h-16gb-512ssd-gtx1660ti-6gb-144hz?whid=0,18-01-2021
NEW HP OMEN 15-EK0045TX i7-10750H 16GB 512GB GTX1650Ti 4GB W10 144Hz,18.499.000,Jakarta Pusat,6,https://www.tokopedia.com/protechcom/new-hp-omen-15-ek0045tx-i7-10750h-16gb-512gb-gtx1650ti-4gb-w10-144hz?whid=0,18-01-2021
HP Omen 15 Ryzen 7 4800 16GB 512ssd GTX1660Ti 6GB W10 15.6FHD,17.799.000,Jakarta Utara,8,https://www.tokopedia.com/royalltech/hp-omen-15-ryzen-7-4800-16gb-512ssd-gtx1660ti-6gb-w10-15-6fhd?whid=0,18-01-2021
HP OMEN 15-en0013AX RYZEN 7-4800H 512GB SSD 144hz 16GB RTX 2060 6GB,22.499.000,Jakarta Barat,37,https://www.tokopedia.com/sinarmulia/hp-omen-15-en0013ax-ryzen-7-4800h-512gb-ssd-144hz-16gb-rtx-2060-6gb?whid=0,18-01-2021
Laptop HP Omen 15 - GTX1650 4GB i7-9750 8GB 512SSD Win10Home 15.6FHD,14.699.000,Jakarta Utara,4,https://www.tokopedia.com/gateway/laptop-hp-omen-15-gtx1650-4gb-i7-9750-8gb-512ssd-win10home-15-6fhd-ram-16gb?whid=0,18-01-2021
HP OMEN 15 144hz AMD Ryzen 7 4800H 16GB 512ssd GTX1660TI 6GB W10,17.799.000,Jakarta Utara,37,https://www.tokopedia.com/toptech/hp-omen-15-144hz-amd-ryzen-7-4800h-16gb-512ssd-gtx1660ti-6gb-w10-hitam?whid=0,18-01-2021
"HP OMEN 15-ek0044TX - i7-10750H 16GB 1TB SSD RTX 2060 6GB 15.6"" 144Hz",24.499.000,Jakarta Pusat,5,https://www.tokopedia.com/collinsofficial/hp-omen-15-ek0044tx-i7-10750h-16gb-1tb-ssd-rtx-2060-6gb-15-6-144hz?whid=0,18-01-2021
HP OMEN 15 144hz - AMD Ryzen 7 4800H 16GB 512ssd GTX1660TI 6GB Win10,17.799.000,Jakarta Utara,8,https://www.tokopedia.com/gateway/hp-omen-15-144hz-amd-ryzen-7-4800h-16gb-512ssd-gtx1660ti-6gb-win10-ssd-512-gb?whid=0,18-01-2021
HP Omen 15 GTX1660Ti 6GB 144Hz Ryzen 7 4800H 16GB 512ssd Win10 15.6FHD,17.799.000,Jakarta Selatan,12,https://www.tokopedia.com/techpoint/hp-omen-15-gtx1660ti-6gb-144hz-ryzen-7-4800h-16gb-512ssd-win10-15-6fhd-512gb-ssd?whid=0,18-01-2021
"HP Omen 15 2020 Ryen 7-4800H 16GB 512GB GTX1660Ti 6GB Win10 15,6 FHD",17.799.000,Jakarta Pusat,3,https://www.tokopedia.com/kingznotebook/hp-omen-15-2020-ryen-7-4800h-16gb-512gb-gtx1660ti-6gb-win10-15-6-fhd-black?whid=0,18-01-2021
OMEN by HP 15-dh0105tx,24.499.000,Jakarta Barat,29,https://www.tokopedia.com/sinarmulia/omen-by-hp-15-dh0105tx?whid=0,18-01-2021
HP Omen 15 Ryzen 7 4800 16GB 1TB ssd GTX1660Ti 6GB W10 15.6FHD,18.299.000,Jakarta Utara,7,https://www.tokopedia.com/royalltech/hp-omen-15-ryzen-7-4800-16gb-1tb-ssd-gtx1660ti-6gb-w10-15-6fhd?whid=0,18-01-2021
HP Omen 15 en0013AX - Amd Ryzen 7 4800H 16GB 512ssd RTX2060 6GB W10,24.500.000,Jakarta Utara,6,https://www.tokopedia.com/toptech/hp-omen-15-en0013ax-amd-ryzen-7-4800h-16gb-512ssd-rtx2060-6gb-w10-hitam?whid=0,18-01-2021
