name,price,location,sold,link,date
"Lenovo Yoga 6 13 2in1 Touch Ryzen Pro 5 4650 8GB 256ssd Vega7 W10 13""",11.599.000,Jakarta Utara,7,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUE6AUF6AnposjDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUsthbm-7q3OBUsthosJho_1NosKabm-srcHi6syf6mFiy3zwrfo5rM1i6sJOoprXHAea6mFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfB6epe7Z3BRqujp1SByH7ND3uxGqMVAZ_g-qBBO_M2gHjNk3_-6qBja_M2gHjNk3_o-q9P2y_-3o3ea69BqzsBE3_UN8u2_Z_g-qjV2_JoGP3Uao32q17jfZ32-8JOE1Mhqu77a_VPzouBEu9z6zcoN_1HFoV2k19xHuJ-D33Ocqu2JzMOozcHO_uo-r7BW69BxufzFyMFNqO2yeMgxuOV2_fB-P7B2PfBiH72F3s-DPuKpeSBiHBUh3_oZgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Ao6QfUpeMgxuOV2_fB-P7B2PfBs3VgDyfNDgMzIzMNs81jfZ3h6zBUFH1g1QV-M1B1OZVPNgIoqupufgc7dgfu963Ng1fzjgjxduV-ugJNZu_uu3ACD_O-crfNizOgOysoqPjBUQIgqHjuX3Vxd6c-JzSoiHfedgjPR8uxE__z6zVUdgjP78B29gAxMZJdFyBo-r7BX_M2iH72D3A-G83UpgI2q17jfZ32-o1ONoIxvzVJF_Bz0H1Nkypoo8MHhZ3BRq3Ha_SgsQugMyp-3qcoW_MY-qMY2_92VH1hk19PvzV1h_jzsHJY1ypz68jjFZ3dFvZUDUSupg9-wq3ei6iUFUiFiy3hSUstirRzW9fWpg3PwQA-wQAJibm-XP3Oig9-wQfgwy3zpUstaHmFiQSuWyMua9fVjrOYag9Ji6sUFbm-sy9zwq3zpUs2QHsjRbAHdoAeDHpjd6u7DUMNwyfVXgcBjy9zB9fVjraUEHpjDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-srcowrfx5rVYOQSJibm-fg9-pq3YXUstiPsUibm-sQIupPcua9fBj9RyaUstp6_HFbm-sy9zBgfYa8uYpP3PSg9o79fV7PI-2ySu7gZUE3aUp6Ae7UBOY?is_search=1&keywords=lenovo+yoga&src=search&management_type=1&t=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Froyalltech%2Flenovo-yoga-6-13-2in1-touch-ryzen-pro-5-4650-8gb-256ssd-vega7-w10-13%3Fsrc%3Dtopads&page=1&dv=desktop&ob=23,25-01-2021
Lenovo YOGA Duet 7i Core i7 16GB 512 GB SSD 13IML05 GARANSI RESMI - GREY,18.699.000,Jakarta Utara,6,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEopepH_rFHpUDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstabm-7q3OBUsthosJho_1NosKabm-srcHi6syOHmFiy3zwrfo5rM1i6sJp6_JXH_eRHaFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBo1peh_M2-H1B2PfBgHO-N3Ao6QVByZM2xe7jfZ32oP1OJ_9Po8jVE_1zoP7OEe92ozJOR_9B-r7BWPchB3czfyfOZgMHa_SgsQuu2_fB-P7B2PfBiQ_BO3_-uq1Y2Z9BouJ7F3BP3qjN2H3Wvu77h_VzzH7Oke9zvzOjF_uHFPO29ZMxgQuVd3M2CH7Y1z3BHe72fyfODQMV9o3gqzOgR3A-Dq7BkQfBoe7BpZ37N83V9gICiQABRyf7Nqfz9_sCyHMh0Z325q1OAZ9o-Q_BNyuPjrc-D692xzpBR3A-Dq7BkQfBoe7BpZ3NcHu2yZsuyHO-t3sooq1Y2ZBzZu3z61B1OuuKFujYZH9oXyjP3P3Up3Sg-Zchf3s-VQBxy8AxuHVgUuVu3_Ogc6121qO-iZs-dQc-W6_-i81UOys-jqJthH_xMzRPdyjrNHfgU8IooQAxE_7zzHcgU8I-sHBgXgjxd8MzIHcBHe72E3_UN8u2363BsQ_jpyp-uq1Y2Z9B68jBO_Bzs8jOk_9PvuJ7F_Bzs8JO113BHe72E3_UN8u23692qu7gN3_-Sq1Y2Z9B68MPO_32-o1NJ1_z6qjj7_BzCH7NJ13BM1_7YUiFiP9oBrBY2gmUEUsnibm-xQcri6i-pPcOwqRoBgOYDHBYDHZUDUMNOQ3-BrBY5gBYxgIHi6sUFbm-XP3Oig9-wy3zp9R-BrZUEHsnDUMoxPVY2gIHi6BDa6_rDHpK7omFp6_Ka9ZFiQBYsy3Njq3zxPcuwy3zpUstp6ZFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMoFyOYpqcYF9RuXrZUDUSgBrSo2Qfdi6i-fHiUDUMoDP9o7g9-wq3zwPsUi6sHNHpnDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUsHdoAei997?src=search&t=desktop&page=1&keywords=lenovo+yoga&ob=23&management_type=1&dv=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Ftokolaptopid%2Flenovo-yoga-duet-7i-core-i7-16gb-512-gb-ssd-13iml05-garansi-resmi-grey%3Fsrc%3Dtopads&is_search=1,25-01-2021
Lenovo Yoga Duet 7i 13IML 2in1 Touch i5 10210 8GB 512ssd OHS QHD -78ID,15.299.000,Jakarta Utara,17,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUE6AeNopjOHpJDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstpbm-7q3OBUsthosJho_1NosKabm-srcHi6seFHmFiy3zwrfo5rM1i6sJ7o_HXosKFHiFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z9x61pzE_7zzHjO1u92vzVJa_uzu8jYJu3BHe72a3BxDHfUpZMWyH7NkysoGQJBkQfBoe7BpZ37OPM-W_Mh-qMY2_32V8jNIuMhg8BB73jzDqjN_HAC68jBR_VztQ1NJz9zozOg23uPGq7O939P68MWdZ3BRq3UpZSCqHMhO3A-ZQcoc69Cqe7jfZ32Cq1hAZSgsQ3hXyurOgMoUZSgqZVgkgJyNrV2AZ_g-qjV2_JoGPMoWQcNxupuMyp-tPMoc69Cqe7jfZ32Cq1hAZSxjuOgNguyNHVB9gI2-qMY2u_C3ZVzuujY3zsBcucWjyjta8chiQ_jaySBmo3UagcxGH_Jdgjg6zBUFH1g1QV-M1O1OzuPNgIoqupufgc7dgfu963Ng1fzjgjxdr7O98IgjHRKdyjzGgjOEgpC6ZIKdy_o6QVtp8AxsHO-7Z3BRq3Ha_SgsQugM33NGPMep_Mh-qMY2_32go1hkz_-oqjJp_jzoH7NJz9P6q1BpZ3N6qMUpZMhyH7ND3uxGqMVAZ_g-qjjO_1H7H7OE39Po8BBR_1zgo1Y1__C6q1tNUiFiP9oBrBY2gmUEUsnibm-xQcri6i-pPcOwqRoBgOYDHBYDHZUDUMNOQ3-BrBY5gBYxgIHi6sUFbm-XP3Oig9-wy3zp9R-BrZUEHsnDUMoxPVY2gIHi6BDa6_rDHpK7omFp6_KN9ZFiQBYsy3Njq3zxPcuwy3zpUstp6ZFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMoFyOYpqcYF9RuXrZUDUSgBrSo2Qfdi6i-fHiUDUMoDP9o7g9-wq3zwPsUi6sHNHpnDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUsHdoAei997?page=1&keywords=lenovo+yoga&src=search&is_search=1&management_type=1&dv=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Froyalltech%2Flenovo-yoga-duet-7i-13iml-2in1-touch-i5-10210-8gb-512ssd-ohs-qhd-78id%3Fsrc%3Dtopads&ob=23&t=desktop,25-01-2021
Lenovo Yoga C940 2in1 Touch 4K UHD i7 9750 16GB 1TBssd GTX1650 4GB W10,19.999.000,Jakarta Utara,3,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEop1F6_H7HpnDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUst7bm-7q3OBUsthosJho_1NosKabm-srcHi6seFHmFiy3zwrfo5rM1i6sJp6AHXo_rd6ZFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z9Bvepeh_S2VHJOkgpV68j1F_32SH1NNZ9o-Q9zDguxjPMoW1MgsHjNfyfOuq1Y2Z9P-q9P2yM7NPujau3Bvq1BN_uzoHV29uM26q_V0_OPoH1h11_ooqjV7_7PgHJO_HIPqu72t33Oz8V2ke_ovuJu2_JoGPMoWQcNxupuM3jP3POKaQcW-qMY2_1o-r7BW69BxufzFyMFNPfoW63Wju7dF3A-Dq7BkQfBoe7BpZ37N83V9gICiQABEy1rNPOKaQcW-qMY2_1o-r7BXzsVq3JtO3AoZqVtp_3Bvq1211Buj_B-uouuyHVgv1sVpQM-IuSuiHO2fZ1xDPBtaz3Ny3IKdu_C3ZVzuujY3zsBGucWZyjta8chiQ_jaySBmo3UagcxGH_JdgjPR8c-I6_oMZIxp_3Fd8jYJ1_CMZIxayp-3QMgU8I2jzpC2_JoG8Bja69BqusB2yf7NHfHau3Bvq1BN_M2VP1O1e9B6uVj7_7zo81Y1e_z-q9P2yp-6PMoWuMgsHBgtyfO6Q7BkQfBoqMHa_c2s8JN1yp-ouJOd_M2sP7NJ_3BM1_7YUiFiP9oBrBY2gmUEUsnibm-xQcri6i-pPcOwqRoBgOYDHBYDHZUDUMNOQ3-BrBY5gBYxgIHi6sUFbm-XP3Oig9-wy3zp9R-BrZUEHsnDUMoxPVY2gIHi6BDa6_rDHpK7omFp6_Ka9ZFiQBYsy3Njq3zxPcuwy3zpUstp6ZFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMoFyOYpqcYF9RuXrZUDUSgBrSo2Qfdi6i-fHiUDUMoDP9o7g9-wq3zwPsUi6sKfHaFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDiHpK7om-Pwe?management_type=1&page=1&is_search=1&ob=23&r=https%3A%2F%2Fwww.tokopedia.com%2Ftoptech%2Flenovo-yoga-c940-2in1-touch-4k-uhd-i7-9750-16gb-1tbssd-gtx1650-4gb-w10%3Fsrc%3Dtopads&dv=desktop&src=search&t=desktop&keywords=lenovo+yoga,25-01-2021
Lenovo Yoga C740 14iML 2in1 Touch i5 10210 8GB 256ssd W10 14.0FHD,11.299.000,Jakarta Utara,11,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEopyNo_JNH_UDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstObm-7q3OBUsthosJho_1NosKabm-srcHi6srFHmFiy3zwrfo5rM1i6sJ7HsHXopnFoaFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z9x6epzN_7zuH7O119BvzV1p_uzz81YJu3BHe72a3BxDHfUpZMWyH7NkysoGQJBkQfBoe7BpZ37OPM-W_Mh-qMY2_32V8jNIuMhg8BB73jzDqjN_HAC68jBR_VztQ1NJz9zozOg23uPGq7O939P68MWdZ3BRq3UpZSCqHMhO3A-ZQcoc69Cqe7jfZ32Cq1hAZSgsQ3hXyurOgMoUZSgqZVgkgJyNrV2AZ_g-qjV2_JoGPMoWQcNxupuMyp-tPMoc69Cqe7jfZ32Cq1hAZSxjuOgNguyNHVB9gI2-qMY2u_C3ZVzuujY3zsBcucWjyjta8chiQ_jaySBmo3UagcxGH_Jdgjg6zBUFH1g1QV-M1O1OzuPNgIoqupufgc7dgfu963Ng1fzjgjxdr7O98IgjHRKdyjzGgjOEgpC6ZIKdy_o6QVtp8AxsHO-7Z3BRq3Ha_SgsQugM33NGPMep_Mh-qMY2_32sH7hk3_V68jjh_jzoHJNE3_zoqB1pZ3BRq3Ha_SgsQugMyp-3qcoW_MY-qMY2_32SHJhkypCozJ1h_BzsH1OJypzoqBu2gBJYvZUDUSupg9-wq3ei6iUFUiFiy3hSUstirRzW9fWpg3PwQA-wQAJibm-XP3Oig9-wQfgwy3zpUstaHmFiQSuWyMua9fVjrOYag9Ji6sUFbm-sy9zwq3zpUs2QHsjRbAHdoAeDHpjd6u7DUMNwyfVXgcBjy9zB9fVjraUEHpjDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-srcowrfx5rVYOQSJibm-fg9-pq3YXUstiPsUibm-sQIupPcua9fBj9RyaUstp6_HFbm-sy9zBgfYa8uYpP3PSg9o79fV7PI-2ySu7gZUE3aUp6Ae7UBOY?is_search=1&r=https%3A%2F%2Fwww.tokopedia.com%2Froyalltech%2Flenovo-yoga-c740-14iml-2in1-touch-i5-10210-8gb-256ssd-w10-14-0fhd%3Fsrc%3Dtopads&src=search&keywords=lenovo+yoga&page=1&t=desktop&dv=desktop&ob=23&management_type=1,25-01-2021
Lenovo Yoga Slim 7 14ARE05 1RID | Ryzen 5 4500U 16GB 512ssd W10 14FHD,13.499.000,Jakarta Utara,20,https://www.tokopedia.com/amd-id/lenovo-yoga-slim-7-14are05-1rid-ryzen-5-4500u-16gb-512ssd-w10-14fhd?whid=0,25-01-2021
Lenovo Yoga Slim 7 14ARE05 11ID | Ryzen 7 4800U 16GB 1TBssd W10 14FHD,17.499.000,Jakarta Utara,51,https://www.tokopedia.com/amd-id/lenovo-yoga-slim-7-14are05-11id-ryzen-7-4800u-16gb-1tbssd-w10-14fhd?whid=0,25-01-2021
Lenovo Yoga C740 14iML 2in1 Touch i5 10210 8GB 256ssd W10 14.0FHD,11.299.000,Jakarta Utara,11,https://www.tokopedia.com/royalltech/lenovo-yoga-c740-14iml-2in1-touch-i5-10210-8gb-256ssd-w10-14-0fhd?whid=0,25-01-2021
Lenovo Yoga Slim 7 14ARE Ryzen 7 4800 16GB 1TBssd W10+OHS2019 300Nits,16.990.000,Jakarta Pusat,10,https://www.tokopedia.com/mayunstore/lenovo-yoga-slim-7-14are-ryzen-7-4800-16gb-1tbssd-w10-ohs2019-300nits?whid=0,25-01-2021
"LAPTOP LENOVO YOGA C940-14IIL-77ID i7-1065G7 16GB 1TB W10 14""4K TOUCH",19.799.000,Jakarta Pusat,10,https://www.tokopedia.com/kingznotebook/laptop-lenovo-yoga-c940-14iil-77id-i7-1065g7-16gb-1tb-w10-14-4k-touch-mica?whid=0,25-01-2021
