name,price,location,sold,link,date
MSI PRESTIGE 14 A11SCX [9S7-14C413-230] i7-1185G7 512GB GTX1650 4GB,19.999.000,Jakarta Pusat,9,https://www.tokopedia.com/msi-official/msi-prestige-14-a11scx-9s7-14c413-230-i7-1185g7-512gb-gtx1650-4gb?whid=0,27-01-2021
MSI Prestige 14 A10SC [9S7-14C112-061] - Carbon Gray,19.999.000,Jakarta Pusat,5,https://www.tokopedia.com/msi-official/msi-prestige-14-a10sc-9s7-14c112-061-carbon-gray?whid=0,27-01-2021
MSI PRESTIGE 15 A11SCX [9S7-16S611-233] i7-1185G7 16GB 1TB GTX1650 4GB,21.999.000,Jakarta Pusat,12,https://www.tokopedia.com/msi-official/msi-prestige-15-a11scx-9s7-16s611-233-i7-1185g7-16gb-1tb-gtx1650-4gb?whid=0,27-01-2021
MSI Prestige 14 A10SC [9S7-14C112-041] - Carbon Gray,25.999.000,Jakarta Pusat,3,https://www.tokopedia.com/msi-official/msi-prestige-14-a10sc-9s7-14c112-041-carbon-gray?whid=0,27-01-2021
MSI PRESTIGE 15 A11SCX [9S7-16S612-234] i7-1185G7 16GB 1TB GTX1650 4GB,21.999.000,Jakarta Pusat,5,https://www.tokopedia.com/msi-official/msi-prestige-15-a11scx-9s7-16s612-234-i7-1185g7-16gb-1tb-gtx1650-4gb?whid=0,27-01-2021
MSI Prestige 14 A11SCX [9S7-14C412-232] i7-1185G7 16GB 512 GTX1650 4G,19.999.000,Jakarta Pusat,12,https://www.tokopedia.com/msi-official/msi-prestige-14-a11scx-9s7-14c412-232-i7-1185g7-16gb-512-gtx1650-4g?whid=0,27-01-2021
MSI PRESTIGE 14 A10RAS [9S7-14C213-217] i7-10510U 16GB 512GB MX330 2GB,20.399.000,Jakarta Pusat,3,https://www.tokopedia.com/msi-official/msi-prestige-14-a10ras-9s7-14c213-217-i7-10510u-16gb-512gb-mx330-2gb?whid=0,27-01-2021
MSI PRESTIGE 15 A11SCX [9S7-16S611-232] i7-1185G7 32GB 1TB GTX1650 4GB,28.999.000,Jakarta Pusat,5,https://www.tokopedia.com/msi-official/msi-prestige-15-a11scx-9s7-16s611-232-i7-1185g7-32gb-1tb-gtx1650-4gb?whid=0,27-01-2021
MSI PRESTIGE 15 i7 10710 16GB 512ssd GTX1650 4GB W10 15.6FHD Gry -A10S,19.699.000,Jakarta Utara,4,https://www.tokopedia.com/rogsstoreid/msi-prestige-15-i7-10710-16gb-512ssd-gtx1650-4gb-w10-15-6fhd-gry-a10s?whid=0,27-01-2021
MSI Prestige 15 A10SC [9S7-16S311-080] - Carbon Gray,20.999.000,Jakarta Pusat,35,https://www.tokopedia.com/msi-official/msi-prestige-15-a10sc-9s7-16s311-080-carbon-gray?whid=0,27-01-2021
MSI PRESTIGE 14 i7 10710 8GB 512ssd GTX1650 4GB W10 14FHD -A10SC.061,18.699.000,Jakarta Utara,1,https://www.tokopedia.com/royalltech/msi-prestige-14-i7-10710-8gb-512ssd-gtx1650-4gb-w10-14fhd-a10sc-061?whid=0,27-01-2021
MSI PRESTIGE 15 A10SC-080ID I7-10710U 16GB 512GB SSD GTX1650 4GB WIN10,23.499.000,Jakarta Pusat,3,https://www.tokopedia.com/zxcomputer/msi-prestige-15-a10sc-080id-i7-10710u-16gb-512gb-ssd-gtx1650-4gb-win10?whid=0,27-01-2021
Laptop MSI Prestige 14 A10RAS - 217 (pink) i7-10510U 512GB.SSD 16GB,19.999.000,Bandung,1,https://www.tokopedia.com/dentshop/laptop-msi-prestige-14-a10ras-217-pink-i7-10510u-512gb-ssd-16gb?whid=0,27-01-2021
MSI Prestige 14 A11SCX [9S7-14C412-231] i7-1185G7 32GB 1TB GTX1650 4GB,27.999.000,Jakarta Pusat,1,https://www.tokopedia.com/msi-official/msi-prestige-14-a11scx-9s7-14c412-231-i7-1185g7-32gb-1tb-gtx1650-4gb?whid=0,27-01-2021
"MSI LAPTOP PRESTIGE 14-A11SCX-231 i7-1185G7 32GB 1TB GTX1650 14""",27.999.000,Jakarta Pusat,1,https://www.tokopedia.com/globalpersadasys/msi-laptop-prestige-14-a11scx-231-i7-1185g7-32gb-1tb-gtx1650-14?whid=0,27-01-2021
