name,price,location,reviews,link,date
LCD LED Screen Panel 13.3 Slim Acer Aspire S3 Series Silver,2.000.000,KOTA JAKARTA PUSAT,0,https://shopee.co.id/LCD-LED-Screen-Panel-13.3-Slim-Acer-Aspire-S3-Series-Silver-i.175150874.4557936785,19-11-2020
ACER ASPIRE 3 A314 22 AMD RYZEN 3 3250U 4GB SSD256GB WINDOWS OFFICE ORIGINAL,6.550.000,KOTA SURABAYA,3,https://shopee.co.id/ACER-ASPIRE-3-A314-22-AMD-RYZEN-3-3250U-4GB-SSD256GB-WINDOWS-OFFICE-ORIGINAL-i.1058807.3417366590,19-11-2020
"Acer Aspire 3 Slim A314-22-R1KF [14""FHD/3050U/4G/256GB/W10+OHS] Black [NX.HVVSN.00F]",4.799.000,KOTA JAKARTA TIMUR,41,https://shopee.co.id/Acer-Aspire-3-Slim-A314-22-R1KF-14-FHD-3050U-4G-256GB-W10-OHS-Black-NX.HVVSN.00F--i.37968209.4558383100,19-11-2020
ACER ASPIRE 3 SLIM A314 AMD ATHLON 3050U RAM4GB SSD256GB/512GB 14 FHD WINDOWS 10 + OFFICE ORIGINAL,6.199.000,KOTA JAKARTA PUSAT,6,https://shopee.co.id/ACER-ASPIRE-3-SLIM-A314-AMD-ATHLON-3050U-RAM4GB-SSD256GB-512GB-14-FHD-WINDOWS-10-OFFICE-ORIGINAL-i.32829345.6258656975,19-11-2020
LAPTOP ACER ASPIRE 3 A314 QUADCORE N4120 | RAM 4GB | SSD 256GB - WIN10 BLACK,5.485.000,KOTA JAKARTA PUSAT,2,https://shopee.co.id/LAPTOP-ACER-ASPIRE-3-A314-QUADCORE-N4120-RAM-4GB-SSD-256GB-WIN10-BLACK-i.317416134.7655843132,19-11-2020
Laptop Acer Aspire 5 A514-53 | NX.HZ6SN.002 - BONUS MOUSE,7.199.000,KOTA TANGERANG SELATAN,13,https://shopee.co.id/Laptop-Acer-Aspire-5-A514-53-NX.HZ6SN.002-BONUS-MOUSE-i.155149633.7749895104,19-11-2020
GO TO SCHOOL ACER ASPIRE 3 A314 32 INTEL QUADCORE N4120 4GB 256GB WIN10 OBSIDIAN BLACK + OHS,6.090.000,KOTA JAKARTA SELATAN,2,https://shopee.co.id/GO-TO-SCHOOL-ACER-ASPIRE-3-A314-32-INTEL-QUADCORE-N4120-4GB-256GB-WIN10-OBSIDIAN-BLACK-OHS-i.237770067.7355012145,19-11-2020
ACER ASPIRE 3 SLIM A314 R6JU AMD ATHLON 3050U RAM8GB SSD512GB 14 FHD WINDOWS 10 + OFFICE ORIGINAL,6.699.000,KOTA JAKARTA PUSAT,6,https://shopee.co.id/ACER-ASPIRE-3-SLIM-A314-R6JU-AMD-ATHLON-3050U-RAM8GB-SSD512GB-14-FHD-WINDOWS-10-OFFICE-ORIGINAL-i.32829345.7658657631,19-11-2020
ACER ASPIRE 3 A314-32-N4120-4GB-256GB-WIN10 OBSIDIAN BLACK,5.485.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/ACER-ASPIRE-3-A314-32-N4120-4GB-256GB-WIN10-OBSIDIAN-BLACK-i.21228167.5546473072,19-11-2020
"ACER ASPIRE 3 SLIM A314-22 - RYZEN 3-3250U - 4GB - 256GB SSD - 14""FHD - WIN10 - OFFICE",6.999.000,KOTA JAKARTA BARAT,126,https://shopee.co.id/ACER-ASPIRE-3-SLIM-A314-22-RYZEN-3-3250U-4GB-256GB-SSD-14-FHD-WIN10-OFFICE-i.30555036.1755936284,19-11-2020
