name,price,location,reviews,link,date
ACER NITRO 5 AN515-54-77YU i7-9750H/8GB/256GB SSD/GTX 1650 4GB/144 Hz,14.345.000,KOTA JAKARTA PUSAT,0,https://shopee.co.id/ACER-NITRO-5-AN515-54-77YU-i7-9750H-8GB-256GB-SSD-GTX-1650-4GB-144-Hz-i.331894459.3463590124,19-11-2020
ACER NITRO 7 AN715-51-74NA i7-9750H/8GB/512GB SSD/GTX 1660 TI/144 Hz,19.200.000,KOTA JAKARTA PUSAT,0,https://shopee.co.id/ACER-NITRO-7-AN715-51-74NA-i7-9750H-8GB-512GB-SSD-GTX-1660-TI-144-Hz-i.331894459.6263497668,19-11-2020
ACER NITRO 5 AN515-55-58X3 i5-10300H/8GB/512GB SSD/GTX 1650/144 Hz,12.850.000,KOTA JAKARTA PUSAT,0,https://shopee.co.id/ACER-NITRO-5-AN515-55-58X3-i5-10300H-8GB-512GB-SSD-GTX-1650-144-Hz-i.331894459.6863497886,19-11-2020
ACER PREDATOR NITRO 5 AN515-55 - i5-10300H - 8GB - 512SSD - GTX1650Ti 4G  - W10 - OFFICE - FHD 144Hz,12.799.000,KOTA JAKARTA BARAT,38,https://shopee.co.id/ACER-PREDATOR-NITRO-5-AN515-55-i5-10300H-8GB-512SSD-GTX1650Ti-4G-W10-OFFICE-FHD-144Hz-i.174585297.3419562795,19-11-2020
Acer i5 Gen7 RAM 8GB Nvidia 940MX Dual VGA Gaming Laptop Second E5-475 / 475G not rog asus nitro tuf,5.900.000,KOTA TANGERANG SELATAN,8,https://shopee.co.id/Acer-i5-Gen7-RAM-8GB-Nvidia-940MX-Dual-VGA-Gaming-Laptop-Second-E5-475-475G-not-rog-asus-nitro-tuf-i.6356067.2766117514,19-11-2020
ACER NITRO 5 RYZEN 5-3550H HDD RAM UP 16 Gb 1TB LAYAR IPS,10.700.000,KOTA JAKARTA PUSAT,2,https://shopee.co.id/ACER-NITRO-5-RYZEN-5-3550H-HDD-RAM-UP-16-Gb-1TB-LAYAR-IPS-i.64979891.7942154383,19-11-2020
Acer Nitro 5 Ryzen 5 Mulus Fullset,9.500.000,KOTA DENPASAR,1,https://shopee.co.id/Acer-Nitro-5-Ryzen-5-Mulus-Fullset-i.136567416.4955420298,19-11-2020
"Acer Nitro 5 AN515-55-76SK [15.6"", i7-10750H, 8GB, 512GB SSD, Win10, OHS] [NH.Q7NSN.001]",15.999.000,KOTA JAKARTA TIMUR,1,https://shopee.co.id/Acer-Nitro-5-AN515-55-76SK-15.6-i7-10750H-8GB-512GB-SSD-Win10-OHS-NH.Q7NSN.001--i.37968209.7542668708,19-11-2020
"ACER PREDATOR NITRO 5 AN515-55 - i5-10300H - 8GB - 512SSD - GTX1650Ti 4GB - 15.6""144Hz -W10 - OFFICE",12.899.000,KOTA JAKARTA BARAT,10,https://shopee.co.id/ACER-PREDATOR-NITRO-5-AN515-55-i5-10300H-8GB-512SSD-GTX1650Ti-4GB-15.6-144Hz-W10-OFFICE-i.30555036.6819466372,19-11-2020
Acer Predator Nitro 5 AN515-55 i5-10300H/GTX 1650 4GB/8GB/512GB W10 144Hz,12.899.000,KOTA JAKARTA PUSAT,2,https://shopee.co.id/Acer-Predator-Nitro-5-AN515-55-i5-10300H-GTX-1650-4GB-8GB-512GB-W10-144Hz-i.24011016.3743826330,19-11-2020
ACER NITRO 5 AN515-55-579N i5 10300H IPS FHD 144Hz 1650 4GB 512GB 8GB,12.228.000,KOTA BANJARMASIN,1,https://shopee.co.id/ACER-NITRO-5-AN515-55-579N-i5-10300H-IPS-FHD-144Hz-1650-4GB-512GB-8GB-i.42169165.3451842952,19-11-2020
Acer Nitro 7 AN715-51-74NA [Intel Core i7-9750H] [NH.Q5HSN.004],16.999.000,KOTA JAKARTA TIMUR,1,https://shopee.co.id/Acer-Nitro-7-AN715-51-74NA-Intel-Core-i7-9750H-NH.Q5HSN.004--i.37968209.2842418548,19-11-2020
"ACER NITRO 5 AN515-55-76SK - i7-10750H - 8GB - 512SSD - GTX1650Ti 4GB - 15.6""FHD IPS 144Hz - Win10",14.999.000,KOTA JAKARTA BARAT,1,https://shopee.co.id/ACER-NITRO-5-AN515-55-76SK-i7-10750H-8GB-512SSD-GTX1650Ti-4GB-15.6-FHD-IPS-144Hz-Win10-i.30555036.7247296601,19-11-2020
Acer Predator Nitro 7 AN715-51-701Y i7 9750H 16GB 512ssd GTX1650 4GB W10 15.6FHD 144Hz Red KB,14.499.000,KOTA JAKARTA UTARA,8,https://shopee.co.id/Acer-Predator-Nitro-7-AN715-51-701Y-i7-9750H-16GB-512ssd-GTX1650-4GB-W10-15.6FHD-144Hz-Red-KB-i.15641210.5841637525,19-11-2020
ACER Nitro 5 AN515-55 Intel Core I5 10300H | NVidia GeForce GTX 1650Ti  4GB 144HZ,12.999.000,KOTA SURABAYA,3,https://shopee.co.id/ACER-Nitro-5-AN515-55-Intel-Core-I5-10300H-NVidia-GeForce-GTX-1650Ti-4GB-144HZ-i.229024612.4740388540,19-11-2020
Acer Predator Nitro 5,12.199.000,KOTA PRABUMULIH,2,https://shopee.co.id/Acer-Predator-Nitro-5-i.3731977.2088155663,19-11-2020
MONITOR GAMING ACER NITRO VG270U 27QHD FreeSync IPS,4.180.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/MONITOR-GAMING-ACER-NITRO-VG270U-27QHD-FreeSync-IPS-i.120453187.2221324831,19-11-2020
