name,price,location,reviews,link,date
LAPTOP ACER SWIFT 3 SF314-41 RYZEN 5-3500U  512GB RADEON VEGA 8 W10 FREE OHS,9.475.000,KOTA JAKARTA PUSAT,73,https://shopee.co.id/LAPTOP-ACER-SWIFT-3-SF314-41-RYZEN-5-3500U-512GB-RADEON-VEGA-8-W10-FREE-OHS-i.141973518.6303645603,27-11-2020
"LAPTOP BARU ACER SWIFT 3 SF314 - AMD Ryzen 5 3500U - 4GB RAM - SSD 512GB - 14"" - VGA AMD VEGA",9.171.000,KOTA SURABAYA,19,https://shopee.co.id/LAPTOP-BARU-ACER-SWIFT-3-SF314-AMD-Ryzen-5-3500U-4GB-RAM-SSD-512GB-14-VGA-AMD-VEGA-i.6771107.7807492228,27-11-2020
"LAPTOP ACER SWIFT 1 SF114-33 - PENTIUM N5030 4GB 512GB 14"" FHD IPS W10",6.499.000,KOTA JAKARTA PUSAT,6,https://shopee.co.id/LAPTOP-ACER-SWIFT-1-SF114-33-PENTIUM-N5030-4GB-512GB-14-FHD-IPS-W10-i.27662413.4455333694,27-11-2020
ACER Swift 3 SF314-57-39WL [ Intel Gen 10th  i3-1005G1 and SSD 256GB ] Backlight Keyboard.,7.669.000,KOTA SURABAYA,3,https://shopee.co.id/ACER-Swift-3-SF314-57-39WL-Intel-Gen-10th-i3-1005G1-and-SSD-256GB-Backlight-Keyboard.-i.2916805.5216778343,27-11-2020
Acer Swift  3 SF314-41 Ryzen 5-3500U Ram 8 SSD HDD 1Tb IPS FHD MULUSS,8.950.000,KOTA JAKARTA PUSAT,3,https://shopee.co.id/Acer-Swift-3-SF314-41-Ryzen-5-3500U-Ram-8-SSD-HDD-1Tb-IPS-FHD-MULUSS-i.64979891.6148816904,27-11-2020
"ACER SWIFT 3 SF314-41-R24M/R9JT AMD RYZEN 5 3500U/8GB/512 SSD/14""/WIN10+OHS",9.448.000,KOTA JAKARTA PUSAT,4,https://shopee.co.id/ACER-SWIFT-3-SF314-41-R24M-R9JT-AMD-RYZEN-5-3500U-8GB-512-SSD-14-WIN10-OHS-i.28679071.4945828300,27-11-2020
Laptop Acer Swift 3 SF314-57G-57S9 with Intel i5 10th Gen & SSD 256 GB - Abu-abu,9.247.000,KOTA SURABAYA,2,https://shopee.co.id/Laptop-Acer-Swift-3-SF314-57G-57S9-with-Intel-i5-10th-Gen-SSD-256-GB-Abu-abu-i.47640758.6018411343,27-11-2020
LAPTOP ACER SWIFT 3 SF314 57-39WL CORE I3-1005G1 4GB SSD M2 256GB 14 INCH FULL HD IPS SLIM TIPIS,7.716.999,KOTA SURABAYA,2,https://shopee.co.id/LAPTOP-ACER-SWIFT-3-SF314-57-39WL-CORE-I3-1005G1-4GB-SSD-M2-256GB-14-INCH-FULL-HD-IPS-SLIM-TIPIS-i.81198833.4512484318,27-11-2020
Acer Swift 3 Intel Core i7-8565U RAM 8GB HDD 1TB VGA 2GB Win 10,10.999.000,KOTA JAKARTA UTARA,1,https://shopee.co.id/Acer-Swift-3-Intel-Core-i7-8565U-RAM-8GB-HDD-1TB-VGA-2GB-Win-10-i.24109125.6607778757,27-11-2020
LAPTOP ACER SWIFT 3 SF314 INTEL CORE I3 GEN 10 RAM 4GB SSD 256GB 14FHD,7.807.080,KOTA SURABAYA,3,https://shopee.co.id/LAPTOP-ACER-SWIFT-3-SF314-INTEL-CORE-I3-GEN-10-RAM-4GB-SSD-256GB-14FHD-i.3931398.6511945957,27-11-2020
Acer swift 3 (intel core i7-8565u/2*4gb/1tb/mx 150 2gb/no odd/w10/blue),12.799.000,KOTA JAKARTA UTARA,3,https://shopee.co.id/Acer-swift-3-(intel-core-i7-8565u-2*4gb-1tb-mx-150-2gb-no-odd-w10-blue)-i.60324286.4019322439,27-11-2020
LAPTOP ACER SWIFT SF314 54 I5-8265U NVIDIA MX150,7.450.000,KOTA JAKARTA BARAT,3,https://shopee.co.id/LAPTOP-ACER-SWIFT-SF314-54-I5-8265U-NVIDIA-MX150-i.161292590.5732563556,27-11-2020
ACER SWIFT 3 i3 7020U 4GB 1TB NVIDIA MX150 2GB WIN10 14 INCH FHD IPS ALL WARNA,7.349.000,KOTA KEDIRI,4,https://shopee.co.id/ACER-SWIFT-3-i3-7020U-4GB-1TB-NVIDIA-MX150-2GB-WIN10-14-INCH-FHD-IPS-ALL-WARNA-i.89723392.1780004757,27-11-2020
Laptop Acer Swift 3 SF314-57-39WL with Intel Gen 10th and SSD M2 256GB - Abu-abu,7.717.588,KOTA SURABAYA,3,https://shopee.co.id/Laptop-Acer-Swift-3-SF314-57-39WL-with-Intel-Gen-10th-and-SSD-M2-256GB-Abu-abu-i.47640758.5118414650,27-11-2020
LAPTOP ACER SWIFT 3 SF314-54 Intel Core i5 8th RAM DDR4 4GB HDD1GB FHD WINDOWS 10 ORI,8.700.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/LAPTOP-ACER-SWIFT-3-SF314-54-Intel-Core-i5-8th-RAM-DDR4-4GB-HDD1GB-FHD-WINDOWS-10-ORI-i.186855095.3459163852,27-11-2020
"ACER SWIFT 5 SF514-53T (i5-8265U/8GB/256GB SSD/Intel® UHD Graphics 620/14"" FHD/W10+PRE OHS/BLUE)",11.200.000,KOTA JAKARTA UTARA,1,https://shopee.co.id/ACER-SWIFT-5-SF514-53T-(i5-8265U-8GB-256GB-SSD-Intel®-UHD-Graphics-620-14-FHD-W10-PRE-OHS-BLUE)-i.60324286.3242565432,27-11-2020
ACER SWIFT 3 SF314 57 INTEL i3 1005G1 4GB SSD256GB,7.950.000,KOTA SURABAYA,1,https://shopee.co.id/ACER-SWIFT-3-SF314-57-INTEL-i3-1005G1-4GB-SSD256GB-i.1058807.6338974505,27-11-2020
Acer Swift 3 SF314-56G,8.750.000,KOTA MEDAN,1,https://shopee.co.id/Acer-Swift-3-SF314-56G-i.35441254.5345595739,27-11-2020
"{b2k} LAPTOP ACER SWIFT 3 ACER DAY ATHLON 300U 8GB 256GB WIN10 14""FHD",9.560.000,KOTA BEKASI,1,https://shopee.co.id/-b2k-LAPTOP-ACER-SWIFT-3-ACER-DAY-ATHLON-300U-8GB-256GB-WIN10-14-FHD-i.171507150.2725527481,27-11-2020
Acer swift 3,15.000.000,KOTA JAKARTA TIMUR,1,https://shopee.co.id/Acer-swift-3-i.11665929.1889348383,27-11-2020
"Acer Swift 7 SF714-52T Touch i7 8500Y 16GB 512ssd Win10 14.0""FHD MURAH",17.699.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/Acer-Swift-7-SF714-52T-Touch-i7-8500Y-16GB-512ssd-Win10-14.0-FHD-MURAH-i.264524770.6662624622,27-11-2020
ACER SWIFT 3 SF314-41-R9JT/R24M/R2HG RYZEN 5-3500U 4GB-512GB-W10-14FHD,9.598.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/ACER-SWIFT-3-SF314-41-R9JT-R24M-R2HG-RYZEN-5-3500U-4GB-512GB-W10-14FHD-i.120453187.6748516471,27-11-2020
ACER Swift 3 (Core i5-6200U) Non Windows [NX.GKLSN.002] - Silver,9.399.000,KOTA JAKARTA BARAT,7,https://shopee.co.id/ACER-Swift-3-(Core-i5-6200U)-Non-Windows-NX.GKLSN.002-Silver-i.69309291.1154459348,27-11-2020
"ACER SWIFT 3 SF314-57 I3-1005G1/4GB/SSD 256GB/14"" FHD IPS/WIND10",15.000.000,KOTA JAKARTA UTARA,2,https://shopee.co.id/ACER-SWIFT-3-SF314-57-I3-1005G1-4GB-SSD-256GB-14-FHD-IPS-WIND10-i.251824880.4729515822,27-11-2020
ACER SWIFT 3 SF314 56G i7-8565 8GB 1TB NVIDIA MX250 2GB WIN+OHS 14 INCH FHD IPS GARANSI RESMI,11.499.000,KOTA KEDIRI,2,https://shopee.co.id/ACER-SWIFT-3-SF314-56G-i7-8565-8GB-1TB-NVIDIA-MX250-2GB-WIN-OHS-14-INCH-FHD-IPS-GARANSI-RESMI-i.89723392.3959978882,27-11-2020
