name,price,location,reviews,link,date
ASUS Zephyrus ROG G14 GA401IU-R766A8G - AMD Ryzen 7 4800HS 8GB 512ssd GTX1660Ti 6GB W10 15.6FHD,25.549.000,KOTA JAKARTA UTARA,1,https://shopee.co.id/ASUS-Zephyrus-ROG-G14-GA401IU-R766A8G-AMD-Ryzen-7-4800HS-8GB-512ssd-GTX1660Ti-6GB-W10-15.6FHD-i.78730497.7145167808,26-11-2020
Laptop ASUS TUF FX505GT-I565B6T i5-9300H 144Hz GTX1650 8GB 512GB 15.6 Inch Black,11.885.000,KOTA JAKARTA PUSAT,20,https://shopee.co.id/Laptop-ASUS-TUF-FX505GT-I565B6T-i5-9300H-144Hz-GTX1650-8GB-512GB-15.6-Inch-Black-i.148846460.7744163494,26-11-2020
Asus X550V Baby ROG Core i7-7700HQ Nvidia GTX950 Gaming Laptop Second / Bekas Murah x550vx not Tuf,8.250.000,KOTA TANGERANG SELATAN,3,https://shopee.co.id/Asus-X550V-Baby-ROG-Core-i7-7700HQ-Nvidia-GTX950-Gaming-Laptop-Second-Bekas-Murah-x550vx-not-Tuf-i.6356067.7156333602,26-11-2020
ASUS TUF GAMING FX505DT R565B6T - RYZEN 5-3550H - 8GB - 512GB - GTX1650 4GB - 144Hz - WIN10,11.499.000,KOTA JAKARTA BARAT,45,https://shopee.co.id/ASUS-TUF-GAMING-FX505DT-R565B6T-RYZEN-5-3550H-8GB-512GB-GTX1650-4GB-144Hz-WIN10-i.174585297.3724175283,26-11-2020
ASUS TUF GAMING A15 FX506II - AMD Ryzen 5-4600H 8GB 512ssd GTX1650Ti 4GB W10 15.6FHD,13.449.000,KOTA JAKARTA UTARA,25,https://shopee.co.id/ASUS-TUF-GAMING-A15-FX506II-AMD-Ryzen-5-4600H-8GB-512ssd-GTX1650Ti-4GB-W10-15.6FHD-i.78730497.7632963469,26-11-2020
ASUS TUF GAMING A15 FX506IH-R565B6T - R5-4600H - 8GB - 512GB - GTX1650 4GB - Win10 - FHD 144Hz,12.799.000,KOTA JAKARTA BARAT,13,https://shopee.co.id/ASUS-TUF-GAMING-A15-FX506IH-R565B6T-R5-4600H-8GB-512GB-GTX1650-4GB-Win10-FHD-144Hz-i.174585297.5441557025,26-11-2020
"ASUS TUF GAMING FX505GT-I565B6T -  i5-9300H - 8GB - 512GB SSD - GTX1650 4GB - 15,6""FHD 144Hz - Win10",11.949.000,KOTA JAKARTA BARAT,7,https://shopee.co.id/ASUS-TUF-GAMING-FX505GT-I565B6T-i5-9300H-8GB-512GB-SSD-GTX1650-4GB-15-6-FHD-144Hz-Win10-i.30555036.5541427339,26-11-2020
Asus ROG TUF FX504GD Gaming Laptop i7 Gen 8 w/ GDDR5X 1050,11.950.000,KOTA BANDUNG,3,https://shopee.co.id/Asus-ROG-TUF-FX504GD-Gaming-Laptop-i7-Gen-8-w-GDDR5X-1050-i.25348905.1987150827,26-11-2020
ASUS TUF A15 Ryzen 9 4900H RTX 2060 6GB RAM 8GB 512GB 15.6 Inch FHD 144Hz FX506IV-R9R6B6T,21.459.000,KOTA JAKARTA PUSAT,29,https://shopee.co.id/ASUS-TUF-A15-Ryzen-9-4900H-RTX-2060-6GB-RAM-8GB-512GB-15.6-Inch-FHD-144Hz-FX506IV-R9R6B6T-i.148846460.5741916541,26-11-2020
ASUS TUF FX505DT RYZEN 5-3550H Ram 8 SSD512Gb Fullset,10.750.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/ASUS-TUF-FX505DT-RYZEN-5-3550H-Ram-8-SSD512Gb-Fullset-i.64979891.6863014746,26-11-2020
ASUS TUF A15 FX506IU-R766B7T - R7-4800H - 8GB - 1TB+256 GB SSD - GTX1660Ti 6GB - W10 - IPS 144Hz,16.699.000,KOTA JAKARTA BARAT,4,https://shopee.co.id/ASUS-TUF-A15-FX506IU-R766B7T-R7-4800H-8GB-1TB-256-GB-SSD-GTX1660Ti-6GB-W10-IPS-144Hz-i.174585297.5036550665,26-11-2020
ASUS TUF GAMING FX505DT-R565B6T - RYZEN 5-3350H - 8GB - 512GB SSD - GTX650 4GB - WIN10 - 144Hz,11.499.000,KOTA JAKARTA BARAT,15,https://shopee.co.id/ASUS-TUF-GAMING-FX505DT-R565B6T-RYZEN-5-3350H-8GB-512GB-SSD-GTX650-4GB-WIN10-144Hz-i.30555036.2880248902,26-11-2020
ASUS TUF GAMING A15 FX506II-R75TB6T - AMD Ryzen 7-4800H GTX 1650Ti V4GB 8GB 512 SSD 144HZ RGB,15.099.000,KOTA JAKARTA UTARA,28,https://shopee.co.id/ASUS-TUF-GAMING-A15-FX506II-R75TB6T-AMD-Ryzen-7-4800H-GTX-1650Ti-V4GB-8GB-512-SSD-144HZ-RGB-i.78730497.5832964015,26-11-2020
Asus ROG GL503VD Gaming Laptop i7 GDDR5X 1050 IPS Not GL553VD G531GD G531GT G512LI TUF A15 Omen 15,12.950.000,KOTA BANDUNG,10,https://shopee.co.id/Asus-ROG-GL503VD-Gaming-Laptop-i7-GDDR5X-1050-IPS-Not-GL553VD-G531GD-G531GT-G512LI-TUF-A15-Omen-15-i.25348905.840839305,26-11-2020
NEW ASUS TUF GAMING A15 FX506II-R75TB6T,15.499.000,KOTA MEDAN,7,https://shopee.co.id/NEW-ASUS-TUF-GAMING-A15-FX506II-R75TB6T-i.13315074.7233678119,26-11-2020
ASUS TUF GAMING A15 FX506II - RYZEN 7-4800H - 8GB - 512GB SSD - GTX1650Ti 4GB - 144Hz - W10,15.199.000,KOTA JAKARTA BARAT,77,https://shopee.co.id/ASUS-TUF-GAMING-A15-FX506II-RYZEN-7-4800H-8GB-512GB-SSD-GTX1650Ti-4GB-144Hz-W10-i.174585297.7404447993,26-11-2020
"ASUS TUF A15 FX506IU RYZEN 7-4800H 8GB 256GB+1TB GTX1660Ti WIN10 15,6""",16.699.000,KOTA JAKARTA PUSAT,2,https://shopee.co.id/ASUS-TUF-A15-FX506IU-RYZEN-7-4800H-8GB-256GB-1TB-GTX1660Ti-WIN10-15-6--i.47045592.7136684731,26-11-2020
ASUS TUF GAMING A15 FX506II - AMD Ryzen 7-4800H 8GB 512ssd GTX1650Ti 4GB W10 15.6FHD,15.850.000,KOTA MAKASSAR,5,https://shopee.co.id/ASUS-TUF-GAMING-A15-FX506II-AMD-Ryzen-7-4800H-8GB-512ssd-GTX1650Ti-4GB-W10-15.6FHD-i.43209604.6935792602,26-11-2020
Laptop ASUS TUF FX505DT AMD Ryzen 7-3750H 256GB+1TB GTX1650-4GB Black,12.625.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/Laptop-ASUS-TUF-FX505DT-AMD-Ryzen-7-3750H-256GB-1TB-GTX1650-4GB-Black-i.235577180.5245702294,26-11-2020
Laptop Asus TUF FX505DT R565B6T Ryzen 5 3550 8GB 512ssd GTX1650 4GB W10 15.6FHD IPS 144Hz RGB GOLD,11.349.000,KOTA JAKARTA UTARA,4,https://shopee.co.id/Laptop-Asus-TUF-FX505DT-R565B6T-Ryzen-5-3550-8GB-512ssd-GTX1650-4GB-W10-15.6FHD-IPS-144Hz-RGB-GOLD-i.225418842.6457108124,26-11-2020
"ASUS TUF GAMING F15 FX506LH - i5-10300H - 8GB - 512GB SSD - GTX1650 4GB - 15.6""FHD 144Hz - WWIN10",12.699.000,KOTA JAKARTA BARAT,3,https://shopee.co.id/ASUS-TUF-GAMING-F15-FX506LH-i5-10300H-8GB-512GB-SSD-GTX1650-4GB-15.6-FHD-144Hz-WWIN10-i.30555036.4009108057,26-11-2020
Asus TUF Gaming A15 FX506IH 144Hz Ryzen 5 GTX1650 4GB SSD 512GB RAM 8GB WIndows 10 - Fortress Gray,13.199.000,KOTA MALANG,1,https://shopee.co.id/Asus-TUF-Gaming-A15-FX506IH-144Hz-Ryzen-5-GTX1650-4GB-SSD-512GB-RAM-8GB-WIndows-10-Fortress-Gray-i.272778332.7757613929,26-11-2020
Laptop ASUS TUF FX506IU R766B7T Ryzen 7 4800H 1TB SSD 256GB GTX1660Ti 6Gb W10 144Hz,16.800.000,KOTA PALEMBANG,1,https://shopee.co.id/Laptop-ASUS-TUF-FX506IU-R766B7T-Ryzen-7-4800H-1TB-SSD-256GB-GTX1660Ti-6Gb-W10-144Hz-i.148017040.4037745248,26-11-2020
ASUS ROG TUF FX506II - R55TB6T / R5-4600H / GTX1650Ti 4GB,13.999.000,KOTA MEDAN,1,https://shopee.co.id/ASUS-ROG-TUF-FX506II-R55TB6T-R5-4600H-GTX1650Ti-4GB-i.34131684.6157662796,26-11-2020
Laptop Asus TUF A15 FX506ii-R75TB6T AMD R7-4800H 8GB 512GB SSD GTX1650Ti 4GB WIN10,15.499.000,KOTA SINGKAWANG,1,https://shopee.co.id/Laptop-Asus-TUF-A15-FX506ii-R75TB6T-AMD-R7-4800H-8GB-512GB-SSD-GTX1650Ti-4GB-WIN10-i.63990167.4835494998,26-11-2020
ASUS TUF FX505GT-I565B6T - i5-9300H 8GB 512GB GTX1650 4GB WIN10 144Hz,11.917.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/ASUS-TUF-FX505GT-I565B6T-i5-9300H-8GB-512GB-GTX1650-4GB-WIN10-144Hz-i.120453187.4259639982,26-11-2020
ASUS TUF GAMING A15 FX506IV RYZEN 7 4800H 8GB 512GB RTX2060 6GB 144HZ,19.499.000,KOTA JAKARTA PUSAT,2,https://shopee.co.id/ASUS-TUF-GAMING-A15-FX506IV-RYZEN-7-4800H-8GB-512GB-RTX2060-6GB-144HZ-i.27662413.7135926452,26-11-2020
ASUS TUF GAMING A15 FX506IV-R9R6B6T - RYZEN 9-4900H - 8GB - 512SSD - RTX2060 6GB - WIN10 - FHD 144Hz,21.599.000,KOTA JAKARTA BARAT,2,https://shopee.co.id/ASUS-TUF-GAMING-A15-FX506IV-R9R6B6T-RYZEN-9-4900H-8GB-512SSD-RTX2060-6GB-WIN10-FHD-144Hz-i.174585297.5844578446,26-11-2020
Asus TUF FX506II-R75TB6T Ryzen 7 4800H 8GB 512ssd GTX1650Ti 4GB W10 15.6FHD Slim FHD IPS 144Hz RGB,15.099.000,KOTA JAKARTA UTARA,2,https://shopee.co.id/Asus-TUF-FX506II-R75TB6T-Ryzen-7-4800H-8GB-512ssd-GTX1650Ti-4GB-W10-15.6FHD-Slim-FHD-IPS-144Hz-RGB-i.15641210.4234555902,26-11-2020
ASUS TUF GAMING A15 FX506II-R55TB6T - R5-4600H 8GB 512GB GTX1650Ti 4GB,13.795.000,KOTA JAKARTA PUSAT,2,https://shopee.co.id/ASUS-TUF-GAMING-A15-FX506II-R55TB6T-R5-4600H-8GB-512GB-GTX1650Ti-4GB-i.56983549.4536613239,26-11-2020
"ASUS TUF A15 - FX506 IV R9R6B6T | 15,6"" | R9-4900H | RTX 2060 6GB | RAM 8GB | Windows 10 HOME",22.199.000,KOTA JAKARTA UTARA,2,https://shopee.co.id/ASUS-TUF-A15-FX506-IV-R9R6B6T-15-6-R9-4900H-RTX-2060-6GB-RAM-8GB-Windows-10-HOME-i.86803663.7341849491,26-11-2020
LAPTOP GAMING ASUS TUF A15 FX506II R75TB6T | R7-4800H 512GB 8GB GTX1650Ti 4GB WIN10 - GREY,15.350.000,KOTA SURABAYA,2,https://shopee.co.id/LAPTOP-GAMING-ASUS-TUF-A15-FX506II-R75TB6T-R7-4800H-512GB-8GB-GTX1650Ti-4GB-WIN10-GREY-i.260650400.7049579434,26-11-2020
ASUS TUF GAMING VG259QM 24.5 inch FHD 280Hz 1ms G-sync Gaming Monitor,5.779.000,KOTA JAKARTA BARAT,1,https://shopee.co.id/ASUS-TUF-GAMING-VG259QM-24.5-inch-FHD-280Hz-1ms-G-sync-Gaming-Monitor-i.77540206.3553851943,26-11-2020
ASUS TUF GAMING A15 FX506IV-R9R6B6T - AMD Ryzen 9 4900H 8GB 512GB SSD RTX 2060 6GB 144HZ,21.199.000,KOTA JAKARTA UTARA,2,https://shopee.co.id/ASUS-TUF-GAMING-A15-FX506IV-R9R6B6T-AMD-Ryzen-9-4900H-8GB-512GB-SSD-RTX-2060-6GB-144HZ-i.78730497.7940020412,26-11-2020
Laptop Gaming ASUS TUF A15 FX506IU-R766B7T Ryzen 7 4800H 144Hz GTX 1660Ti 8GB 256GB Plus 1TB HDD,17.768.000,KOTA JAKARTA PUSAT,2,https://shopee.co.id/Laptop-Gaming-ASUS-TUF-A15-FX506IU-R766B7T-Ryzen-7-4800H-144Hz-GTX-1660Ti-8GB-256GB-Plus-1TB-HDD-i.148846460.5551226440,26-11-2020
Asus Tuf gameing ryzen 5 fx505dd,9.800.000,KAB. BANDUNG,1,https://shopee.co.id/Asus-Tuf-gameing-ryzen-5-fx505dd-i.79249867.5244871724,26-11-2020
Acer i5 Gen7 RAM 8GB Nvidia 940MX Dual VGA Gaming Laptop Second E5-475 / 475G not rog asus nitro tuf,5.900.000,KOTA TANGERANG SELATAN,8,https://shopee.co.id/Acer-i5-Gen7-RAM-8GB-Nvidia-940MX-Dual-VGA-Gaming-Laptop-Second-E5-475-475G-not-rog-asus-nitro-tuf-i.6356067.2766117514,26-11-2020
ASUS TUF GAMING A15 FX506IV-R7R6B6T - RYZEN 7-4800H - 8GB - 512SSD - RTX2060 6GB - WIN10 - FHD 144Hz,19.399.000,KOTA JAKARTA BARAT,5,https://shopee.co.id/ASUS-TUF-GAMING-A15-FX506IV-R7R6B6T-RYZEN-7-4800H-8GB-512SSD-RTX2060-6GB-WIN10-FHD-144Hz-i.174585297.6835581412,26-11-2020
Asus Tuf Fx505Gt-I565B6T i5 9300 8Gb 512Ssd GTX1650 W10 15.6Fhd Slim Ips 144Hz RGB,11.899.000,KOTA JAKARTA UTARA,2,https://shopee.co.id/Asus-Tuf-Fx505Gt-I565B6T-i5-9300-8Gb-512Ssd-GTX1650-W10-15.6Fhd-Slim-Ips-144Hz-RGB-i.250649369.5240545275,26-11-2020
ASUS TUF GAMING FX505GT-I565B6T,12.499.000,KOTA MEDAN,1,https://shopee.co.id/ASUS-TUF-GAMING-FX505GT-I565B6T-i.13315074.7243445207,26-11-2020
ASUS TUF GAMING A15 FX506II RYZEN 7 4800H 8GB 512GB GTX1650Ti 4GB W10,15.099.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/ASUS-TUF-GAMING-A15-FX506II-RYZEN-7-4800H-8GB-512GB-GTX1650Ti-4GB-W10-i.27662413.4335928584,26-11-2020
"TUF Gaming VG27AQL1A Gaming Monitor –27 inch WQHD (2560x1440), IPS,170Hz (above 144Hz)",7.349.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/TUF-Gaming-VG27AQL1A-Gaming-Monitor-–27-inch-WQHD-(2560x1440)-IPS-170Hz-(above-144Hz)-i.300587597.6256968844,26-11-2020
ASUS TUF FX506II R55TB6T-O - Ryzen 5 4600/8GB/512ssd/GTX1650Ti 4GB/OHS2019,14.201.880,KOTA BANDUNG,3,https://shopee.co.id/ASUS-TUF-FX506II-R55TB6T-O-Ryzen-5-4600-8GB-512ssd-GTX1650Ti-4GB-OHS2019-i.11726160.7728940757,26-11-2020
