name,price,location,reviews,link,date
LAPTOP ASUS VIVOBOOK A412FA Intel Pentium Gold 5405U 14''IPS / 1TB HDD + 256 SSD/  WIN 10,6.975.000,KOTA JAKARTA PUSAT,158,https://shopee.co.id/LAPTOP-ASUS-VIVOBOOK-A412FA-Intel-Pentium-Gold-5405U-14''IPS-1TB-HDD-256-SSD-WIN-10-i.141973518.6913724262,27-11-2020
ASUS VIVOBOOK A412U/A412FA INTEL PENTIUM GOLD 5405U RAM4GB SSD512/HDD1TB 14 FHD IPS WINDOWS 10,6.499.000,KOTA JAKARTA PUSAT,774,https://shopee.co.id/ASUS-VIVOBOOK-A412U-A412FA-INTEL-PENTIUM-GOLD-5405U-RAM4GB-SSD512-HDD1TB-14-FHD-IPS-WINDOWS-10-i.32829345.4500595863,27-11-2020
Asus Vivobook X441MA Intel N4020 Ram4GB HDD1TB Intel HD Graphic Windows 10 Original,4.799.000,KOTA JAKARTA PUSAT,234,https://shopee.co.id/Asus-Vivobook-X441MA-Intel-N4020-Ram4GB-HDD1TB-Intel-HD-Graphic-Windows-10-Original-i.32829345.1383448503,27-11-2020
"Asus Vivobook A412FA - Pentium 5405U, 14”, 4GB, 1TB, W10",5.400.000,KOTA JAKARTA PUSAT,2,https://shopee.co.id/Asus-Vivobook-A412FA-Pentium-5405U-14”-4GB-1TB-W10-i.233628878.3129384885,27-11-2020
ASUS VIVOBOOK A409JA INTEL CORE i3 1005G1 RAM4GB HDD1TB WINDOWS 10+OFFICE ORIGINAL,7.899.000,KOTA JAKARTA PUSAT,92,https://shopee.co.id/ASUS-VIVOBOOK-A409JA-INTEL-CORE-i3-1005G1-RAM4GB-HDD1TB-WINDOWS-10-OFFICE-ORIGINAL-i.32829345.2737985060,27-11-2020
ASUS VIVOBOOK A409MA/4GB/256GB SSD/INTEL N4000,5.299.000,KOTA TANGERANG,3,https://shopee.co.id/ASUS-VIVOBOOK-A409MA-4GB-256GB-SSD-INTEL-N4000-i.55569555.7143001989,27-11-2020
ASUS VIVOBOOK A412UA/A412FA Intel Pentium Gold 5405U RAM4GB SSD/HDD FHD 14 Windows 10 ORIGINAL,6.799.000,KOTA JAKARTA BARAT,54,https://shopee.co.id/ASUS-VIVOBOOK-A412UA-A412FA-Intel-Pentium-Gold-5405U-RAM4GB-SSD-HDD-FHD-14-Windows-10-ORIGINAL-i.10573654.6344271187,27-11-2020
ASUS VIVOBOOK K413FA INTEL CORE I3 10110U RAM8GB SSD512GB 14 FHD WINDOWS 10+OFFICE ORIGINAL,9.999.000,KOTA JAKARTA PUSAT,7,https://shopee.co.id/ASUS-VIVOBOOK-K413FA-INTEL-CORE-I3-10110U-RAM8GB-SSD512GB-14-FHD-WINDOWS-10-OFFICE-ORIGINAL-i.32829345.6747696761,27-11-2020
ASUS VIVOBOOK M409DA AMD RYZEN 5 3500U RAM8GB HDD1TB AMD VEGA WINDOWS 10,7.899.000,KOTA JAKARTA BARAT,7,https://shopee.co.id/ASUS-VIVOBOOK-M409DA-AMD-RYZEN-5-3500U-RAM8GB-HDD1TB-AMD-VEGA-WINDOWS-10-i.10573654.6844272800,27-11-2020
"ASUS VIVOBOOK A412FA - INTEL PENTIUM GOLD 5405U - 4GB - 1TB - BACKLIT KB - 14""FHD IPS - WIN10",6.499.000,KOTA JAKARTA BARAT,91,https://shopee.co.id/ASUS-VIVOBOOK-A412FA-INTEL-PENTIUM-GOLD-5405U-4GB-1TB-BACKLIT-KB-14-FHD-IPS-WIN10-i.30555036.3908289933,27-11-2020
