name,price,location,reviews,link,date
Asus Zenbook Flip UX362FA-EL501T/EL502T Core i5-8265U 8GB/512GB W10,14.799.000,KOTA JAKARTA PUSAT,3,https://shopee.co.id/Asus-Zenbook-Flip-UX362FA-EL501T-EL502T-Core-i5-8265U-8GB-512GB-W10-i.24011016.3334950934,19-11-2020
Asus Zenbook Q407IQ Ryzen 5-4500u 8GB 256GB MX350 2GB Win10 14 FHD,11.399.000,KOTA JAKARTA PUSAT,2,https://shopee.co.id/Asus-Zenbook-Q407IQ-Ryzen-5-4500u-8GB-256GB-MX350-2GB-Win10-14-FHD-i.47045592.5148235338,19-11-2020
Asus Zenbook UX425JA BM501T i5 1035G1 8GB 512ssd W10+OHS 14.0FHD Blit Npad,14.599.000,KOTA JAKARTA UTARA,1,https://shopee.co.id/Asus-Zenbook-UX425JA-BM501T-i5-1035G1-8GB-512ssd-W10-OHS-14.0FHD-Blit-Npad-i.250649369.6351961612,19-11-2020
Asus Zenbook UX425JA-BM701T - Pine Grey [i7 1065G7-16GB-512GB-W10-OHS],16.999.000,KOTA YOGYAKARTA,1,https://shopee.co.id/Asus-Zenbook-UX425JA-BM701T-Pine-Grey-i7-1065G7-16GB-512GB-W10-OHS--i.29339583.4062281214,19-11-2020
"Asus Zenbook Duo UX481FA i5, Dua Layar Yang Memukau, GARANSI RESMI ASUS",20.799.000,KOTA JAKARTA SELATAN,1,https://shopee.co.id/Asus-Zenbook-Duo-UX481FA-i5-Dua-Layar-Yang-Memukau-GARANSI-RESMI-ASUS-i.9150764.7131518837,19-11-2020
ASUS Zenbook Ux533fd-A7601t-A7602t i7 8565 16Gb 512ssd Gtx1050 2Gb W10 15.6Fhd,19.399.000,KOTA JAKARTA UTARA,1,https://shopee.co.id/ASUS-Zenbook-Ux533fd-A7601t-A7602t-i7-8565-16Gb-512ssd-Gtx1050-2Gb-W10-15.6Fhd-i.250649369.6545993679,19-11-2020
asus zenbook um431da-am501t warna biru,7.000.000,KOTA JAKARTA UTARA,5,https://shopee.co.id/asus-zenbook-um431da-am501t-warna-biru-i.266412356.5635175137,19-11-2020
ASUS ZENBOOK UX325JA BM501T BM502T - i5-1035G1 - 8GB - 512GB - 13.3”FHD - WIN10 - NUMPAD - OFFICE,14.199.000,KOTA JAKARTA BARAT,3,https://shopee.co.id/ASUS-ZENBOOK-UX325JA-BM501T-BM502T-i5-1035G1-8GB-512GB-13.3”FHD-WIN10-NUMPAD-OFFICE-i.30555036.6952593685,19-11-2020
ASUS ZenBook 13 UX334FAC,14.999.000,KOTA MEDAN,2,https://shopee.co.id/ASUS-ZenBook-13-UX334FAC-i.13315074.6131615216,19-11-2020
Asus Zenbook UX434FL Touch i7 8565 16GB 1TBssd MX250 2GB W10 14.0FHD ScreenPad,16.899.000,KOTA JAKARTA UTARA,1,https://shopee.co.id/Asus-Zenbook-UX434FL-Touch-i7-8565-16GB-1TBssd-MX250-2GB-W10-14.0FHD-ScreenPad-i.15641210.5442085760,19-11-2020
Asus Zenbook UX303L Touchscreen - Core i7 gen5 - Ram 8gb - Dual Vga,7.050.000,KAB. JEPARA,1,https://shopee.co.id/Asus-Zenbook-UX303L-Touchscreen-Core-i7-gen5-Ram-8gb-Dual-Vga-i.170072414.6351536184,19-11-2020
ASUS ZENBOOK UX425JA BM501T BM502T - i5-1035G1 - 8GB - 512GB - 14”FHD - WIN10 - NUMPAD - OFFICE,13.999.000,KOTA JAKARTA BARAT,3,https://shopee.co.id/ASUS-ZENBOOK-UX425JA-BM501T-BM502T-i5-1035G1-8GB-512GB-14”FHD-WIN10-NUMPAD-OFFICE-i.30555036.5151709593,19-11-2020
