name,price,location,reviews,link,date
Dell Alienware M15 i7 9750 16GB 1TBssd RTX2070 8GB W10 15.6FHD,30.599.000,KOTA JAKARTA UTARA,1,https://shopee.co.id/Dell-Alienware-M15-i7-9750-16GB-1TBssd-RTX2070-8GB-W10-15.6FHD-i.15641210.6920105690,24-11-2020
Dell XPS 13 7390 2in1 X360 Touch i7 1065G7 16GB 512ssd W10 13.3FHD,23.499.000,KOTA JAKARTA UTARA,0,https://shopee.co.id/Dell-XPS-13-7390-2in1-X360-Touch-i7-1065G7-16GB-512ssd-W10-13.3FHD-i.15641210.6820104454,24-11-2020
dell inspiron 14 3000 series core i5,3.100.000,KAB. SUBANG,1,https://shopee.co.id/dell-inspiron-14-3000-series-core-i5-i.117806604.5260114037,24-11-2020
Laptop Dell Inspiron 3180-A9 - Grey [A9 9420e-4GB-500GB-W10],4.500.000,KOTA YOGYAKARTA,9,https://shopee.co.id/Laptop-Dell-Inspiron-3180-A9-Grey-A9-9420e-4GB-500GB-W10--i.29339583.2487471269,24-11-2020
"LAPTOP DELL INSPIRON 5558 15"" I3 5005U 4GB 1TB VGA NVIDIA",4.199.000,KOTA JAKARTA BARAT,1,https://shopee.co.id/LAPTOP-DELL-INSPIRON-5558-15-I3-5005U-4GB-1TB-VGA-NVIDIA-i.161292590.3958050905,24-11-2020
"Laptop Dell inspiron 5448 intel core i3-5005u ram 4gb hdd 500 gb, dual vga",3.800.000,KOTA BOGOR,1,https://shopee.co.id/Laptop-Dell-inspiron-5448-intel-core-i3-5005u-ram-4gb-hdd-500-gb-dual-vga-i.163364264.4157914187,24-11-2020
LAPTOP DELL INSPIRON 14 3000 CORE I7-8550U,7.900.000,KOTA JAKARTA BARAT,1,https://shopee.co.id/LAPTOP-DELL-INSPIRON-14-3000-CORE-I7-8550U-i.161292590.4710605428,24-11-2020
laptop seken Dell inspiron 14 black,4.100.000,KAB. BLITAR,1,https://shopee.co.id/laptop-seken-Dell-inspiron-14-black-i.6561044.7656618553,24-11-2020
LAPTOP DELL INSPIRON 3585 RYZEN 5 2500U 8GB 1TB RADEON 15 INC,6.499.000,KOTA JAKARTA BARAT,1,https://shopee.co.id/LAPTOP-DELL-INSPIRON-3585-RYZEN-5-2500U-8GB-1TB-RADEON-15-INC-i.161292590.6462783281,24-11-2020
"DELL INSPIRON-3180 - AMD A9-9420/4GB/500GB/11,6'/WIN 10 - FREE SOFTCASE",4.272.000,KOTA SURABAYA,7,https://shopee.co.id/DELL-INSPIRON-3180-AMD-A9-9420-4GB-500GB-11-6'-WIN-10-FREE-SOFTCASE-i.47640161.1557376657,24-11-2020
Dell Inspiron 11-3180 [A9-9420e-4-500-AMD-W10] DELL INDONESIA,3.800.000,KOTA SURABAYA,1,https://shopee.co.id/Dell-Inspiron-11-3180-A9-9420e-4-500-AMD-W10-DELL-INDONESIA-i.262030152.5740079775,24-11-2020
Notebook Dell Inspiron 11-3180 A9-9420 4GB 500GB WIN10 GREY,3.899.000,KOTA JAKARTA PUSAT,2,https://shopee.co.id/Notebook-Dell-Inspiron-11-3180-A9-9420-4GB-500GB-WIN10-GREY-i.160627275.4757929114,24-11-2020
Dell Inspiron G3 Core i5  Nvidia GTX 1050 Coffelake Scu4851,9.200.000,KOTA MALANG,1,https://shopee.co.id/Dell-Inspiron-G3-Core-i5-Nvidia-GTX-1050-Coffelake-Scu4851-i.44435356.6220233379,24-11-2020
DELL Inspiron 11-3162 Series HDD 500/2GB WIN10 Merah Merona Mulus,2.550.000,KOTA SURABAYA,3,https://shopee.co.id/DELL-Inspiron-11-3162-Series-HDD-500-2GB-WIN10-Merah-Merona-Mulus-i.19107267.7737506190,24-11-2020
Promo Laptop DELL INSPIRON 3180 AMD A9 WIN 10,4.281.500,KOTA SURABAYA,10,https://shopee.co.id/Promo-Laptop-DELL-INSPIRON-3180-AMD-A9-WIN-10-i.62641692.1734426213,24-11-2020
Dell inspiron 3443,4.800.000,KOTA JAKARTA SELATAN,1,https://shopee.co.id/Dell-inspiron-3443-i.124680905.6235869200,24-11-2020
Dell Inspiron 14 3493 i5,8.150.000,KOTA JAKARTA SELATAN,2,https://shopee.co.id/Dell-Inspiron-14-3493-i5-i.50947817.5819040770,24-11-2020
DELL INSPIRON G3 (3579) LOKI I5-8300H-4GB-1TB-W10,10.950.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/DELL-INSPIRON-G3-(3579)-LOKI-I5-8300H-4GB-1TB-W10-i.77745422.6014518865,24-11-2020
Dell Inspiron 15 3576 Intel Core i5 UHD WIN,8.199.000,KOTA JAKARTA UTARA,1,https://shopee.co.id/Dell-Inspiron-15-3576-Intel-Core-i5-UHD-WIN-i.79060370.1398113987,24-11-2020
DELL INSPIRON 5593 I7 1065-8GB-512GB-VGA-WIN10,13.423.000,KOTA SURABAYA,1,https://shopee.co.id/DELL-INSPIRON-5593-I7-1065-8GB-512GB-VGA-WIN10-i.139787388.4155933387,24-11-2020
"Desktop DELL Inspiron AIO 3280 Core i3-8145U|4GB|1TB HDD|DVDRW|WIN10HSL|21.5"" FHD",6.600.000,KOTA JAKARTA PUSAT,4,https://shopee.co.id/Desktop-DELL-Inspiron-AIO-3280-Core-i3-8145U-4GB-1TB-HDD-DVDRW-WIN10HSL-21.5-FHD-i.233412675.4919524774,24-11-2020
Dell Inspiron 3481 Core i3,6.500.000,KOTA JAKARTA SELATAN,1,https://shopee.co.id/Dell-Inspiron-3481-Core-i3-i.50947817.3404272945,24-11-2020
DELL INSPIRON 5391 I7 10510-8GB-512GB-VGA-WIN10,14.200.000,KOTA SURABAYA,1,https://shopee.co.id/DELL-INSPIRON-5391-I7-10510-8GB-512GB-VGA-WIN10-i.139787388.4830426592,24-11-2020
Laptop Dell Inspiron 3480,9.000.000,KAB. TANGERANG,1,https://shopee.co.id/Laptop-Dell-Inspiron-3480-i.21920873.4447445602,24-11-2020
"Dell Inspiron 7472 [ Core i7-8550U, 8GB, 128 SSD+1TB HDD, Nvidia GMX 2GB, Win 10 HSL, 1 Yr ]",14.481.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/Dell-Inspiron-7472-Core-i7-8550U-8GB-128-SSD-1TB-HDD-Nvidia-GMX-2GB-Win-10-HSL-1-Yr--i.30484391.951917809,24-11-2020
DELL Inspiron 3280 All In One - Core i3-8145 - 4GB - 1TB - Intel HD - Windows 10 Home,6.679.000,KOTA JAKARTA BARAT,1,https://shopee.co.id/DELL-Inspiron-3280-All-In-One-Core-i3-8145-4GB-1TB-Intel-HD-Windows-10-Home-i.137489144.6301986669,24-11-2020
"DELL Inspiron 14 5491 16GB i7-10510U 512GB SSD MX130-2GB 14"" Touch",15.899.900,KOTA JAKARTA PUSAT,1,https://shopee.co.id/DELL-Inspiron-14-5491-16GB-i7-10510U-512GB-SSD-MX130-2GB-14-Touch-i.20629114.6139363165,24-11-2020
Dell Inspiron 5379 core i7 win 10,10.000.000,KOTA BOGOR,2,https://shopee.co.id/Dell-Inspiron-5379-core-i7-win-10-i.69280920.5843901532,24-11-2020
"Laptop Dell Inspiron 3593 i7 1065G/8GB/1TB/15.6""/ WIN 10 - Original Resmi",12.225.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/Laptop-Dell-Inspiron-3593-i7-1065G-8GB-1TB-15.6-WIN-10-Original-Resmi-i.32407836.3619492947,24-11-2020
HARGA PROMOOO DELL INSPIRON 14R 5437,7.250.000,KOTA JAKARTA TIMUR,1,https://shopee.co.id/HARGA-PROMOOO-DELL-INSPIRON-14R-5437-i.24907667.300643410,24-11-2020
LAPTOP GAMING 3JUTA-AN DELL INSPIRON 3180 AMD A9-9420 4GB HD 500GB 12INCH VGA AMD AP GARANSI RESMI,4.328.280,KOTA SURABAYA,1,https://shopee.co.id/LAPTOP-GAMING-3JUTA-AN-DELL-INSPIRON-3180-AMD-A9-9420-4GB-HD-500GB-12INCH-VGA-AMD-AP-GARANSI-RESMI-i.81198833.4747443749,24-11-2020
Promo Murah Dell Inspiron 3180/AMD A9-9420/4GB/500GB/WIN 10/Resmi,4.281.000,KOTA SURABAYA,1,https://shopee.co.id/Promo-Murah-Dell-Inspiron-3180-AMD-A9-9420-4GB-500GB-WIN-10-Resmi-i.55179188.2086972846,24-11-2020
Dell Inspiron 11 3162 Intel N3060 2GB 500GB 11.6 Inch DOS ,4.000.000,KOTA JAKARTA BARAT,1,https://shopee.co.id/Dell-Inspiron-11-3162-Intel-N3060-2GB-500GB-11.6-Inch-DOS-i.12636180.169617721,24-11-2020
LAPTOP GAMING DELL INSPIRON 15 G5 5590 9750H 16GB RAM 512GB SSD RTX 2060,18.270.000,KOTA TANGERANG SELATAN,1,https://shopee.co.id/LAPTOP-GAMING-DELL-INSPIRON-15-G5-5590-9750H-16GB-RAM-512GB-SSD-RTX-2060-i.234000994.3532869839,24-11-2020
Laptop Gaming Dell Inspiron 3567 Core i3-6006U RAM 4GB HDD 1TERA VGA ATI RADEON with 2GB  RESMI,9.964.825,KOTA SURABAYA,1,https://shopee.co.id/Laptop-Gaming-Dell-Inspiron-3567-Core-i3-6006U-RAM-4GB-HDD-1TERA-VGA-ATI-RADEON-with-2GB-RESMI-i.55179188.972662474,24-11-2020
ALL IN ONE PC Dell AIO Inspiron 22- 3280 i3-8145U / 4GB / 1TB / 21.5 inch /DOS,6.606.000,KOTA SURABAYA,1,https://shopee.co.id/ALL-IN-ONE-PC-Dell-AIO-Inspiron-22-3280-i3-8145U-4GB-1TB-21.5-inch-DOS-i.4980898.4124440148,24-11-2020
DELL INSPIRON 3180 NOTEBOOK MINI AMD A9 WINDOW 10,4.000.000,KOTA PEKANBARU,2,https://shopee.co.id/DELL-INSPIRON-3180-NOTEBOOK-MINI-AMD-A9-WINDOW-10-i.71203016.5421850528,24-11-2020
GRATIS BACKPACK !DELL inspiron 5490(i7/8GB/512GB/MX230 2GB/Win10SL) - SILVER,13.799.000,KOTA JAKARTA BARAT,1,https://shopee.co.id/GRATIS-BACKPACK-!DELL-inspiron-5490(i7-8GB-512GB-MX230-2GB-Win10SL)-SILVER-i.135593304.3332524873,24-11-2020
Del Inspiron 3471 SFF [Ci7-9700-8-1T+256-UMA-W10-NO MONITOR] DELL OFFICIAL,11.599.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/Del-Inspiron-3471-SFF-Ci7-9700-8-1T-256-UMA-W10-NO-MONITOR-DELL-OFFICIAL-i.28185347.6438258316,24-11-2020
