name,price,location,reviews,link,date
HP Omen 15 dh1020TX i7 10750 32GB 1TB+512ssd RTX2070Super 8GB MaxQ W10+OHS 15.6FHD 300Hz,35.000.000,KOTA JAKARTA UTARA,0,https://shopee.co.id/HP-Omen-15-dh1020TX-i7-10750-32GB-1TB-512ssd-RTX2070Super-8GB-MaxQ-W10-OHS-15.6FHD-300Hz-i.250649369.3452444332,19-11-2020
HP Pavilion Gaming 15 i7 10750 8GB 1TB+256ssd GTX1650 4GB W10+OHS 15.6FHD 144Hz Blit -dk1041TX,14.599.000,KOTA JAKARTA UTARA,0,https://shopee.co.id/HP-Pavilion-Gaming-15-i7-10750-8GB-1TB-256ssd-GTX1650-4GB-W10-OHS-15.6FHD-144Hz-Blit-dk1041TX-i.250649369.4256189911,19-11-2020
LAPTOP HP PROBOOK 6460b I5gen2 4gb hdd320 FREE TAS,2.485.000,KOTA JAKARTA BARAT,3,https://shopee.co.id/LAPTOP-HP-PROBOOK-6460b-I5gen2-4gb-hdd320-FREE-TAS-i.8130153.7545007662,19-11-2020
HP OMEN 15-EK0045TX - i7-10750H 16GB 512GB GTX1650Ti 4GB W10 OHS 144Hz,18.595.000,KOTA JAKARTA PUSAT,3,https://shopee.co.id/HP-OMEN-15-EK0045TX-i7-10750H-16GB-512GB-GTX1650Ti-4GB-W10-OHS-144Hz-i.56983549.4552914121,19-11-2020
"HP Omen 15 2020 Ryzen 7-4800H 16GB 512GB GTX1660Ti 6GB Win10 15,6 FHD",18.199.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/HP-Omen-15-2020-Ryzen-7-4800H-16GB-512GB-GTX1660Ti-6GB-Win10-15-6-FHD-i.47045592.5756766055,19-11-2020
HP Omen 15 i7 9750 8GB 512ssd GTX1650 4GB W10 15.6FHD,14.999.000,KOTA JAKARTA UTARA,1,https://shopee.co.id/HP-Omen-15-i7-9750-8GB-512ssd-GTX1650-4GB-W10-15.6FHD-i.15641210.5039370190,19-11-2020
HP OMEN 15 GTX 1660Ti - 144HZ - RYZEN 7 4800H - 16GB RAM - 512GB SSD,18.199.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/HP-OMEN-15-GTX-1660Ti-144HZ-RYZEN-7-4800H-16GB-RAM-512GB-SSD-i.259973835.7757715546,19-11-2020
HP OMEN 15 EK0044TX i7 10750H 16GB 1TB SSD RTX2060 6GB 144HZ W10 OHS,25.198.000,KAB. TANGERANG,4,https://shopee.co.id/HP-OMEN-15-EK0044TX-i7-10750H-16GB-1TB-SSD-RTX2060-6GB-144HZ-W10-OHS-i.10257552.7144566039,19-11-2020
Laptop Gaming HP Omen 15 i7 9750 8GB 512ssd GTX1650 4GB W10 15.6FHD,14.990.000,KOTA JAKARTA TIMUR,1,https://shopee.co.id/Laptop-Gaming-HP-Omen-15-i7-9750-8GB-512ssd-GTX1650-4GB-W10-15.6FHD-i.150247707.4548217519,19-11-2020
"Laptop Gaming HP Omen 15 i7-9750H 8GB 512GB GTX1650 Win10 15,6 FHD",14.999.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/Laptop-Gaming-HP-Omen-15-i7-9750H-8GB-512GB-GTX1650-Win10-15-6-FHD-i.47045592.5850855956,19-11-2020
Laptop HP omen 15-dc1090TX i7-9750,17.000.000,KOTA JAKARTA SELATAN,1,https://shopee.co.id/Laptop-HP-omen-15-dc1090TX-i7-9750-i.98070086.5034945847,19-11-2020
