name,price,location,reviews,link,date
HP Pavilion Gaming 15 ec1076AX - AMD Ryzen 7 4800 16GB 512ssd GTX1660Ti 6GB Max Q W10+OHS 15.6FHD,16.649.000,KOTA JAKARTA UTARA,0,https://shopee.co.id/HP-Pavilion-Gaming-15-ec1076AX-AMD-Ryzen-7-4800-16GB-512ssd-GTX1660Ti-6GB-Max-Q-W10-OHS-15.6FHD-i.78730497.4159163349,26-11-2020
HP Pavilion Gaming 15 i7 10750 8GB 1TB+256ssd GTX1650 4GB W10+OHS 15.6FHD 144Hz Blit -dk1041TX,14.599.000,KOTA JAKARTA UTARA,0,https://shopee.co.id/HP-Pavilion-Gaming-15-i7-10750-8GB-1TB-256ssd-GTX1650-4GB-W10-OHS-15.6FHD-144Hz-Blit-dk1041TX-i.250649369.4256189911,26-11-2020
"HP PAVILION GAMING 15 EC0107AX - RYZEN 5-3550H - 8GB - 512SSD - GTX1650 4GB - 15.6""FHD -W10 - OFFICE",11.699.000,KOTA JAKARTA BARAT,85,https://shopee.co.id/HP-PAVILION-GAMING-15-EC0107AX-RYZEN-5-3550H-8GB-512SSD-GTX1650-4GB-15.6-FHD-W10-OFFICE-i.174585297.3325218562,26-11-2020
HP PAVILION 13 B203TU INTEL i5 5200 4GB HDD750GB,7.800.000,KOTA SURABAYA,1,https://shopee.co.id/HP-PAVILION-13-B203TU-INTEL-i5-5200-4GB-HDD750GB-i.1058807.6324647050,26-11-2020
HP PAVILION 15-8250U-8GB-256GB-TOUCH-WIN10HOME PALE GOLD - SECOND BERGARANSI,8.080.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/HP-PAVILION-15-8250U-8GB-256GB-TOUCH-WIN10HOME-PALE-GOLD-SECOND-BERGARANSI-i.238307530.7761920390,26-11-2020
HP PAVILION GAMING 15 DK1041TX  i7-10750H - 8GB - 1TB+256SSD - GTX1650 4GB - W10 - OFFICE - 144Hz,14.399.000,KOTA JAKARTA BARAT,35,https://shopee.co.id/HP-PAVILION-GAMING-15-DK1041TX-i7-10750H-8GB-1TB-256SSD-GTX1650-4GB-W10-OFFICE-144Hz-i.174585297.4217919230,26-11-2020
"HP PAVILION X360 14-DH1001TX i3-10110U 8GB DDR4 512GB SSD MX130 2GB 14""FHD IPS TOUCH W10+OHS",8.895.000,KOTA YOGYAKARTA,2,https://shopee.co.id/HP-PAVILION-X360-14-DH1001TX-i3-10110U-8GB-DDR4-512GB-SSD-MX130-2GB-14-FHD-IPS-TOUCH-W10-OHS-i.287183392.4045664623,26-11-2020
"HP PAVILION 14-CE3071TX (i7-1065G7/8GB/512GB SSD/MX250 2GB/14"" FHD/W10)",13.399.000,KOTA JAKARTA UTARA,3,https://shopee.co.id/HP-PAVILION-14-CE3071TX-(i7-1065G7-8GB-512GB-SSD-MX250-2GB-14-FHD-W10)-i.60324286.7138673979,26-11-2020
HP Pavilion 13 AN0031 i3 8145 8GB 128ssd W10 13.3FHD,7.999.000,KOTA JAKARTA UTARA,1,https://shopee.co.id/HP-Pavilion-13-AN0031-i3-8145-8GB-128ssd-W10-13.3FHD-i.15641210.7711897589,26-11-2020
HP PAVILION i5 4210u 4GB VGA NVIDIA  840M,4.799.000,KOTA JAKARTA BARAT,1,https://shopee.co.id/HP-PAVILION-i5-4210u-4GB-VGA-NVIDIA-840M-i.161292590.4055355604,26-11-2020
