name,price,location,reviews,link,date
Laptop LENOVO THINKPAD  I5 RAM 4GB HDD 320GB Elegan Second Berkualitas,2.400.000,KOTA BANDUNG,24,https://shopee.co.id/Laptop-LENOVO-THINKPAD-I5-RAM-4GB-HDD-320GB-Elegan-Second-Berkualitas-i.250685702.5932719080,30-11-2020
Laptop murah LENOVO THINKPAD I5 RAM 4GB HDD 250GB  Mulus,2.300.000,KOTA BANDUNG,12,https://shopee.co.id/Laptop-murah-LENOVO-THINKPAD-I5-RAM-4GB-HDD-250GB-Mulus-i.250685702.7832304523,30-11-2020
"LENOVO THINKPAD T430 CI5 4GB MEMORY 320GB HDD VGA INTEL HD GRAPHIC 4000 1GB 14"" DVD RW CAMERA",3.250.000,KOTA BANDUNG,0,https://shopee.co.id/LENOVO-THINKPAD-T430-CI5-4GB-MEMORY-320GB-HDD-VGA-INTEL-HD-GRAPHIC-4000-1GB-14-DVD-RW-CAMERA-i.313036074.3965979342,30-11-2020
LENOVO IdeaPad Slim 3 14ADA05 512GB/Athlon 3050/14 FHD/4GB/Win10+OHS,6.788.000,KOTA JAKARTA UTARA,22,https://shopee.co.id/LENOVO-IdeaPad-Slim-3-14ADA05-512GB-Athlon-3050-14-FHD-4GB-Win10-OHS-i.257244871.7161716008,30-11-2020
Lenovo Ideapad Slim 3i 14IGL N4020 4GB 256ssd W10+OHS 14.0 -0MID/0LID/0KID,5.099.000,KOTA JAKARTA UTARA,3,https://shopee.co.id/Lenovo-Ideapad-Slim-3i-14IGL-N4020-4GB-256ssd-W10-OHS-14.0-0MID-0LID-0KID-i.250649369.6661581696,30-11-2020
"Lenovo Ideapad Slim 3 14ADA G4ID G5ID G6ID G7ID | AMD Athlon 3050U 4GB 256SSD 14""FHD",5.600.000,KOTA YOGYAKARTA,4,https://shopee.co.id/Lenovo-Ideapad-Slim-3-14ADA-G4ID-G5ID-G6ID-G7ID-AMD-Athlon-3050U-4GB-256SSD-14-FHD-i.287183392.6462033234,30-11-2020
LENOVO IDEAPAD 5 - RYZEN 7 4700U - 8GB RAM - 255GB SSD - WINDOWS 10,9.999.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/LENOVO-IDEAPAD-5-RYZEN-7-4700U-8GB-RAM-255GB-SSD-WINDOWS-10-i.259973835.7961676777,30-11-2020
"Lenovo IdeaPad Slim 3 - 14ADA05 | 14"" | Athlon 3050U | Vega 3 2GB | RAM 4GB | Win 10 HOME + OHS 2019",6.149.000,KOTA JAKARTA UTARA,1,https://shopee.co.id/Lenovo-IdeaPad-Slim-3-14ADA05-14-Athlon-3050U-Vega-3-2GB-RAM-4GB-Win-10-HOME-OHS-2019-i.86803663.7161744184,30-11-2020
LENOVO IdeaPad Flex 5 14ARE05-81X200EEID Ryzen 3 4500U 8GB 512GB W10,9.499.000,KOTA YOGYAKARTA,1,https://shopee.co.id/LENOVO-IdeaPad-Flex-5-14ARE05-81X200EEID-Ryzen-3-4500U-8GB-512GB-W10-i.287183392.4765361398,30-11-2020
"Lenovo IdeaPad Slim 5 - 14ARE05 | 14"" | R5-4500U | Vega 6 2GB | RAM 8GB | Win 10 HOME + OHS 2019",9.599.000,KOTA JAKARTA UTARA,2,https://shopee.co.id/Lenovo-IdeaPad-Slim-5-14ARE05-14-R5-4500U-Vega-6-2GB-RAM-8GB-Win-10-HOME-OHS-2019-i.86803663.5856636676,30-11-2020
