name,price,location,reviews,link,date
"Laptop Gaming LENOVO LEGION  7 -6CID CI7-10875H/2X8GB/1TB/RTX2060 6GB/15,6/WIN10+OPI/SLATE GREY",29.999.000,KOTA TANGERANG SELATAN,0,https://shopee.co.id/Laptop-Gaming-LENOVO-LEGION-7-6CID-CI7-10875H-2X8GB-1TB-RTX2060-6GB-15-6-WIN10-OPI-SLATE-GREY-i.91649692.4555692516,24-11-2020
Laptop-Murah-Lenovo Thinkpad-T420-Corei5Gen2-Ram4G-HDD320G-Kamera-DVD-Design-Gaming-Win10-Siap Pakai,2.799.000,KOTA SEMARANG,32,https://shopee.co.id/Laptop-Murah-Lenovo-Thinkpad-T420-Corei5Gen2-Ram4G-HDD320G-Kamera-DVD-Design-Gaming-Win10-Siap-Pakai-i.279406409.4843403205,24-11-2020
Laptop Gaming MSI GL65-9SFK-470ID  i7 9750 16GB 512ssd RTX2070 8GB W10 15.6FHD IPS 144Hz RGB BLACK,20.149.000,KOTA JAKARTA UTARA,0,https://shopee.co.id/Laptop-Gaming-MSI-GL65-9SFK-470ID-i7-9750-16GB-512ssd-RTX2070-8GB-W10-15.6FHD-IPS-144Hz-RGB-BLACK-i.225418842.7858800855,24-11-2020
"Laptop Gaming  LENOVO LEGION Y740S-1YID CI7-10750H/16GB/512GB/ RTX 2060 6GB/15,6/WIN10 + OPI/IRON GR",35.499.000,KOTA TANGERANG SELATAN,0,https://shopee.co.id/Laptop-Gaming-LENOVO-LEGION-Y740S-1YID-CI7-10750H-16GB-512GB-RTX-2060-6GB-15-6-WIN10-OPI-IRON-GR-i.91649692.5455801081,24-11-2020
Laptop-Murah-Lenovo Thinkpad-X230-Corei5Gen3-Ram4G-HDD320G-Kamera-DVD-Design-Gaming-Win10-Siap Pakai,2.599.000,KOTA SEMARANG,21,https://shopee.co.id/Laptop-Murah-Lenovo-Thinkpad-X230-Corei5Gen3-Ram4G-HDD320G-Kamera-DVD-Design-Gaming-Win10-Siap-Pakai-i.279406409.6143671018,24-11-2020
"LENOVO LEGION 5i-CLID - i7-10750H - 16GB - 1TB+256SSD - RTX2060 6GB - 15.6""100% sRGB - W10 - OFFICE",23.499.000,KOTA JAKARTA BARAT,6,https://shopee.co.id/LENOVO-LEGION-5i-CLID-i7-10750H-16GB-1TB-256SSD-RTX2060-6GB-15.6-100-sRGB-W10-OFFICE-i.174585297.5756570646,24-11-2020
Lenovo Legion Y740 15iRH i7 9750 16GB 1TBSSD RTX2060 6GB W10 15.6FHD,20.999.000,KOTA JAKARTA UTARA,2,https://shopee.co.id/Lenovo-Legion-Y740-15iRH-i7-9750-16GB-1TBSSD-RTX2060-6GB-W10-15.6FHD-i.15641210.6125461173,24-11-2020
"Laptop Gaming LENOVO LEGION 5i-4RID (i7 10750H 16GB 512GB SSD 15.6"" FHD 144Hz GTX 1660 Ti Win10 OHS)",21.999.000,KOTA TANGERANG SELATAN,2,https://shopee.co.id/Laptop-Gaming-LENOVO-LEGION-5i-4RID-(i7-10750H-16GB-512GB-SSD-15.6-FHD-144Hz-GTX-1660-Ti-Win10-OHS)-i.91649692.4055667544,24-11-2020
LENOVO LEGION Y740-15IRHG,26.999.000,KOTA MEDAN,1,https://shopee.co.id/LENOVO-LEGION-Y740-15IRHG-i.13315074.2472897385,24-11-2020
LENOVO LEGION 5 2XID GAMING LAPTOP,18.499.000,KOTA MEDAN,4,https://shopee.co.id/LENOVO-LEGION-5-2XID-GAMING-LAPTOP-i.13315074.3239297222,24-11-2020
Lenovo Legion 5 Ryzen 7 4800H 16GB 512 SSD GTX1650Ti 4GB 144Hz FREE OFFICE GARANSI RESMI,18.499.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/Lenovo-Legion-5-Ryzen-7-4800H-16GB-512-SSD-GTX1650Ti-4GB-144Hz-FREE-OFFICE-GARANSI-RESMI-i.161934666.3257502577,24-11-2020
"Laptop Gaming LENOVO LEGION Y7000-4UID CI5-9300HF/8GB/512GB/GTX1650/ 4GB//15,6/WIN10 + OPI/RAVEN BL",12.999.000,KOTA TANGERANG SELATAN,5,https://shopee.co.id/Laptop-Gaming-LENOVO-LEGION-Y7000-4UID-CI5-9300HF-8GB-512GB-GTX1650-4GB-15-6-WIN10-OPI-RAVEN-BL-i.91649692.4255667171,24-11-2020
LENOVO LEGION Y520 i7 7700HQ like new laptop gaming editing,9.349.000,KAB. BATANG,2,https://shopee.co.id/LENOVO-LEGION-Y520-i7-7700HQ-like-new-laptop-gaming-editing-i.150524337.3961704229,24-11-2020
"LENOVO LEGION 5 MLID - RYZEN 5-4600H - 16GB - 512SSD - GTX1650Ti 4GB - 15.6""FHD 144Hz 100%sRGB - W10",16.999.000,KOTA JAKARTA BARAT,9,https://shopee.co.id/LENOVO-LEGION-5-MLID-RYZEN-5-4600H-16GB-512SSD-GTX1650Ti-4GB-15.6-FHD-144Hz-100-sRGB-W10-i.30555036.3248249928,24-11-2020
Lenovo Legion Y545 15iRH i7 9750 16GB 1TB+512ssd GTX1660Ti 6GB W10 15.6FHD,16.799.000,KOTA JAKARTA UTARA,3,https://shopee.co.id/Lenovo-Legion-Y545-15iRH-i7-9750-16GB-1TB-512ssd-GTX1660Ti-6GB-W10-15.6FHD-i.15641210.4418556161,24-11-2020
"Laptop LENOVO GAMING  3i-KEID CI7-10750H/8GBx2/512GB/GTX1650TI 4GB/NO ODD/15,6/WIN10+OPI/ONYX BLACK",16.999.000,KOTA TANGERANG SELATAN,0,https://shopee.co.id/Laptop-LENOVO-GAMING-3i-KEID-CI7-10750H-8GBx2-512GB-GTX1650TI-4GB-NO-ODD-15-6-WIN10-OPI-ONYX-BLACK-i.91649692.4755815944,24-11-2020
