name,price,location,reviews,link,date
Laptop LENOVO THINKPAD  I5 RAM 4GB HDD 320GB Elegan Second Berkualitas,2.650.000,KAB. BANDUNG BARAT,19,https://shopee.co.id/Laptop-LENOVO-THINKPAD-I5-RAM-4GB-HDD-320GB-Elegan-Second-Berkualitas-i.250685702.5932719080,19-11-2020
Laptop Murah LENOVO THINKPAD X250 RAM 4GB HDD 500GB Original Bergaransi,3.600.000,KAB. BANDUNG BARAT,12,https://shopee.co.id/Laptop-Murah-LENOVO-THINKPAD-X250-RAM-4GB-HDD-500GB-Original-Bergaransi-i.250685702.3543856127,19-11-2020
LAPTOP LENOVO THINKPAD | RAM 4GB HDD 320 GB | LAPTOP BEKAS MURAH | LAPTOP SECOND BERKUALITAS,3.310.000,KAB. BANDUNG,2,https://shopee.co.id/LAPTOP-LENOVO-THINKPAD-RAM-4GB-HDD-320-GB-LAPTOP-BEKAS-MURAH-LAPTOP-SECOND-BERKUALITAS-i.310448551.5852740740,19-11-2020
Laptop Murah LENOVO Thinkpad T450 I5-5300m/4GB/180GB SSD Win10 Bekas,3.699.000,KOTA JAKARTA PUSAT,0,https://shopee.co.id/Laptop-Murah-LENOVO-Thinkpad-T450-I5-5300m-4GB-180GB-SSD-Win10-Bekas-i.329309344.4660796772,19-11-2020
Laptop Bekas Lenovo Thinkpad Core i5 T420,2.500.000,KOTA JAKARTA BARAT,10,https://shopee.co.id/Laptop-Bekas-Lenovo-Thinkpad-Core-i5-T420-i.18727563.4804698841,19-11-2020
Lenovo ThinkPad X1 YOGA Core i5 6th Ram 8GB SSD 256GB 14inch Full HD Win 10 Original Mulus,7.830.200,KOTA JAKARTA PUSAT,1,https://shopee.co.id/Lenovo-ThinkPad-X1-YOGA-Core-i5-6th-Ram-8GB-SSD-256GB-14inch-Full-HD-Win-10-Original-Mulus-i.74180113.4757742741,19-11-2020
LENOVO THINKPAD YOGA 12 i5 5200U 8GB RAM 256GB SSD IPS FHD TOUCH,5.500.000,KOTA JAKARTA SELATAN,13,https://shopee.co.id/LENOVO-THINKPAD-YOGA-12-i5-5200U-8GB-RAM-256GB-SSD-IPS-FHD-TOUCH-i.20542553.3640880264,19-11-2020
"Lenovo Yoga Slim 7i OHS (i5 1035G1 Win10 8GB 512GB SSD 14"" FHD WVA NVIDIA MX350 2GB 5RID 5QID 5SID)",14.399.000,KOTA JAKARTA PUSAT,15,https://shopee.co.id/Lenovo-Yoga-Slim-7i-OHS-(i5-1035G1-Win10-8GB-512GB-SSD-14-FHD-WVA-NVIDIA-MX350-2GB-5RID-5QID-5SID)-i.26026296.4236836972,19-11-2020
Lenovo Thinkpad Yoga X1 Carbon GEN4 2in1 Touch i5 8265 8GB 256ssd W10 14.0FHD,13.799.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/Lenovo-Thinkpad-Yoga-X1-Carbon-GEN4-2in1-Touch-i5-8265-8GB-256ssd-W10-14.0FHD-i.259973835.4940479051,19-11-2020
"LENOVO IDEAPAD 730S i5-8265U 8GB 256GB WIN10 13,3""FHD ( YOGA S730 )",10.399.000,KOTA JAKARTA PUSAT,2,https://shopee.co.id/LENOVO-IDEAPAD-730S-i5-8265U-8GB-256GB-WIN10-13-3-FHD-(-YOGA-S730-)-i.47045592.5837210612,19-11-2020
LENOVO YOGA C740 i5 10210 - MICA - 8GB RAM - 256GB SSD - INCLUDE PEN,11.999.000,KOTA JAKARTA PUSAT,2,https://shopee.co.id/LENOVO-YOGA-C740-i5-10210-MICA-8GB-RAM-256GB-SSD-INCLUDE-PEN-i.259973835.6949633779,19-11-2020
"Lenovo ThinkPad Thunderbolt 3 Dock 40AC0135EU - X1, T470, T480, P51s, P52s, Yoga 370, X280 X380",4.510.000,KOTA JAKARTA PUSAT,2,https://shopee.co.id/Lenovo-ThinkPad-Thunderbolt-3-Dock-40AC0135EU-X1-T470-T480-P51s-P52s-Yoga-370-X280-X380-i.26026296.3405319534,19-11-2020
Lenovo Yoga Slim 7 - i7-1065-Slate Grey WIN 10+OHS(82A10035ID),18.499.000,KOTA JAKARTA UTARA,7,https://shopee.co.id/Lenovo-Yoga-Slim-7-i7-1065-Slate-Grey-WIN-10-OHS(82A10035ID)-i.60324286.3935766581,19-11-2020
Lenovo Yoga Slim 7 14ARE Ryzen 7 4800 16GB 1TBssd W10+OHS 14.0FHD IPS 300 Nits Glass -11ID-12ID,16.899.000,KOTA JAKARTA UTARA,1,https://shopee.co.id/Lenovo-Yoga-Slim-7-14ARE-Ryzen-7-4800-16GB-1TBssd-W10-OHS-14.0FHD-IPS-300-Nits-Glass-11ID-12ID-i.250649369.4853956947,19-11-2020
LENOVO Yoga C640 13IML + OHS i5-10210U 8GB 512GB SSD Win10 Home 2KID,12.899.900,KOTA JAKARTA PUSAT,6,https://shopee.co.id/LENOVO-Yoga-C640-13IML-OHS-i5-10210U-8GB-512GB-SSD-Win10-Home-2KID-i.85424513.5616174859,19-11-2020
OBRAL CUCI GUDANG NOTEBOOK Lenovo ThikPad Yoga 11E RAM 8GB TOUCHSCREEN WINDOWS 10 PRO ORI BERGARANSI,2.501.400,KOTA SURABAYA,1,https://shopee.co.id/OBRAL-CUCI-GUDANG-NOTEBOOK-Lenovo-ThikPad-Yoga-11E-RAM-8GB-TOUCHSCREEN-WINDOWS-10-PRO-ORI-BERGARANSI-i.7217222.4527758679,19-11-2020
Laptop Lenovo yoga i3 RAM 4GB HDD 500GB,3.600.000,KOTA JAKARTA PUSAT,2,https://shopee.co.id/Laptop-Lenovo-yoga-i3-RAM-4GB-HDD-500GB-i.214616738.4138424977,19-11-2020
"LENOVO SERI YOGA SLIM 7 AMD RYZEN 7-4800U, 16GB RAM 1TB SSD FHD IPS",18.199.000,KOTA JAKARTA SELATAN,1,https://shopee.co.id/LENOVO-SERI-YOGA-SLIM-7-AMD-RYZEN-7-4800U-16GB-RAM-1TB-SSD-FHD-IPS-i.9150764.5545483951,19-11-2020
[ Laptop Second ] Lenovo THINKPAD YOGA Core i5 4210/RAM 4GB/SSD 128GB/Intel HD FHD Touch Bekas,5.687.500,KOTA TANGERANG,1,https://shopee.co.id/-Laptop-Second-Lenovo-THINKPAD-YOGA-Core-i5-4210-RAM-4GB-SSD-128GB-Intel-HD-FHD-Touch-Bekas-i.132928074.7004588749,19-11-2020
"LAPTOP LENOVO YOGA C940 i7-1065G7 16GB 1TB INTEL IRISH WIN10 14""FHD",19.999.000,KOTA JAKARTA PUSAT,2,https://shopee.co.id/LAPTOP-LENOVO-YOGA-C940-i7-1065G7-16GB-1TB-INTEL-IRISH-WIN10-14-FHD-i.259973835.7437319445,19-11-2020
Laptop Murah LENOVO Thinkpad X250 I5-5300u/4GB/500GB HDD Win10 Bekas,2.999.000,KOTA JAKARTA PUSAT,0,https://shopee.co.id/Laptop-Murah-LENOVO-Thinkpad-X250-I5-5300u-4GB-500GB-HDD-Win10-Bekas-i.329309344.3260718222,19-11-2020
[Free MS. Office 2019] Laptop Lenovo Yoga C640 33iD - i7-10510U RAM 16GB SSD 512GB 13.3FHD TOUCH WIN,16.600.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/-Free-MS.-Office-2019-Laptop-Lenovo-Yoga-C640-33iD-i7-10510U-RAM-16GB-SSD-512GB-13.3FHD-TOUCH-WIN-i.120447940.3213875665,19-11-2020
Laptop Lenovo Yoga SLIM 7-14IIL05-35ID/34ID/36ID,17.950.000,KOTA SURABAYA,1,https://shopee.co.id/Laptop-Lenovo-Yoga-SLIM-7-14IIL05-35ID-34ID-36ID-i.272053442.6050623247,19-11-2020
Laptop Lenovo thinkpad yoga 11e non touchscreen,2.150.000,KOTA JAKARTA UTARA,1,https://shopee.co.id/Laptop-Lenovo-thinkpad-yoga-11e-non-touchscreen-i.50675757.4440025334,19-11-2020
