name,price,location,reviews,link,date
Laptop Gaming MSI GF63 Thin 9SCSR Core i5-9300H GTX 1650Ti 8GB 256GB 15.6 Inch FHD 9S7-16R412-883,11.403.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/Laptop-Gaming-MSI-GF63-Thin-9SCSR-Core-i5-9300H-GTX-1650Ti-8GB-256GB-15.6-Inch-FHD-9S7-16R412-883-i.148846460.4653486597,26-11-2020
NEW MSI GF63 THIN 9SCXR-838ID GAMING LAPTOP,10.999.000,KOTA MEDAN,1,https://shopee.co.id/NEW-MSI-GF63-THIN-9SCXR-838ID-GAMING-LAPTOP-i.13315074.3247638760,26-11-2020
Laptop Gaming MSI GF63 Thin 9SCSR Core i7-9750H GTX 1650Ti 8GB 512GB 15.6 Inch FHD 9S7-16R412-882,12.981.000,KOTA JAKARTA PUSAT,3,https://shopee.co.id/Laptop-Gaming-MSI-GF63-Thin-9SCSR-Core-i7-9750H-GTX-1650Ti-8GB-512GB-15.6-Inch-FHD-9S7-16R412-882-i.148846460.6853488934,26-11-2020
MSI GF63 Thin 9SCSR (9S7-16R412-883),11.499.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/MSI-GF63-Thin-9SCSR-(9S7-16R412-883)-i.95106793.6753860646,26-11-2020
MSI GF63 THIN 10SCSR - 677id | i7-10750H | GTX1650Ti 4GB | 144Hz,15.999.000,KOTA JAKARTA BARAT,2,https://shopee.co.id/MSI-GF63-THIN-10SCSR-677id-i7-10750H-GTX1650Ti-4GB-144Hz-i.41303795.5442117485,26-11-2020
"MSI GF63 THIN 9SCSR 882 - i7-9750H - 8GB - 512GB SSD - NVIDIA GTX1650Ti MAX Q 4GB - 15""FHD - WIN10",12.899.000,KOTA JAKARTA BARAT,2,https://shopee.co.id/MSI-GF63-THIN-9SCSR-882-i7-9750H-8GB-512GB-SSD-NVIDIA-GTX1650Ti-MAX-Q-4GB-15-FHD-WIN10-i.174585297.4757662916,26-11-2020
MSI GF63 Thin 9SC (9S7-16R312-621),12.599.000,KOTA JAKARTA PUSAT,7,https://shopee.co.id/MSI-GF63-Thin-9SC-(9S7-16R312-621)-i.95106793.2858808884,26-11-2020
MSI GF75 Thin 9SC - 9S7-17F212-609,14.999.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/MSI-GF75-Thin-9SC-9S7-17F212-609-i.95106793.5253367365,26-11-2020
NEW MSI GF75-9RCX 270ID THIN GAMING NOTEBOOK,14.499.000,KOTA MEDAN,1,https://shopee.co.id/NEW-MSI-GF75-9RCX-270ID-THIN-GAMING-NOTEBOOK-i.13315074.2689429957,26-11-2020
"MSI GF75 Thin 9SC 17.3"" FHD Core i7-9750H 8GB 512GB SSD Nvidia GTX1650 4GB WIN10 9S7-17F212-609",14.535.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/MSI-GF75-Thin-9SC-17.3-FHD-Core-i7-9750H-8GB-512GB-SSD-Nvidia-GTX1650-4GB-WIN10-9S7-17F212-609-i.283257799.7153913032,26-11-2020
