name,price,location,reviews,link,date
LAPTOP ACER ASPIRE 5 514-53G-INTEL CORE i5 1035G1-4GB-1TB-NVDIA MX350 - RAM 8GB UPGRADE,9.035.990,Surabaya, 5,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEoseNHAnNosHDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUsthbm-7q3OBUsthosnfH_KOoAJObm-srcHi6seFHmFiy3zwrfo5rM1i6sJaopJXo_1OHaFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z_VHqjJp_M2VHJOkz92oucDp_Ozgo1N1u3BHe72a3BxDHfUpZMWyH7NkysoGQJBkQfBoe7BpZ37OPM-W_Mh-qMY23BzGQJNEqpCvuJB7_S2mQuB2HACqz717_Vz0ouBEgRzvuJj73jz-HOBkzMxquJ20Z3BRq3UpZSCqHMhO3A-ZQcoc69Cqe7jfZ32Cq1hAZSgsQ3hXyurOgMoUZSgqZVgkgJyNrV2AZ_g-qjV2_JoGPMoWQcNxupuMyp-tPMoc69Cqe7jfZ32Cq1hAZSxjuOgNguyNHVB9gI2-qMY2yjz6gjOEqpzoQSKdyjzGrfUpgAxMzRPdyjrNHfgU8VzZu3z61B1OuuKFQJYZzSoX3uP6Qco2eMxsH7-FyfOuQBxy8AxuHVgUuVu3_Ogc61g1qfziZs-cqB2yZ3Pg3JNRyuxGQJthH_xMzRzE3BPj6cgU_sCi17BpZ3N6qMUpZMhyHj2Nysoj8B2_Z_g-qjja_7H781Nkz92o8MoN_M20HjOEqpu681BpZ3N6qMUpZMhyH7ND3uxGqMVAZ_g-qjjp_3j7oJOJypCouJJO_92C81YJ192-QsnYUiFiP9oBrBY2gmUEUsnibm-xQcri6i-pPcOwqRoBgOYDHOYDHBYDHZUDUMNOQ3-BrBY5gBYxgIHi6sUFbm-XP3Oig9-wy3zp9R-BrZUEHsnDUMoxPVY2gIHi6BDa6_rDHpK7omFp6_Ka9ZFiQBYsy3Njq3zxPcuwy3zpUstpomFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMoFyOYpqcYF9RuXrZUDUSgBrSo2Qfdi6i-fHiUDUMoDP9o7g9-wq3zwPsUi6sJNosn7bm-sy9zBgfYa8uYpP3PSg9o79fV7PI-2ySu7gZUE3aUp6_KaUiFioAnF6mUDUsHN6AyibmUp6_KNUiFiHpyi997?keywords=acer+aspire&src=search&is_search=1&page=1&t=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Fmur4hk0m%2Flaptop-acer-aspire-5-514-53g-intel-core-i5-1035g1-4gb-1tb-nvdia-mx350-ram-8gb-upgrade%3Fsrc%3Dtopads&ob=23&management_type=1&dv=desktop,24-11-2020
Laptop Acer Aspire 3 A314-32 N4120 4GB/256GB/Intel HD/Black/W10+OHS - Hitam,5.599.000,Jakarta Pusat, 3,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEopUaosJaHAnDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstabm-7q3OBUsthosnfH_KOoAJObm-srcHi6sHOHmFiy3zwrfo5rM1i6sJaosjXopKhomFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z_zHqBud_1zg8jYJZ_u68Mrp_32oHJB2PfBxHByOgAUN8u2c692gHsBN3Bo-ojBke3BHe72OysUOqB2_Z_g-QuuN3Bzso1NJqRBHucoR3MO-PJNI1MxvepnO_OPooJh1qRBvzOVN_s--8VB9u9Bqe7BpZ37N83V9gICiQAB03BxmgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Aom83Ua1sVgHO-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7N5ysomgMV913Bvq1BRZ3BRq3oyuMhsQMhMgJPcQMoNZ_g-Q9PE3I2oo1YJZsxMzRPNyjrNHfgU8IoouRxfgAod6V1Fujx1uugvujyNZBz01M-GHjgk3Bx-gOBy_SPx3J2DZsJh6cgc_jgZHAVcuchZgB-uo1x983zt3_-381BIzS2szfhN3BojgcgU8I-sHBgXgjxd8MzIHcBHe72E3_UN8u2363BsQ_jpyp-uq1Y2Z9B6qjBO_M20HjNkgpuvzJ77_jzVHjY113BHe72E3_UN8u23692qu7gN3_-Sq1Y2Z9B68jBO_jz-HjYJZ_Co8BjO_7zuH1BXHA7ibm-Orfua9fBjUstiHmUDUMVDgaUEUSo7QuY0rfuS9fFp9fFa9fFhUiFiQSuWyMua9fYM9fVjraUEHsnDUMNOQ3-BrBYxgIowrMuhUstaHmFiyfV79fBjraUE3pUNoaFp6Ae7bAHN6A-Pbm-X9foxQMz2gcV7guYxgIHi6sH7bm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstiyRCs9RotQRCwP3NhUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUEH_jfHAeDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUsHN6AUibmU7HAndUiFiHpjdoiUDUsHN6AjibmUpoi-Pwe?r=https%3A%2F%2Fwww.tokopedia.com%2Fana0608%2Flaptop-acer-aspire-3-a314-32-n4120-4gb-256gb-intel-hd-black-w10-ohs-hitam%3Fsrc%3Dtopads&is_search=1&keywords=acer+aspire&t=desktop&src=search&ob=23&management_type=1&dv=desktop&page=1,24-11-2020
Laptop Acer Aspire E5 - corei5 5200u - ram 8GB - HDD 500GB -Nvidia 2GB,4.700.000,Jakarta Barat, 1,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEosedHAKpopnDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstpbm-7q3OBUsthosnfH_KOoAJObm-srcHi6sHOHmFiy3zwrfo5rM1i6sJao_1XHAUaHaFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z9BHqMrp_S2go1NEgpCoucoN_M2g8JY_Z9o-Q9zDguxjPMoW1MgsHjNfyfOuq1Y2Z9P-q9P2yM7NPujau3Bvq12D_3OuH7Y11_uoq_np_1Pqq1h11MWgucP7_OzDqjYAHAuoqMx0_32jq1O9zMhoQuV2_JoGPMoWQcNxupuM3jP3POKaQcW-qMY2_1o-r7BW69BxufzFyMFNPfoW63Wju7dF3A-Dq7BkQfBoe7BpZ37N83V9gICiQABEy1rNPOKaQcW-qMY2_1o-r7BXzsVq3JtO3AoZqVtp_3Bvq12p__Jd8jY1gRBMZIxp_3OdPMep8AxizJgpysoj6cgc_jgZHAVcuchZgBouo1u983zt3_-381BIzS2szfhN3BojgcgU8VzZu3z61B1OuuKFujYZH9oX3uP6Qco2eMxsH7-FyfOuQBxy8AxxH7ND3sod6cHp1Sz-q9P2yp-6PMoWuMggQj2fgAo6QJBkQfBoqMPR_c2oHjOEgRB6ucHF_uzooJNE3_C-q9P2yp-6PMoWuMgsHBgtyfO6Q7BkQfBoqBjO_c2-HjOJ_9xouVuN_OzuP7Y1ypV-QsnYUiFiP9oBrBY2gmUEUsnibm-xQcri6i-pPcOwqRoBgOYDHOYDHBYDHZUDUMNOQ3-BrBY5gBYxgIHi6sUFbm-XP3Oig9-wy3zp9R-BrZUEHsnDUMoxPVY2gIHi6BDa6_rDHpK7omFp6_Ka9ZFiQBYsy3Njq3zxPcuwy3zpUstpomFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMoFyOYpqcYF9RuXrZUDUSgBrSo2Qfdi6i-fHiUDUMoDP9o7g9-wq3zwPsUi6sepHpnObm-sy9zBgfYa8uYpP3PSg9o79fV7PI-2ySu7gZUE3aUp6_KaUiFioAnF6mUDUsHN6AyibmUp6_KNUiFiHpyi997?t=desktop&src=search&keywords=acer+aspire&management_type=1&dv=desktop&page=1&r=https%3A%2F%2Fwww.tokopedia.com%2Frevocomputer%2Flaptop-acer-aspire-e5-corei5-5200u-ram-8gb-hdd-500gb-nvidia-2gb%3Fsrc%3Dtopads&is_search=1&ob=23,24-11-2020
Laptop Acer Aspire 5 A514-53-32H2 i3-1005G1/4Gb/512Gb/UMA/W10+OHS,8.849.000,Jakarta Pusat, 6,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEoseRo_1aHs1DUMVj9RzNrc1i6sJDUSC5rfB7q3YXUst7bm-7q3OBUsthosnfH_KOoAJObm-srcHi6sHOHmFiy3zwrfo5rM1i6sJaoseXop1NoiFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBo8_eF_7zS8jNEZ9PvuJOR_32o81N133BHe72kgJxGgMHauMxsQ1N5Z325q1O2oA-6qBja_M2gHjNk3_-6qBja_M2sq1hAZS-q3cFpysoGqOKp_M2iH72DZ325q1OAZ9o-Q_ufyMO6QJBkQfBquJ2D_S20HJY1Z9z68j-W33jFHV2Iz_zHucDO392SPJY1Z_zqzJjp332cqV21ZMW-q9P2ysoGrVtaQIuyHB-Dy7yNrV2AZ_g-qjV2_JoGPMoWQcNxupuMy7xGPB2UuM2jzsBF3jo-ojBke3BHe72fyfODQMV9o3gsHMxfy7yNrV2AZ_g-qjV2_JoG8cz9uSBBusjF3uPj8jBkQfBizJNM_920oJOX8AxizJ2pysoj6cgIPRxizpjpgjxduV-ugJNZu_uu3ACD_O-crfNgu7NDyfBmqcHpeSCsQuuX3Vxd6V1Fujx1uugvujyNzBz0gc-GHjgk3Bx-gOBy_SPx3J2DZsJh6cgIPI2qufedgjx6Hc-_Z9o-QjNkysoGQVKaZSBiHfzE3Bo-ojBkZ_z6q_ep_M20HJOk1_u6ucPd_1zzH1NAZ9o-QjNkysoGQVKp_Mhg3J2ky1o-ojBkZ_oo1pzE_jz0HJOE39xozVjh_1zCoJONZsjibm-Orfua9fBjUstiHmUDUMVDgaUEUSo7QuY0rfuS9fFp9fFa9fFhUiFiQSuWyMua9fYM9fVjraUEHsnDUMNOQ3-BrBYxgIowrMuhUstaHmFiyfV79fBjraUE3pUNoaFp6Ae7bAHN6A-Pbm-X9foxQMz2gcV7guYxgIHi6sH7bm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstiyRCs9RotQRCwP3NhUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUEH_jfHAeDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUsHN6AUibmU7HAndUiFiHpjdoiUDUsHN6AjibmUpoi-Pwe?t=desktop&dv=desktop&keywords=acer+aspire&r=https%3A%2F%2Fwww.tokopedia.com%2Fana0608%2Flaptop-acer-aspire-5-a514-53-32h2-i3-1005g1-4gb-512gb-uma-w10-ohs%3Fsrc%3Dtopads&page=1&ob=23&management_type=1&src=search&is_search=1,24-11-2020
LAPTOP ACER ASPIRE 5 514-53G-CORE i5 1035G1-8GB-SSD 512GB-NVDIA MX 350,9.479.850,Surabaya, 3,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEopyNH_eRHpnDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstObm-7q3OBUsthosnfH_KOoAJObm-srcHi6seFHmFiy3zwrfo5rM1i6sJaoA1X6AjpHaFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z_-HqjjhZ3BRq3JausujHsBN3jyN8Bja69Bq17jfZ32Cq1hAZSuiHsuk3Bo-ojBWu9BqucHO_jz081h1yRPqQ1B7_jPZqJYAHAuvu777_Vz081YI19B6HjBd3uPu8u2AZ9o-Q_BNyuPjrc-D63Wq3J-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7-Nys-ZHujp1MgxuOV2_fB-P7B2PfBiH72F3s-DPuKp_MYiH7-MyuPzq1Y2Z9P-q9P2yOx3QcoXQcgjz7gXyRB-ojBWPR2y8j7O_7zG6cgIPRBizpjpgjxdr7O98IgjHRKdu_C3ZVzuujY3zsBGucWZyjtazM2q3JBS3ux6PfVyZMhGH_Jdgjg6zBUFH1g1QV-M1B1OZVPNgcxgHBgNZ1Pc8MoIQIBq1fzjgjxdrMHauMNMZIxEgJrFq1hAZS2gHsBN3ByNq3oW6_osHBu2_fB-81Nku9uozV1p_32soJY1u_C68Bjp_9B-r7BX_M2iH72D3Ao6QVByZM2xe7jfZ32-HjNNoI2ozJ1p_92VH7Nke_uvzJ77Z3dFvZUDUSupg9-wq3ei6iUFUiFiy3hSUstirRzW9fWpg3PwQAowQA-wQAJibm-XP3Oig9-wQfgwy3zpUstaHmFiQSuWyMua9fVjrOYag9Ji6sUFbm-sy9zwq3zpUs2QHsjRbAHdoAeDHpjdHB7DUMNwyfVXgcBjy9zB9fVjraUEHpeDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-srcowrfx5rVYOQSJibm-fg9-pq3YXUstiPsUibm-sQIupPcua9fBj9RyaUsth6_yFomFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDiHpjdHiUDUseFHAKibmUp6_KfUiFiHpjd6ZUDUsHfUBOY?page=1&management_type=1&src=search&is_search=1&keywords=acer+aspire&t=desktop&dv=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Fmur4hk0m%2Flaptop-acer-aspire-5-514-53g-core-i5-1035g1-8gb-ssd-512gb-nvdia-mx-350%3Fsrc%3Dtopads&ob=23,24-11-2020
Acer Aspire 5 A514-53 i3-1005G1 4GB 512 SSD + intel Optane Win10 OHS,7.999.000,Jakarta Pusat, 38,https://www.tokopedia.com/acerid/acer-aspire-5-a514-53-i3-1005g1-4gb-512-ssd-intel-optane-win10-ohs-4-gb?whid=0,24-11-2020
Acer Aspire 3 A314-32 Intel N4120 8GB 256 SSD Intel UHD Win10 Free OHS,5.299.000,Jakarta Pusat, 17,https://www.tokopedia.com/acerid/acer-aspire-3-a314-32-intel-n4120-8gb-256-ssd-intel-uhd-win10-free-ohs-4-gb?whid=0,24-11-2020
Acer Aspire 3 A314 Ryzen 3 3250 8GB 1TB Vega3 W10 (PRE) 14.0,6.299.000,Jakarta Utara, 8,https://www.tokopedia.com/mimomart/acer-aspire-3-a314-ryzen-3-3250-8gb-1tb-vega3-w10-pre-14-0-4gb?whid=0,24-11-2020
"LAPTOP ACER ASPIRE 5 A514-53 - i3-1005G1 4GB 512GB SSD 14"" W10 OFFICE",7.450.000,Tangerang, 14,https://www.tokopedia.com/fastkomputer-1/laptop-acer-aspire-5-a514-53-i3-1005g1-4gb-512gb-ssd-14-w10-office-3852-purple?whid=0,24-11-2020
"LAPTOP ACER ASPIRE 5-A514 I3-1005G1 8GB 512GB+OPTANE 32GB 14"" W10 OHS",7.699.000,Jakarta Pusat, 7,https://www.tokopedia.com/zxcomputer/laptop-acer-aspire-5-a514-i3-1005g1-8gb-512gb-optane-32gb-14-w10-ohs?whid=0,24-11-2020
