name,price,location,reviews,link,date
LAPTOP ACER SWIFT 3 SF314-57G-INTEL CORE i5-1035G1-4GB-SSD 512GB-MX250,9.606.500,Surabaya, 4,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEo_jaHpJNopJDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUsthbm-7q3OBUsthosnOop1RHsyObm-srcHi6seFHmFiy3zwrfo5rM1i6sJaoAKXoAHaoiFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoq_zN_S2-H7OkyRB68jjp_32s81NE_3BHe72kgJxGgMHauMxsQ1N5Z325q1YAoA-ouVuE_7zzHjO1u92vzVJa_uzuq1hAZS-q3cFpysoGqOKp_M2iH72DZ325q1OAZ9o-Q_ufyMO6QJBkQfBvuO-D332-oJO9z9zguVBd_MjFHV2W1MhHucWR3_-uPV2J1_CqqB1h__--81OJuMh-q9P2ysoGrVtaQIuyHB-Dy7yNrV2AZ_g-qjV2_JoGPMoWQcNxupuMy7xGPB2UuM2jzsBF3jo-ojBke3BHe72fyfODQMV9o3gsHMxfy7yNrV2AZ_g-qjV2_JoG8cz9uSBBusjF3uPj8jBkQfBizJNM_920oJOX8AxizJ2pysoj6cgc_jgZHAVcuchZgB-uo1x983zt3_-381BU_soxuOtFZsJh6cgIPRxizpjpgjxdrMHauMNMZIxEgJrh6cgc_jgZHAVcuchZgBouo1u983zt3_-381BU_soxuOtFZsJFq1hAZS2gHsBN3ByNq3oW6_osHBu2_fB-81NEu9u6ucra_jz0H7Y1_9xozVJp_3B-r7BX_M2iH72D3Ao6QVByZM2xe7jfZ32-H7NAoI2vzJJp_OzVo1O1_9PvuJB2gBJYvZUDUSupg9-wq3ei6iUFUiFiy3hSUstirRzW9fWpg3PwQAowQA-wQAJibm-XP3Oig9-wQfgwy3zpUstaHmFiQSuWyMua9fVjrOYag9Ji6sUFbm-sy9zwq3zpUs2QHsjRbAHdoAeDHpjdHB7DUMNwyfVXgcBjy9zB9fVjraUEHpUDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-srcowrfx5rVYOQSJibm-fg9-pq3YXUstiPsUibm-sQIupPcua9fBj9RyaUsth6_yFomFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDiHpjdHiUDUsHN6AyibmU7HAndUiFiHpjdomUDUsHfUBOY?src=search&management_type=1&t=desktop&keywords=acer+swift&dv=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Fmur4hk0m%2Flaptop-acer-swift-3-sf314-57g-intel-core-i5-1035g1-4gb-ssd-512gb-mx250%3Fsrc%3Dtopads&is_search=1&ob=23&page=1,19-11-2020
Laptop Acer Swift 3 SF314 | Ryzen 7 4700 8GB 512ssd Vega7 14.0FHD,11.599.000,Jakarta Utara, 1,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEoprpHArf6_eDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstabm-7q3OBUsthosnOop1RHsyObm-srcHi6sHOHmFiy3zwrfo5rM1i6sJaH_UXH_rdoaFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z92o8_zE_92o8jOE_92o8jOE_92o8jONZ9o-Q9zDguxjPMoW1MgsHjNfyfOuq1Y2Z9P-q9P2yM7NPujau3Bvq1jO3jP3q1OkgRxg1pVt_M2VHjh11MOqzOu7_OzmqB2_H3W6zV-W_Bzu8BBkZ9P6uOu2_JoGPMoWQcNxupuM3jP3POKaQcW-qMY2_1o-r7BW69BxufzFyMFNPfoW63Wju7dF3A-Dq7BkQfBoe7BpZ37N83V9gICiQABEy1rNPOKaQcW-qMY2_1o-r7BXzsVq3JtO3AoZqVtp_3Bvq12p__Jd8jY1gRBMZIxp_3OdPMep8AxuHVgUuVu3_Ogc61g1qfziZs-cqB2yZ3PsHfzF3MNzQBxy8AxizJgpysoj6cgIPI2qufedgjx6Hc-y8AxuHVgUuVu3_Ogc6121qO-iZs-cqB2yZ3PsHfzF3MNzQBx_Z9o-QjNkysoGQVKaZSBiHfzE3Bo-ojBkZ_V6q_ep_Bzg81OE__-68B1F_92o8JB2PfBsHjNfyfO3gMHauMxsQ1N5Z325q1Ok3_-HqBVd_320P7OJ392vuJ1h_BoG6ZUDUSupg9-wq3ei6iUFUiFiy3hSUstirRzW9fWpg3PwQAowQA-wQAJibm-XP3Oig9-wQfgwy3zpUstaHmFiQSuWyMua9fVjrOYag9Ji6sUFbm-sy9zwq3zpUs2QHsjRbAHdoAeDHpjdHB7DUMNwyfVXgcBjy9zB9fVjraUEHpUDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-srcowrfx5rVYOQSJibm-fg9-pq3YXUstiPsUibm-sQIupPcua9fBj9RyaUst76_HFHaFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDiHpjdHiUDUsHN6AyibmU7HAndUiFiHpjdomUDUsHfUBOY?dv=desktop&management_type=1&r=https%3A%2F%2Fwww.tokopedia.com%2Flaptopgaming%2Flaptop-acer-swift-3-sf314-ryzen-7-4700-8gb-512ssd-vega7-14-0fhd%3Fsrc%3Dtopads&src=search&is_search=1&keywords=acer+swift&t=desktop&ob=23&page=1,19-11-2020
Laptop Acer Swift 3 SF314-41-Amd Ryzen 5 3500U-4GB-SSD 512GB-VEGA 8 - 4 gb,9.151.600,Surabaya, 1,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEopyfH_npopJDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstpbm-7q3OBUsthosnOop1RHsyObm-srcHi6sHRHmFiy3zwrfo5rM1i6sJaHAJXosjaomFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfB6q_zN_Bo-r7BW_sCsQABE3BPc8ujagfBvq1jF_c2o8jOE_92o8jOE_92o8jOE_926e7BpZ3O7QcuygIgsQu-Myp-6PMoWu3Bvq1BRZ3BRq3-W69ugHBu2_fB-ou2IuMBoqMPd3uHhqJNkz_-HuV-W3jPuPJY1eM2q1pV0_jzZQ1N1u92gqjBR_BPuq1hAZSgsQ3hXyurOgB2IuSPyHMh0Z325q1OAZ9o-Q_BNyuPjrc-D69PsQ_B0gVP6HVKaQcW-qMY2_1o-r7BW69BxufzFyMFN8MVI69PyHMh0Z325q1OAZ9o-Qjyh3BxGouKp1MxqH7O2_fBGr77h6I2vucPNgjxdr7OW8IgjHRKdu_C3ZVzuujY3zsBcucWjyjtazM2q3JBSypojrV2X13Ny3IKdyjzcrfUpgAxMzRzE3BPj6cgU_sCi3IKdu_C3ZVzuujY3zsBGucWZyjtazM2q3JBSypojrV2X13Ny17BpZ3N6qMUpZMhyHj2Nysoj8B2_Z_g-qjjp_uH7H1NEZ_CozVBd_S2zH7OE19x681BpZ3N6qMUpZMhyH7ND3uxGqMVAZ_g-qjja_jH78JOJgRBoucPR_uz-H7YJ3_C-QsnYUiFiP9oBrBY2gmUEUsnibm-xQcri6i-pPcOwqRoBgOYDHOYDHBYDHZUDUMNOQ3-BrBY5gBYxgIHi6sUFbm-XP3Oig9-wy3zp9R-BrZUEHsnDUMoxPVY2gIHi6BDa6_rDHpK7omFp6_Ka9ZFiQBYsy3Njq3zxPcuwy3zpUstpHiFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMoFyOYpqcYF9RuXrZUDUSgBrSo2Qfdi6i-fHiUDUMoDP9o7g9-wq3zwPsUi6sURHsrObm-sy9zBgfYa8uYpP3PSg9o79fV7PI-2ySu7gZUE3aUp6_KaUiFiHpjdoiUDUseFHAKibmUp6_K7UiFiHpyi997?dv=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Fmur4hk0m%2Flaptop-acer-swift-3-sf314-41-amd-ryzen-5-3500u-4gb-ssd-512gb-vega-8-4-gb%3Fsrc%3Dtopads&keywords=acer+swift&page=1&management_type=1&src=search&ob=23&is_search=1&t=desktop,19-11-2020
acer e5 475g core i5-7200u ram 4gb hdd 1tb Nvidia 940mx,6.000.000,Jakarta Timur, 1,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEopyRoAHO6AnDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUst7bm-7q3OBUsthosnOop1RHsyObm-srcHi6seFHmFiy3zwrfo5rM1i6sjO6Zdao_HNbm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1O119uoqMrh_S2VHJOkgpV68j1F_32SH1B2PfBgHO-N3Ao6QVByZM2xe7jfZ32oP1Y1Z9x6uVj7_M2-H7NJu9PvucPR_3B-r7BWPchB3czfyfOZgMHa_SgsQuu2_fB-P7B2PfBiQ_BO3_-uq1Y2Z_uqzOg2_32S8VB_H3x6qj1a_VzZQu2Iu9zvuJ-k3BHhq7NJ1MO6uVuE332-P7N9u3BHe72fyfODQMV9o3gqzOgR3A-Dq7BkQfBoe7BpZ37N83V9gICiQABRyf7Nqfz9_sCyHMh0Z325q1OAZ9o-Q_BNyuPjrc-D692xzpBR3A-Dq7BkQfBoe7BpZ3NcHu2yZsuyHO-t3sooq1Y2ZSooH_xE_OzS83gU8IooQ9xfgAod6c-JzSoiHfedgjx6Hc-_Z9o-QjNkysoGQVKaZSBiHfzE3Bo-ojBkZ_o68_zR_Ozu8JN13_C6uJJa_jz0HJB2PfBsHjNfyfO3gMHauMxsQ1N5Z325q1OkyRPHqjBd_32oH1NEZ_zoucDa_1zSHjBXHA7ibm-Orfua9fBjUstiHmUDUMVDgaUEUMVDPVY0g9BRQR-j9R-BgiUDUMNOQ3-BrBY5gBYxgIHi6sUFbm-XP3Oig9-wy3zp9R-BrZUEHsnDUMoxPVY2gIHi6BDa6_rDHpK7omFp6_Ka9ZFiQBYsy3Njq3zxPcuwy3zpUstpHiFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMoFyOYpqcYF9RuXrZUDUSgBrSo2Qfdi6i-fHiUDUMoDP9o7g9-wq3zwPsUi6sepHpnObm-sy9zBgfYa8uYpP3PSg9o79fV7PI-2ySu7gZUE3aUp6_KaUiFiHpjdoiUDUseFHAKibmUp6_K7UiFiHpyi9ZFiy3h7g9-Xy9zB9fWB89P5rMei6i-xyfuaUS7?ob=23&dv=desktop&t=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Fhostore%2Facer-e5-475g-core-i5-7200u-ram-4gb-hdd-1tb-nvidia-940mx%3Fsrc%3Dtopads&src=search&keywords=acer+swift&page=1&management_type=1&is_search=1,19-11-2020
Laptop Acer Aspire E5 - corei5 5200u - ram 8GB - HDD 500GB -Nvidia 2GB,4.700.000,Jakarta Barat, 1,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEosedHAKpopnDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstObm-7q3OBUsthosnOop1RHsyObm-srcHi6sHOHmFiy3zwrfo5rM1i6sjOHidpo_jdbm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1O_oIPvzVjO_BzgH1Okz_oo8MWd_92CHJB2PfBgHO-N3Ao6QVByZM2xe7jfZ32-P1NJ__uozJjF_920P7Ok192vuJVN_jo-r7BWPchB3czfyfOZgMHa_SgsQuu2_fB-P7B2PfBiQ_BO3_-uq1Y2Z_uqzOg2_32S8VB_H3x6qj1a_VzZQu2Iu9zvuJ-k3BHhq7NJ1MO6uVuE332-P7N9u3BHe72fyfODQMV9o3gqzOgR3A-Dq7BkQfBoe7BpZ37N83V9gICiQABRyf7Nqfz9_sCyHMh0Z325q1OAZ9o-Q_BNyuPjrc-D692xzpBR3A-Dq7BkQfBoe7BpZ3NcHu2yZsuyHO-t3sooq1Y2ZSooH_xE_OzS83gU8IooQ9xfgAod6c-JzSoiHfedgjx6Hc-_Z9o-QjNkysoGQVKaZSBiHfzE3Bo-ojBkZ_zo8_zR_Oz-H7NEgp-6uVjF_uzoo1B2PfBsHjNfyfO3gMHauMxsQ1N5Z325q1Ok3_zHqjjp_1zoH7N1_9B6ucWR_S2Vq3gzv_7ibm-Orfua9fBjUstiHmUDUMVDgaUEUMVDPVY0g9BRQR-j9R-BgiUDUMNOQ3-BrBY5gBYxgIHi6sUFbm-XP3Oig9-wy3zp9R-BrZUEHsnDUMoxPVY2gIHi6BDa6_rDHpK7omFp6_Ka9ZFiQBYsy3Njq3zxPcuwy3zpUstpHiFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMoFyOYpqcYF9RuXrZUDUSgBrSo2Qfdi6i-fHiUDUMoDP9o7g9-wq3zwPsUi6sepHpnObm-sy9zBgfYa8uYpP3PSg9o79fV7PI-2ySu7gZUE3aUp6_KaUiFiHpjdoiUDUseFHAKibmUp6_K7UiFiHpyi9ZFiy3h7g9-Xy9zB9fWB89P5rMei6i-xyfuaUS7?ob=23&is_search=1&t=desktop&keywords=acer+swift&page=1&management_type=1&dv=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Frevocomputer%2Flaptop-acer-aspire-e5-corei5-5200u-ram-8gb-hdd-500gb-nvidia-2gb%3Fsrc%3Dtopads&src=search,19-11-2020
Laptop Acer Swift 3 SF314-57-39WL With Intel Gen 10th And SSD 256GB,7.785.690,Jakarta Pusat, 7,https://www.tokopedia.com/sofyankotakom/laptop-acer-swift-3-sf314-57-39wl-with-intel-gen-10th-and-ssd-256gb?whid=0,19-11-2020
"LAPTOP ACER SWIFT 1 SF114-33 - PENTIUM N5030 4GB 512GB 14"" FHD IPS W10",6.499.000,Jakarta Pusat, 14,https://www.tokopedia.com/protechcom/laptop-acer-swift-1-sf114-33-pentium-n5030-4gb-512gb-14-fhd-ips-w10?whid=0,19-11-2020
ACER Swift 3 SF314 42 | Ryzen 5 4500U 8GB 512SSD 14FHD W10,10.999.000,Jakarta Utara, 3,https://www.tokopedia.com/amd-id/acer-swift-3-sf314-42-ryzen-5-4500u-8gb-512ssd-14fhd-w10?whid=0,19-11-2020
ACER SWIFT 3 SF314 RYZEN 5 3500U RAM 8GB 512GB RADEON VEGA 8 W10 + OHS,8.899.000,Jakarta Utara, 1,https://www.tokopedia.com/olshopallbrand/acer-swift-3-sf314-ryzen-5-3500u-ram-8gb-512gb-radeon-vega-8-w10-ohs?whid=0,19-11-2020
Laptop Acer Swift 3 SF314 | Ryzen 7 4700 8GB 512ssd Vega7 14.0FHD,11.599.000,Jakarta Utara, 1,https://www.tokopedia.com/laptopgaming/laptop-acer-swift-3-sf314-ryzen-7-4700-8gb-512ssd-vega7-14-0fhd?whid=0,19-11-2020
