name,price,location,reviews,link,date
Asus VivoBook X441BA - AMD A4-9125 - 4GB RAM - R5 Graphics - 500GB,4.250.000,Jakarta Barat, 1,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEoprh6Ar7HsjDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUsthbm-7q3OBUsthosnfoAeN6AHabm-srcHi6s1FHmFiy3zwrfo5rM1i6sJpHA1X6_r7omFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBo8_zN_32uoJOJ3_C6uJ1a_uz-o1OJ_3BHe72kgJxGgMHauMxsQ1N5Z325q1NNoAz6qjVN_M2-P7OJgpoo8j7a_32uq1hAZS-q3cFpysoGqOKp_M2iH72DZ325q1OAZ9o-Q_ufyMO6QJBkQfB68B1a_32qqV2Wu9z6HjBN33jFHJOk1MBHucrF_S2SPVBE_9BoqMD73jzSH1OEyRB-q9P2ysoGrVtaQIuyHB-Dy7yNrV2AZ_g-qjV2_JoGPMoWQcNxupuMy7xGPB2UuM2jzsBF3jo-ojBke3BHe72fyfODQMV9o3gsHMxfy7yNrV2AZ_g-qjV2_JoG8cz9uSBBusjF3uPj8jBkQfBizJNM_920oJOX8AxizJ2pysoj6cgIPRxizpjpgjxdrMHauMNMZIx11Buj_B-uouuyHVgv1sVpQBBy_sVs81UayuxqPBBW69gx83zjgjxd8MzIH_xMzjNc1snhzBzD1Mg_u_uVuRBjqcHpuS2-ZV2Fgc7Nq3Ua69-GH_C2_JoG8Bja69BqusB2yf7NHfHau3Bvq1BN_M2SP1Ok_92vzJBE_7zs8jYJ39xo8Bu2_JoG8Bja69BqusBE3BPc8ujagfBvq1BN_7zoP1YJ1_V68BBE_1z-o1Nk392681tNUiFiP9oBrBY2gmUEUsnibm-xQcri6i-pPcOwqRoBgOYDHOYDHBYDHZUDUMNOQ3-BrBY5gBYxgIHi6sKDUMNOQ3-BrBYxgIowrMuhUstaHmFiyfV79fBjraUE3pUNoaFp6Ae7bAHN6A-Pbm-X9foxQMz2gcV7guYxgIHi6sKDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-srcowrfx5rVYOQSJibm-fg9-pq3YXUstiPsUibm-sQIupPcua9fBj9RyaUstfoseRbm-sy9zBgfYa8uYpP3PSg9o79fV7PI-2ySu7gZUE3aUp6_KaUiFiHpjdomUDUsHN6AyibmU7HAndUiFiHpyi997?keywords=asus+vivobook&page=1&is_search=1&r=https%3A%2F%2Fwww.tokopedia.com%2Factioncamcamera%2Fasus-vivobook-x441ba-amd-a4-9125-4gb-ram-r5-graphics-500gb%3Fsrc%3Dtopads&ob=23&dv=desktop&management_type=2&t=desktop&src=search,27-11-2020
ASUS Vivobook Intel N4000 500GB,4.555.000,Surabaya, 18,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEopyNopedHpJDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstabm-7q3OBUsthosnfoAeN6AHabm-srcHi6seFHmFiy3zwrfo5rM1i6sJaHpUXHpy7bm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1O_oIBvucrp_1zV81Y1gpoozJuN_OzSH7B2PfBgHO-N3Ao6QVByZM2xe7jfZ32zP1O1Z9268jud_92zP7Oke_-oucrhZ3BRq3JausujHsBN3jyN8Bja69Bq17jfZ32Cq1hAZSuiHsuk3Bo-ojBkypV6qjja3uPqQJh1gcBoQ1B7_jz-HVB2HAz6zcH7_VPo8jOkZ_uvzOJ7_BzoH7O2Z9o-Q_BNyuPjrc-D63Wq3J-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7-Nys-ZHujp1MgxuOV2_fB-P7B2PfBiH72F3s-DPuKp_MYiH7-MyuPzq1Y2Z9P-q9P2yOx3QcoXQcgjz7gXyRB-ojBWPR2y8j7O_7zG6cgIPRBizpjpgjxdr7O98IgjHRKdy_o6QVtp8AxuHVgUuVu3_Ogc61g1qfziZs-c8Mzy_3PjQ3Fays-GPMUarfNy3IKdypoZPcgU8VzZu3z61B1OuuKFQJYZzSoX3ux6H3oNes-x3V2f337NPMVNgcz-q9P2yp-6PMoWuMggQj2fgAo6QJBkQfBoqMHa_c2uo1O1e_uvuV17_92SP7Y1gfBHe72E3_UN8u23692qu7gN3_-Sq1Y2Z9B6qMoO_7zzHjY1ypuozcPE_jzzo1NEu3BM1_7YUiFiP9oBrBY2gmUEUsnibm-xQcri6i-pPcOwqRoBgOYDHOYDHBYDHZUDUMNOQ3-BrBY5gBYxgIHi6sKDUMNOQ3-BrBYxgIowrMuhUstaHmFiyfV79fBjraUE3pUNoaFp6Ae7bAHN6A-Pbm-X9foxQMz2gcV7guYxgIHi6sKDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-srcowrfx5rVYOQSJibm-fg9-pq3YXUstiPsUibm-sQIupPcua9fBj9RyaUsth6A1hHmFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDiHpjdHiUDUsHN6AeibmUp6_KfUiFioAnF6mUDUsHfUBOY?keywords=asus+vivobook&r=https%3A%2F%2Fwww.tokopedia.com%2Fran-phone%2Fasus-vivobook-intel-n4000-500gb%3Fsrc%3Dtopads&src=search&page=1&management_type=2&ob=23&t=desktop&dv=desktop&is_search=1,27-11-2020
Notebook Asus VivoBook X441BA-GA441T (Brown),4.659.000,Padang, 1,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEoprOHAHRo_yDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstpbm-7q3OBUsthosnfoAeN6AHabm-srcHi6sUp6ZFiy3zwrfo5rM1i6sJaHAeXHAja6mFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBo8_zN_S2SHjYJgpVoqBJh_OzC8JNk13BHe72kgJxGgMHauMxsQ1N5Z325q1O2oIB68jjp_32s81NEZ_ooqMoN_S2oq1hAZS-q3cFpysoGqOKp_M2iH72DZ325q1OAZ9o-Q_ufyMO6QJBkQfB68B1a_32qqV2Wu9z6HjBN33jFHJOk1MBHucrF_S2SPVBE_9BoqMD73jzSH1OEyRB-q9P2ysoGrVtaQIuyHB-Dy7yNrV2AZ_g-qjV2_JoGPMoWQcNxupuMy7xGPB2UuM2jzsBF3jo-ojBke3BHe72fyfODQMV9o3gsHMxfy7yNrV2AZ_g-qjV2_JoG8cz9uSBBusjF3uPj8jBkQfBizJNM_920oJOX8AxizJ2pysoj6cgIPRxizpjpgjxdrMHauMNMZIx11Buj_B-uouuyHVgv1sVpQBBy_sVs81UayuxqPBBW69gx83zjgjxd8MzIH_xMzjNc1snhzBzD1Mg_u_uVuRBjqcHpuS2-ZV2Fgc7Nq3Ua69-GH_C2_JoG8Bja69BqusB2yf7NHfHau3Bvq1BN_M2zP1NEyRxo8j7O_Oz0HjYJz_-v17BpZ3N6qMUpZMhyH7ND3uxGqMVAZ_g-qjja_uH7H7OJZ_CouJON_7zuHjOEyR2-QsnYUiFiP9oBrBY2gmUEUsnibm-xQcri6i-pPcOwqRoBgOYDHOYDHBYDHZUDUMNOQ3-BrBY5gBYxgIHi6sKDUMNOQ3-BrBYxgIowrMuhUstaHmFiyfV79fBjraUE3pUNoaFp6Ae7bAHN6A-Pbm-X9foxQMz2gcV7guYxgIHi6sKDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-srcowrfx5rVYOQSJibm-fg9-pq3YXUstiPsUibm-sQIupPcua9fBj9RyaUsta6_HFomFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDiHpjdHiUDUsHN6AeibmUp6_KfUiFioAnF6mUDUsHfUBOY?t=desktop&management_type=2&dv=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Fgeloracomputindo%2Fnotebook-asus-vivobook-x441ba-ga441t-brown%3Fsrc%3Dtopads&src=search&is_search=1&keywords=asus+vivobook&page=1&ob=23,27-11-2020
NB ASUS VIVOBOOK A409JP-EK501T TRANPARENT SILVER,9.399.000,Jakarta Barat, 3,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEoprfo_raopHDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUst7bm-7q3OBUsthosnfoAeN6AHabm-srcHi6syOHmFiy3zwrfo5rM1i6sy76ZdRopUdbm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1O_oA-6qBja_M2gHjNk3_-6qBja_M2gH7B2PfBgHO-N3Ao6QVByZM2xe7jfZ320P1O1u_CvuJjO_BzsH7NJ3_C68MW2_JoGrB2yQAoiH7203Ao6qMUpZMh-qMY2_1o-r7BWo9giQ1NDZ325q1NEu_-oqB2t3MOuPJdaZ9Bgq_nF_32Zq1h1gpC68MP7392o81Okqpzqzcrh_92s81B2PfBiH72F3s-DPuKa1MhszsBF3jo-ojBke3BHe72fyfODQMV9o3gsZJ2f3jx3qMzc69Cqe7jfZ32Cq1hAZSgsQ3hXyurOgMHaqIgszsBF3jo-ojBke3BHe72dgVP383u36_CgufzEZ325q3-JZSoiHfedgjPR8BxE__uvzVtdgjPR8c-I6_oMZIxayp-3QMgU8VzZu3z61B1OuuKFujYZH9oX3ux6H3oNes-x3V2f337NPMVNgczMZIxEgJrh6cgc_jgZHAVcuchZgBouo1u983ztypo38jBU3SCjQ_B2ysUNrjthHcBHe72E3_UN8u2363BsQ_jpyp-uq1Y2Z9BvucoO_jzCo1O119x6uV1a_32CoJN2Z9o-QjNkysoGQVKp_Mhg3J2ky1o-ojBk_9Pvepea_7zCH7OJyRxvzVuE_92-oJBXHA7ibm-Orfua9fBjUstiHmUDUMVDgaUEUSo7QuY0rfuS9fFp9fFa9fFhUiFiQSuWyMua9fYM9fVjraUE6mFiQSuWyMua9fVjrOYag9Ji6sUFbm-sy9zwq3zpUs2QHsjRbAHdoAeDHpjdoB7DUMNwyfVXgcBjy9zB9fVjraUE6mFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMoFyOYpqcYF9RuXrZUDUSgBrSo2Qfdi6i-fHiUDUMoDP9o7g9-wq3zwPsUi6sUfHs1Fbm-sy9zBgfYa8uYpP3PSg9o79fV7PI-2ySu7gZUE3aUp6_KaUiFiHpjdomUDUsHN6AyibmU7HAndUiFiHpyi997?t=desktop&is_search=1&ob=23&management_type=2&keywords=asus+vivobook&page=1&dv=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Faesmta%2Fnb-asus-vivobook-a409jp-ek501t-tranparent-silver%3Fsrc%3Dtopads&src=search,27-11-2020
Asus vivobook A412FA Intel Pentium gold,5.750.000,Tangerang Selatan, 2,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEopJR6_JOHpHDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstObm-7q3OBUsthosnfoAeN6AHabm-srcHi6sHOHmFiy3zwrfo5rM1i6syF6mdpHpUObm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1OAZ9o-Q1dFyfFN8B29zSBgHMP2_fB-81OAoI2o8MrO_7zoP7N1e_z6zcHF_MB-r7BWPchB3czfyfOZgMHa_SgsQuu2_fB-P7B2PfBiQ_BO3_-uq1Y2Z_o6uVBN_MOcQu2_HAogqj22_Vzz81NIZ9zvzVJp_7HhqjOEZ9Bvucx0_7zu8jNEZ3BHe72fyfODQMV9o3gqzOgR3A-Dq7BkQfBoe7BpZ37N83V9gICiQABRyf7Nqfz9_sCyHMh0Z325q1OAZ9o-Q_BNyuPjrc-D692xzpBR3A-Dq7BkQfBoe7BpZ3NcHu2yZsuyHO-t3sooq1Y2ZSooQ9xfgAod6c-J_Mgo8MD7_MNd6c-JzSoiHfedgjP78B29gAxMzjNc1snhzBzD1MgZu_uUuRBjqcHpuS2-ZV2Fgc7Nq3Ua69-GH_Jdgjx6Hc-y8AxuHVgUuVu3_Ogc6121qO-iZs-c8Mzy_3PjQ3Fays-GPMUarfNy17BpZ3N6qMUpZMhyHj2Nysoj8B2_Z_g-qjjp_BH78JNkypV6zJOE_320P7NE__V-q9P2yp-6PMoWuMgsHBgtyfO6Q7BkQfBoqMr7_c20o1NJe_-ozcoN_M2-HJO2Zsjibm-Orfua9fBjUstiHmUDUMVDgaUEUSo7QuY0rfuS9fFp9fFa9fFhUiFiQSuWyMua9fYM9fVjraUE6mFiQSuWyMua9fVjrOYag9Ji6sUFbm-sy9zwq3zpUs2QHsjRbAHdoAeDHpjdoB7DUMNwyfVXgcBjy9zB9fVjraUE6mFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMoFyOYpqcYF9RuXrZUDUSgBrSo2Qfdi6i-fHiUDUMoDP9o7g9-wq3zwPsUi6sHN6_Kabm-sy9zBgfYa8uYpP3PSg9o79fV7PI-2ySu7gZUE3aUp6_KaUiFiHpjdomUDUsHN6AyibmU7HAndUiFiHpyi997?r=https%3A%2F%2Fwww.tokopedia.com%2Fhayrul17%2Fasus-vivobook-a412fa-intel-pentium-gold%3Fsrc%3Dtopads&src=search&is_search=1&management_type=1&keywords=asus+vivobook&ob=23&page=1&dv=desktop&t=desktop,27-11-2020
"ASUS VIVOBOOK MAX X441MA DUALCORE N4000 4GB 1TB 14"" WIN10 RESMI MURAH",4.799.000,Jakarta Pusat, 64,https://www.tokopedia.com/protechcom/asus-vivobook-max-x441ma-dualcore-n4000-4gb-1tb-14-win10-resmi-murah?whid=0,27-11-2020
"ASUS VIVOBOOK A412FA - PENTIUM 5405U 4GB 256GB SSD WIN10 14"" FHD",6.999.000,Jakarta Pusat, 20,https://www.tokopedia.com/hosanacomp/asus-vivobook-a412fa-pentium-5405u-4gb-256gb-ssd-win10-14-fhd?whid=0,27-11-2020
"LAPTOP ASUS VIVOBOOK 14 K413FA - i3 10110U 8GB SSD 512GB 14"" FHD WIN10",9.699.000,Jakarta Pusat, 18,https://www.tokopedia.com/collinsofficial/laptop-asus-vivobook-14-k413fa-i3-10110u-8gb-ssd-512gb-14-fhd-win10?whid=0,27-11-2020
"LAPTOP ASUS VivoBook Flip TP401MA N4000 4GB 256GB SSD 14"" W10 Touch",7.399.000,Jakarta Pusat, 25,https://www.tokopedia.com/collinsofficial/laptop-asus-vivobook-flip-tp401ma-n4000-4gb-256gb-ssd-14-w10-touch?whid=0,27-11-2020
"Asus Vivobook A412FA - Intel Pentium Gold 5405U 4GB 1TB 14""FHD Win10",6.499.000,Jakarta Barat, 114,https://www.tokopedia.com/djteknologi/asus-vivobook-a412fa-intel-pentium-gold-5405u-4gb-1tb-14-fhd-win10-54012tips-grey?whid=0,27-11-2020
