name,price,location,reviews,link,date
ASUS ZenBook UX333FAC-A501T [90NB0MX3-M01100] - Royal Blue Metal,14.199.000,Jakarta Utara, 1,https://www.tokopedia.com/asus/asus-zenbook-ux333fac-a501t-90nb0mx3-m01100-royal-blue-metal?whid=0,30-11-2020
Asus Zenbook UX325JA BM501T BM502T - i5 1035G1 8GB 512ssd W10 + OFFICE,14.949.000,Jakarta Utara, 5,https://www.tokopedia.com/toptech/asus-zenbook-ux325ja-bm501t-bm502t-i5-1035g1-8gb-512ssd-w10-office-silver?whid=0,30-11-2020
ASUS ZenBook Pro Duo UX581GV-H2036T i7-9750H 32GB 1TB SSD RTX2060 6GB,40.999.000,Jakarta Pusat, 6,https://www.tokopedia.com/globalpersadasys/asus-zenbook-pro-duo-ux581gv-h2036t-i7-9750h-32gb-1tb-ssd-rtx2060-6gb?whid=0,30-11-2020
Asus Zenbook Flip UM462DA AI501T | R5 3500U 8GB 512ssd Vega 8 14FHD,12.499.000,Jakarta Utara, 3,https://www.tokopedia.com/amd-id/asus-zenbook-flip-um462da-ai501t-r5-3500u-8gb-512ssd-vega-8-14fhd?whid=0,30-11-2020
"ASUS ZENBOOK DUO UX481FA-BM036T i5-10210U 8GB 512B SSD 14"" FHD WIN10",18.200.000,Jakarta Pusat, 8,https://www.tokopedia.com/vistar518/asus-zenbook-duo-ux481fa-bm036t-i5-10210u-8gb-512b-ssd-14-fhd-win10?whid=0,30-11-2020
LAPTOP ASUS ZENBOOK UM425IA RYZEN 7-4700U 16GB 512GB 14” W10 NUMPAD,14.999.000,Jakarta Pusat, 2,https://www.tokopedia.com/protechcom/laptop-asus-zenbook-um425ia-ryzen-7-4700u-16gb-512gb-14-w10-numpad?whid=0,30-11-2020
ASUS ZENBOOK UM425IA - RYZEN 7-4700U 16GB 512GB 14” W10 + 0HS NUMPAD,14.999.000,Jakarta Pusat, 1,https://www.tokopedia.com/collinsofficial/asus-zenbook-um425ia-ryzen-7-4700u-16gb-512gb-14-w10-0hs-numpad?whid=0,30-11-2020
Laptop ASUS Zenbook Q407iQ | Ryzen 5 4500 8GB 256SSD MX350 2GB 14FHD,11.399.000,Jakarta Utara, 1,https://www.tokopedia.com/gateway/laptop-asus-zenbook-q407iq-ryzen-5-4500-8gb-256ssd-mx350-2gb-14fhd?whid=0,30-11-2020
ASUS ZenBook Pro Duo UX581GV-H2036T i7-9750H 32GB 1TB SSD RTX2060 6GB,40.999.000,Jakarta Pusat, 4,https://www.tokopedia.com/virtualtech9/asus-zenbook-pro-duo-ux581gv-h2036t-i7-9750h-32gb-1tb-ssd-rtx2060-6gb?whid=0,30-11-2020
LAPTOP ASUS ZENBOOK UM425IA RYZEN 5-4500U 8GB 512GB 14” W10 NUMPAD,12.999.000,Jakarta Pusat, 4,https://www.tokopedia.com/protechcom/laptop-asus-zenbook-um425ia-ryzen-5-4500u-8gb-512gb-14-w10-numpad?whid=0,30-11-2020
Asus Zenbook UX431FN i7 8565 16GB 512ssd MX150 2GB W10 14.0FHD,14.499.000,Jakarta Utara, 3,https://www.tokopedia.com/mimomart/asus-zenbook-ux431fn-i7-8565-16gb-512ssd-mx150-2gb-w10-14-0fhd?whid=0,30-11-2020
Asus Zenbook UX434FL i7 8565 16GB 512GB SSD MX250 2GB W10 14.0FHD,15.899.000,Jakarta Utara, 1,https://www.tokopedia.com/mimomart/asus-zenbook-ux434fl-i7-8565-16gb-512gb-ssd-mx250-2gb-w10-14-0fhd?whid=0,30-11-2020
Asus Zenbook UX434FL i7 8565 16GB 1TBssd MX250 2GB W10 14.0FHD,17.299.000,Jakarta Utara, 6,https://www.tokopedia.com/prostorecomputer/asus-zenbook-ux434fl-i7-8565-16gb-1tbssd-mx250-2gb-w10-14-0fhd?whid=0,30-11-2020
Asus Zenbook UX434FL i7 8565 16GB 1TBssd MX250 2GB W10 14.0FHD,16.899.000,Jakarta Utara, 3,https://www.tokopedia.com/mimomart/asus-zenbook-ux434fl-i7-8565-16gb-1tbssd-mx250-2gb-w10-14-0fhd-1tb-ssd?whid=0,30-11-2020
Asus Zenbook Flip UX461FN i7 8565 16GB 512ssd MX150 2GB W10,14.999.000,Jakarta Utara, 6,https://www.tokopedia.com/royalltech/asus-zenbook-flip-ux461fn-i7-8565-16gb-512ssd-mx150-2gb-w10?whid=0,30-11-2020
"Asus Zenbook Flip UX362FA i5 8265U-8GB-512GB-13.3""FHD-WIN 10 HOME",14.100.000,Jakarta Pusat, 3,https://www.tokopedia.com/vistar518/asus-zenbook-flip-ux362fa-i5-8265u-8gb-512gb-13-3-fhd-win-10-home?whid=0,30-11-2020
