name,price,location,reviews,link,date
Dell Inspiron 3467 ( Intel Core i3-7020 |4GB|1TB|14 HD|WIN 10 ) Resmi - Hitam,6.290.000,Jakarta Barat, 20,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEHp1f6ArFHpeDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUsthbm-7q3OBUsthosnfHp1O6AJpbm-srcHi6seFHmFiy3zwrfo5rM1i6sJa6AjXHpKFomFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoq_zE_7zCo1N1Z92vzJJO_Bz-8jYJz3BHe72kgJxGgMHauMxsQ1N5Z325q1O119uozJ7h_1zSH7NEz_uoqMD7_32zH1B2PfBxHByOgAUN8u2c692gHsBN3Bo-ojBke3BHe72OysUOqB2_Z_g-qjNt_S2zP7OkqpuHuJgD3BPuPJNJZ9xgq_Vt332uo1h9z9P6zVg23jPcqBB9_9x681BpZ37N83V9gICiQAB03BxmgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Aom83Ua1sVgHO-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7N5ysomgMV913Bvq1BRZ3BRq3oyuMhsQMhMgJPcQMoNZ_g-Q9PE3I2oo1YJZsxMzRPNyjrNHfgU8IoouRxfgAod6V1Fujx1uugvujyNzBz0gc-GHB-DyjPRgfV9o92szfhNysU7QBxy8AxuHVgUuVu3_Ogc6121qO-iZs-ZQc-IPfPxupuEy7PD83UaocNy3IKdy_o6QVtp8AxsHO-7Z3BRq3Ha_SgsQugM33NGPMep_Mh-qMY2_32S81hkgpo6zcr7_uzzHJN1Z_zvzVu2_JoG8Bja69BqusBE3BPc8ujagfBvq1BN_7zVP1OE__u68MDO_7zCHJOk39BvuVu2gBJYvZUDUSupg9-wq3ei6iUFUiFiy3hSUstirRzW9fWpg3PwQAowQA-wQAJibm-XP3Oig9-wQfgwy3zpUsthoiFiQSuWyMua9fVjrOYag9Ji6sUFbm-sy9zwq3zpUs2QHsjRbAHdoAeDHpjdHB7DUMNwyfVXgcBjy9zB9fVjraUEH_yDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-srcowrfx5rVYOQSJibm-fg9-pq3YXUstiPsUibm-sQIupPcua9fBj9RyaUst7HA17oZFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDiHpjdHiUDUsHN6AyibmUp6_KNUiFioAnF6mUDUsHfUBOY?dv=desktop&ob=23&page=1&t=desktop&keywords=dell+inspiron&is_search=1&r=https%3A%2F%2Fwww.tokopedia.com%2Fgmtcomputer%2Fdell-inspiron-3467-intel-core-i3-7020-4gb-1tb-14-hd-win-10-resmi-hitam%3Fsrc%3Dtopads&src=search&management_type=2,26-11-2020
DELL Inspiron 13-5391 i5-10210u 8GB 512SSD MX250 W10H,12.145.000,Jakarta Utara, 5,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEosrFHsUNoprDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstabm-7q3OBUsthosnfHp1O6AJpbm-srcHi6seFHmFiy3zwrfo5rM1i6sJao_nXoAKhomFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBouJuO_S2gHJNEe_VvzcPN_92u81Y113BHe72kgJxGgMHauMxsQ1N5Z325q1OAZ9o-Q9zDguxjPMoW1MgsHjNfyfOuq1Y2Z9P-q9P2yM7NPujau3Bvq1BE3uzsHJOJZ_uv1pCd3BP3QJh119Bou7B73uP-H1Y_H3xozVJh33OZqVjazM2ouco2_JoGPMoWQcNxupuM3jP3POKaQcW-qMY2_1o-r7BW69BxufzFyMFNPfoW63Wju7dF3A-Dq7BkQfBoe7BpZ37N83V9gICiQABEy1rNPOKaQcW-qMY2_1o-r7BXzsVq3JtO3AoZqVtp_3Bvq12p__Jd8jY1gRBMZIxp_3OdPMep8AxizJgpysoj6cgc_jgZHAVcuchZgB-uo1x983z03BPdr7BIQIusH7-Fyf7NP1thH_xMzjNc1snhzBzD1Mg_u_uVuRBjqO298Io-zfhOypomrcoW69uGH_JdgjP78B29gAxMZJdFyBo-r7BX_M2iH72D3A-G83UpgI2q17jfZ32-o1OAoIP6uJBR_M2zP7OEe9268BJhZ3BRq3Ha_SgsQugMyp-3qcoW_MY-qMY2_32s81hkgpVoqj1a_M20oJNEgpu6qBB2gBJYvZUDUSupg9-wq3ei6iUFUiFiy3hSUstirRzW9fWpg3PwQAowQA-wQAJibm-XP3Oig9-wQfgwy3zpUsthoiFiQSuWyMua9fVjrOYag9Ji6sUFbm-sy9zwq3zpUs2QHsjRbAHdoAeDHpjdHB7DUMNwyfVXgcBjy9zB9fVjraUEH_yDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-srcowrfx5rVYOQSJibm-fg9-pq3YXUstiPsUibm-sQIupPcua9fBj9RyaUsth6Ar7oZFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDiHpjdHiUDUsHN6AyibmUp6_KNUiFioAnF6mUDUsHfUBOY?ob=23&management_type=1&dv=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Freyhanshop3%2Fdell-inspiron-13-5391-i5-10210u-8gb-512ssd-mx250-w10h%3Fsrc%3Dtopads&keywords=dell+inspiron&t=desktop&src=search&is_search=1&page=1,26-11-2020
DELL Inspiron 5391 i5-10210u 8GB 512SSD MX250 W10H,12.299.000,Jakarta Utara, 1,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEopUpHpJOo_HDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstpbm-7q3OBUsthosnfHp1O6AJpbm-srcHi6sHOHmFiy3zwrfo5rM1i6sJaHAKXHAKdoZFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z9P-q9P2y_-3o3ea69BqzsBE3_UN8u2_Z_g-qjV2_JoGP3Uao32q17jfZ326qJNE19PoqMDO_VzcQV29u9z6zJBd33jhqVBku_uHu7uR_jz3qu2IzM2gu7Od_SB-r7BW69BxufzFyMFNqO2yeMgxuOV2_fB-P7B2PfBiH72F3s-DPuKpeSBiHBUh3_oZgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Ao6QfUpeMgxuOV2_fB-P7B2PfBs3VgDyfNDgMzIzMNs81jfZ3OR8BxE__uvzJtdgjPR83-I6_oMZIxp_uPdPMep8AxuHVgUuVu3_Ogc61g1qfziZs-ZQc-IPfPxupuEy7PD83UaocNy3IKdu_C3ZVzuujY3zsBGucWZyjta1MhizRPSyurO8MoIQIBiHszX3Vxd6cJp_MhqHRKdypoZPJB2PfBsHjNfyfO3gBBXZSgjH7NDZ325q1Ok3_oHqMDO_M2CoJY1qpuo8MrF_uzuq1hAZS2gHsBN3ByN8B29zSBgHMP2_fB-81Nk_9u6qjVN_uz-HJOEZ9xozcrp_OoG6ZUDUSupg9-wq3ei6iUFUiFiy3hSUstirRzW9fWpg3PwQAowQA-wQAJibm-XP3Oig9-wQfgwy3zpUsthoiFiQSuWyMua9fVjrOYag9Ji6sUFbm-sy9zwq3zpUs2QHsjRbAHdoAeDHpjdHB7DUMNwyfVXgcBjy9zB9fVjraUEH_yDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-srcowrfx5rVYOQSJibm-fg9-pq3YXUstiPsUibm-sQIupPcua9fBj9RyaUsth6Ar7oZFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDiHpjdHiUDUsHN6AyibmUp6_KNUiFioAnF6mUDUsHfUBOY?r=https%3A%2F%2Fwww.tokopedia.com%2Findotech21%2Fdell-inspiron-5391-i5-10210u-8gb-512ssd-mx250-w10h%3Fsrc%3Dtopads&page=1&keywords=dell+inspiron&t=desktop&src=search&ob=23&dv=desktop&is_search=1&management_type=1,26-11-2020
DELL Inspiron 13 5370 i7-8550U 8GB 256SSD R530 W10h,11.900.000,Jakarta Utara, 1,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEosrFHsHfH_UDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUst7bm-7q3OBUsthosnfHp1O6AJpbm-srcHi6sUF6ZFiy3zwrfo5rM1i6sJaoAJXHpyRoaFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z9P-q9P2y_-3o3ea69BqzsBE3_UN8u2_Z_g-qjV2_JoGP3Uao32q17jfZ326qJNE19PoqMDO_VzcQV29u9z6zJBd33jhqVBku_uHu7uR_jz3qu2IzM2gu7Od_SB-r7BW69BxufzFyMFNqO2yeMgxuOV2_fB-P7B2PfBiH72F3s-DPuKpeSBiHBUh3_oZgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Ao6QfUpeMgxuOV2_fB-P7B2PfBs3VgDyfNDgMzIzMNs81jfZ3OR8BxE__uvzJtdgjPR83-I6_oMZIxp_uPdPMep8AxuHVgUuVu3_Ogc61g1qfziZs-ZQc-IPfPxupuEy7PD83UaocNy3IKdu_C3ZVzuujY3zsBGucWZyjta1MhizRPSyurO8MoIQIBiHszX3Vxd6cJp_MhqHRKdypoZPJB2PfBsHjNfyfO3gBBXZSgjH7NDZ325q1OkypuHqB1F_7zo8JOkqpCo8j7a_32-H1B2PfBsHjNfyfO3gMHauMxsQ1N5Z325q1OkyRPHqMra_92uHJN1u9P6qjjh_S2Sq3gzv_7ibm-Orfua9fBjUstiHmUDUMVDgaUEUSo7QuY0rfuS9fFp9fFa9fFhUiFiQSuWyMua9fYM9fVjraUEH_yDUMNOQ3-BrBYxgIowrMuhUstaHmFiyfV79fBjraUE3pUNoaFp6Ae7bAHN6A-Pbm-X9foxQMz2gcV7guYxgIHi6sJfbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstiyRCs9RotQRCwP3NhUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUEH_KRoA1DUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUsHN6AUibmUp6_KfUiFiHpjd6ZUDUseFHAKibmUpoi-Pwe?page=1&t=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Freyhanshop3%2Fdell-inspiron-13-5370-i7-8550u-8gb-256ssd-r530-w10h%3Fsrc%3Dtopads&dv=desktop&src=search&is_search=1&keywords=dell+inspiron&management_type=1&ob=23,26-11-2020
PC ALL IN ONE DELL INSPIRON 20 - RAM 4 GB - HDD 500 GB - DVDRW - CAM,2.500.000,Jakarta Pusat, 1,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEosyf6_HRopUDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstObm-7q3OBUsthosnfHp1O6AJpbm-srcHi6seFHmFiy3zwrfo5rM1i6s1fHidao_1aoZFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z9P-q9P2y_-3o3ea69BqzsBE3_UN8u2_Z_g-qjV2_JoGP3Uao32q17jfZ326qJNE19PoqMDO_VzcQV29u9z6zJBd33jhqVBku_uHu7uR_jz3qu2IzM2gu7Od_SB-r7BW69BxufzFyMFNqO2yeMgxuOV2_fB-P7B2PfBiH72F3s-DPuKpeSBiHBUh3_oZgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Ao6QfUpeMgxuOV2_fB-P7B2PfBs3VgDyfNDgMzIzMNs81jfZ3OR8c-I6_oMZIx11Buj_B-uouuyHVgv1sVpQB2IuSoie7-FyMN6PfVyZSgiq3zjgjxduV-ugJNZu_uu3ACD_O-crfNqzOgpyjomrc-X_SPx3J2fyMBjgcgU8I-sHBgXgjxd8MzIHcBHe72E3_UN8u2363BsQ_jpyp-uq1Y2Z9BvuJBO_OzgH7OJ_9Bo8B1p_OzVHJYJ_3BHe72E3_UN8u23692qu7gN3_-Sq1Y2Z9B68MWO_1zoHJYJ1_V6qBVN_OzS8jNAZsjibm-Orfua9fBjUstiHmUDUMVDgaUEUSo7QuY0rfuS9fFhQcYRUiFiQSuWyMua9fYM9fVjraUEH_yDUMNOQ3-BrBYxgIowrMuhUstaHmFiyfV79fBjraUE3pUNoaFa6_KDHpKOoV7DUMNwyfVXgcBjy9zB9fVjraUEH_yDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-srcowrfx5rVYOQSJibm-fg9-pq3YXUstiPsUibm-sQIupPcua9fBj9RyaUstaopepHaFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDiHpjdHiUDUsHN6AyibmUp6_KNUiFioAnF6mUDUsHfUBOY?ob=23&keywords=dell+inspiron&management_type=1&r=https%3A%2F%2Fwww.tokopedia.com%2Fdeparicomputer%2Fpc-all-in-one-dell-inspiron-20-ram-4-gb-hdd-500-gb-dvdrw-cam%3Fsrc%3Dtopads&src=search&is_search=1&page=1&t=desktop&dv=desktop,26-11-2020
Dell Inspiron 7490 [Ci7-10510U-16-512-NVD-W10-SLV] DELL OFFICIAL,19.999.000,Jakarta Pusat, 1,https://www.tokopedia.com/dellid/dell-inspiron-7490-ci7-10510u-16-512-nvd-w10-slv-dell-official?whid=0,26-11-2020
Dell Inspiron 3467 ( Intel Core i3-7020 |4GB|1TB|14 HD|WIN 10 ) Resmi,6.290.000,Jakarta Barat, 20,https://www.tokopedia.com/gmtcomputer/dell-inspiron-3467-intel-core-i3-7020-4gb-1tb-14-hd-win-10-resmi-hitam?whid=0,26-11-2020
Laptop Dell Inspiron 3180-A9 - Grey [A9 9420e-4GB-500GB-W10],4.500.000,Yogyakarta, 2,https://www.tokopedia.com/elscomputer/laptop-dell-inspiron-3180-a9-grey-a9-9420e-4gb-500gb-w10?whid=0,26-11-2020
"DELL Inspiron 3493 (14"" Inch) Intel Core i5-1035G1/4GB/1TB/WIN10HOME",8.450.000,Jakarta Pusat, 3,https://www.tokopedia.com/bestechno88/dell-inspiron-3493-14-inch-intel-core-i5-1035g1-4gb-1tb-win10home?whid=0,26-11-2020
DELL Inspiron 3180 AMD A9-9420/4GB/500GB/AMD R5/WIN10SL,4.250.000,Jakarta Pusat, 4,https://www.tokopedia.com/bestechno88/dell-inspiron-3180-amd-a9-9420-4gb-500gb-amd-r5-win10sl?whid=0,26-11-2020
