name,price,location,reviews,link,date
HP Pavilion Gaming 15-ec1076ax Ryzen 7-4800H GTX 1660Ti Max Q 512GB SS,16.999.000,Jakarta Barat, 2,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEopepHsjFosJDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUsthbm-7q3OBUsthosnfopJNHpnObm-srcHi6seFHmFiy3zwrfo5rM1i6sKaomdNo_nOoiFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBo8_eF_7zuoJOEgpo68MDO_BzgHJOkyfBHe72kgJxGgMHauMxsQ1N5Z325q1NNoA-oqMod_uzSHjNJ19P6qMHp_Ozsq1hAZS-q3cFpysoGqOKp_M2iH72DZ325q1OAZ9o-Q_ufyMO6QJBkQfBoqMx2_M2zH1Y1z9zo8jgk3BHFHVBkqc2HuchD3jzCPVBkZ92vuJ1p_92zH1NJqRP-q9P2ysoGrVtaQIuyHB-Dy7yNrV2AZ_g-qjV2_JoGPMoWQcNxupuMy7xGPB2UuM2jzsBF3jo-ojBke3BHe72fyfODQMV9o3gsHMxfy7yNrV2AZ_g-qjV2_JoG8cz9uSBBusjF3uPj8jBkQfBuHVgUuVu3_Ogc6121qO-iZs-tP7BUeMxjQ3hpyurNP1thH_xMzRPdyjrNHfgU8VzZu3z61B1OuuKFujYZH9oXy1xCgfoIzs-xuRxFysU7QBxy8AxxH7ND3sod6cHp1Sz-q9P2yp-6PMoWuMggQj2fgAo6QJBkQfBoqMDF_c2SH7Y1qpz68Mrp_jz-P7Nke_V-q9P2yp-6PMoWuMgsHBgtyfO6Q7BkQfBoqMHF_c20oJOEu9xvuV1a_OzSH7NEz3BM1_7YUiFiP9oBrBY2gmUEUsnibm-xQcri6i-pPcOwqRoBgOYDH3h5PaUDUMNOQ3-BrBY5gBYxgIHi6syDUMNOQ3-BrBYxgIowrMuhUstaHmFiyfV79fBjraUE3pUNoaFp6AeRbAeFHAxPbm-X9foxQMz2gcV7guYxgIHi6syDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-srcowrfx5rVYOQSJibm-fg9-pq3YXUstiPsUibm-sQIupPcua9fBj9RyaUstp6A1hoZFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDiHpK7om-Pwe?r=https%3A%2F%2Fwww.tokopedia.com%2Fsinarmulia%2Fhp-pavilion-gaming-15-ec1076ax-ryzen-7-4800h-gtx-1660ti-max-q-512gb-ss%3Fsrc%3Dtopads&is_search=1&page=1&ob=23&dv=desktop&src=search&keywords=hp+pavilion&management_type=1&t=desktop,30-11-2020
HP Pavilion Gaming 15 Ryzen 5 3550H 8GB 512SSD GTX1650 4GB Win10+OHS,11.999.999,Medan, 1,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEopyNHsKNo_1DUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstabm-7q3OBUsthosnfopJNHpnObm-srcHi6seOHmFiy3zwrfo5rM1i6sKFomd76_rRbm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1NAoAo6qj1O_1zzH7Nkz_uozVJp_M2-q1hAZM2jZJ2Myp-3qcoW_MY-qMY2_jH7o1OEgRB68j1a_1zzo1OEgRB68ju2_JoGrB2yQAoiH7203Ao6qMUpZMh-qMY2_1o-r7BWo9giQ1NDZ325q1OkqcB6qBJh_OzVPJOEzM2q1pnF332tqjh1QchqzJV7332-8jY1z_oo8BJh_jz0P7B2PfBiH72F3s-DPuKa1MhszsBF3jo-ojBke3BHe72fyfODQMV9o3gsZJ2f3jx3qMzc69Cqe7jfZ32Cq1hAZSgsQ3hXyurOgMHaqIgszsBF3jo-ojBke3BHe72dgVP383u36_CgufzEZ325qu1Fujx1uugvujyNZBz01M-GHMxRZ1xmqczWQIoxupBOZsJh6cgIPRxizpjpgjxduV-ugJNZu_uu3AC3_OUhrfNxZJVSy7PcHMV98ICiHszX3Vxd6cJp_MhqHRKdypoZPJB2PfBsHjNfyfO3gBBXZSgjH7NDZ325q1OkgpuHqjBR_uzgo1NkZ9xoucoN_Ozuq1hAZS2gHsBN3ByN8B29zSBgHMP2_fB-81NkgRuouVjh_7z08JOEe9268BJh_uoG6ZUDUSupg9-wq3ei6iUFUiFiy3hSUstirRzW9fWpg3PwQAVDQRribm-XP3Oig9-wQfgwy3zpUstfbm-XP3Oig9-wy3zp9R-BrZUEHsnDUMoxPVY2gIHi6BDa6_rDHpK7oaF7HAnd9ZFiQBYsy3Njq3zxPcuwy3zpUstfbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstiyRCs9RotQRCwP3NhUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUEHsU7HsJDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUsHdoAei997?is_search=1&dv=desktop&keywords=hp+pavilion&ob=23&t=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Fmajumandiricom-1%2Fhp-pavilion-gaming-15-ryzen-5-3550h-8gb-512ssd-gtx1650-4gb-win10-ohs%3Fsrc%3Dtopads&src=search&page=1&management_type=1,30-11-2020
HP Pavilion Gaming 15-ec1071AX Laptop/Ryzen 7/16GB/NVIDIAGTX1650/512GB,15.649.000,Jakarta Utara, 1,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEopKd6_r7o_KDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstpbm-7q3OBUsthosnfopJNHpnObm-srcHi6s1FHmFiy3zwrfo5rM1i6sKFHZda6AjObm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1ONoAuoqj1h_M2SHjOkypC6uJJO_7zC81B2PfBgHO-N3Ao6QVByZM2xe7jfZ32oP1YAZ9o-Q9zDguxjPMoW1MgsHjNfyfOuq1Y2Z9P-q9P2yM7NPujau3Bvq1BN_7P-HjNJu_uo1pCE_uP6QJh11MBvz7O7_OP3q7OAH3Boqj7O_uzs8jNJu_CvuJV2_JoGPMoWQcNxupuM3jP3POKaQcW-qMY2_1o-r7BW69BxufzFyMFNPfoW63Wju7dF3A-Dq7BkQfBoe7BpZ37N83V9gICiQABEy1rNPOKaQcW-qMY2_1o-r7BXzsVq3JtO3AoZqVtp_3Bvq1211Buj_B-uouuyHchv1jgpQMVUe3Psz7yayuPdrcUaocNy3IKdyjzcrfUpgAxMzjNc1snhzBzD1MgZu_uUuRBjQfoAeSPg3V2FyjPDPM-2gczMZIxayp-3QMgU8I2jzpC2_JoG8Bja69BqusB2yf7NHfHau3Bvq1BN_OzsP1N13_C6zJJh_92-8jY11_zoq1BpZ3N6qMUpZMhyH7ND3uxGqMVAZ_g-qjja_Sj7P7Y13_VouJVN_jzz8jOE1_o617tNUiFiP9oBrBY2gmUEUsnibm-xQcri6i-pPcOwqRoBgOYDH3h5PaUDUMNOQ3-BrBY5gBYxgIHi6syDUMNOQ3-BrBYxgIowrMuhUstaHmFiyfV79fBjraUE3pUNoaFp6AeRbAeFHAxPbm-X9foxQMz2gcV7guYxgIHi6syDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-srcowrfx5rVYOQSJibm-fg9-pq3YXUstiPsUibm-sQIupPcua9fBj9RyaUstaopjNoaFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDiHpK7om-Pwe?management_type=1&is_search=1&page=1&t=desktop&dv=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Fhp%2Fhp-pavilion-gaming-15-ec1071ax-laptop-ryzen-7-16gb-nvidiagtx1650-512gb%3Fsrc%3Dtopads&ob=23&src=search&keywords=hp+pavilion,30-11-2020
HP Pavilion Gaming 15 ec1076AX Ryzen 7-4800H GTX 1660Ti 16GB 512GB SSD - NON BUNDLING,16.855.000,Jakarta Pusat, 3,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEopedH_j7H_rDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUst7bm-7q3OBUsthosnfopJNHpnObm-srcHi6seFHmFiy3zwrfo5rM1i6sKFHmddH_nabm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1OAZ9o-Q1dFyfFN8B29zSBgHMP2_fB-8jhk1_-vzJBR_7zCo1Ok1_z6uV1F_7zsq1hAZS-q3cFpysoGqOKp_M2iH72DZ325q1OAZ9o-Q_ufyMO6QJBkQfBoqMx2_M2zH1Y1z9zo8jgk3BHFHVBkqc2HuchD3jzCPVBkZ92vuJ1p_92zH1NJqRP-q9P2ysoGrVtaQIuyHB-Dy7yNrV2AZ_g-qjV2_JoGPMoWQcNxupuMy7xGPB2UuM2jzsBF3jo-ojBke3BHe72fyfODQMV9o3gsHMxfy7yNrV2AZ_g-qjV2_JoG8cz9uSBBusjF3uPj8jBkQfBuHVgUuVu3_Ogc6121qO-iZs-tP7BUeMxjQ3hpyurNP1thH_xMzRPdyjrNHfgU8VzZu3z61B1OuuKFujYZH9oXy1xCgfoIzs-xuRxFysU7QBxy8AxxH7ND3sod6cHp1Sz-q9P2yp-6PMoWuMggQj2fgAo6QJBkQfBoqMHh_c2SoJN1ypVvzV1F_92sP7OJ_3BHe72E3_UN8u23692qu7gN3_-Sq1Y2Z9B6qBBO_OzoHjNEZ_-6uJOE_Bzu8jBXHA7ibm-Orfua9fBjUstiHmUDUMVDgaUEUSo7QuY0rfuS9fFhQcYRUiFiQSuWyMua9fYM9fVjraUEoiFiQSuWyMua9fVjrOYag9Ji6sUFbm-sy9zwq3zpUs2QHsjRbAHdoArDoAnF6V7DUMNwyfVXgcBjy9zB9fVjraUEoiFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMoFyOYpqcYF9RuXrZUDUSgBrSo2Qfdi6i-fHiUDUMoDP9o7g9-wq3zwPsUi6sHdo_JObm-sy9zBgfYa8uYpP3PSg9o79fV7PI-2ySu7gZUE3aUp6Ae7UBOY?keywords=hp+pavilion&page=1&is_search=1&management_type=1&r=https%3A%2F%2Fwww.tokopedia.com%2Fagusidstoreapple%2Fhp-pavilion-gaming-15-ec1076ax-ryzen-7-4800h-gtx-1660ti-16gb-512gb-ssd-non-bundling%3Fsrc%3Dtopads&src=search&t=desktop&dv=desktop&ob=23,30-11-2020
HP Pavilion Gaming 15 - ec1076ax R7 4800h 16gb 512gb gtx 1660ti 144hz - Non Razer,16.881.000,Jakarta Pusat, 3,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEopedHsnOH_rDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstObm-7q3OBUsthosnfopJNHpnObm-srcHi6seFHmFiy3zwrfo5rM1i6srNHZdfHAUOomFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z_VHqMr7_32oH1OkqpCouJ1p_M2zH7B2PfBxHByOgAUN8u2c692gHsBN3Bo-ojBke3BHe72OysUOqB2_Z_g-qjj7332gHJN1qRxHuJOd3_-uPJNIZ_zg8_nO3BPzP7h9Z9Bo8MWd_S2oHJN11_uoe7BpZ37N83V9gICiQAB03BxmgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Aom83Ua1sVgHO-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7N5ysomgMV913Bvq1BRZ3BRq3oyuMhsQMhMgJPcQMoNZ_g-QJNc1snhzBzD1Mg_u_uVuRBjQfoAeSPg3V2FyjPDPM-2gczMZIxp_uPdPMep8AxuHVgUuVu3_Ogc61g1qfziZs-tP7BUeMxjQ3hpyurNP1thH_xMzRzE3BPj6cgU_sCi17BpZ3N6qMUpZMhyHj2Nysoj8B2_Z_g-qjja_3j7HjY11_-68jud_jzg81Nk1_--q9P2yp-6PMoWuMgsHBgtyfO6Q7BkQfBoqBBE_c2SHjNEu9BvzJ1h_S2oH1NNZsjibm-Orfua9fBjUstiHmUDUMVDgaUEUSo7QuY0rfuS9fFhQcYRUiFiQSuWyMua9fYM9fVjraUEoiFiQSuWyMua9fVjrOYag9Ji6sUFbm-sy9zwq3zpUs2QHsjRbAHdoArDoAnF6V7DUMNwyfVXgcBjy9zB9fVjraUEoiFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMoFyOYpqcYF9RuXrZUDUSgBrSo2Qfdi6i-fHiUDUMoDP9o7g9-wq3zwPsUi6sHdo_JObm-sy9zBgfYa8uYpP3PSg9o79fV7PI-2ySu7gZUE3aUp6Ae7UBOY?is_search=1&dv=desktop&src=search&t=desktop&management_type=1&keywords=hp+pavilion&r=https%3A%2F%2Fwww.tokopedia.com%2Fdistrilapid%2Fhp-pavilion-gaming-15-ec1076ax-r7-4800h-16gb-512gb-gtx-1660ti-144hz-non-razer%3Fsrc%3Dtopads&page=1&ob=23,30-11-2020
HP Pavilion x360 14-dh1033tx i3-10110U 8 GB 512 GB SSD NVME Win10 GOLD,9.799.000,Jakarta Barat, 21,https://www.tokopedia.com/sinarmulia/hp-pavilion-x360-14-dh1033tx-i3-10110u-8-gb-512-gb-ssd-nvme-win10-gold?whid=0,30-11-2020
HP Pavilion 13-an1033TU i3 1005G1|8GB|512GB SSD|13.3FHD TOUCH SCREEN,9.399.000,Jakarta Pusat, 5,https://www.tokopedia.com/akakidanotebook/hp-pavilion-13-an1033tu-i3-1005g1-8gb-512gb-ssd-13-3fhd-touch-screen-silver?whid=0,30-11-2020
HP Pavilion X360 14-dh1055TX i7 10510 8GB 512ssd MX250 2GB Win10+OHS,14.999.000,Jakarta Barat, 3,https://www.tokopedia.com/sinarmulia/hp-pavilion-x360-14-dh1055tx-i7-10510-8gb-512ssd-mx250-2gb-win10-ohs?whid=0,30-11-2020
Laptop HP Pavilion R201TX/Core i5/Ram 4Gb/ Nvidia Geforce,8.500.000,Jakarta Barat, 5,https://www.tokopedia.com/barokaloh/laptop-hp-pavilion-r201tx-core-i5-ram-4gb-nvidia-geforce?whid=0,30-11-2020
HP PAVILION 14S i7 1065G7 12GB 512ssd W10 14.0FHD,10.999.000,Jakarta Utara, 1,https://www.tokopedia.com/janurtech/hp-pavilion-14s-i7-1065g7-12gb-512ssd-w10-14-0fhd?whid=0,30-11-2020
HP Pavilion X360 14-dh1054TX i7 10510 8GB 512ssd MX250 2GB Win10+OHS,14.999.000,Jakarta Barat, 1,https://www.tokopedia.com/sinarmulia/hp-pavilion-x360-14-dh1054tx-i7-10510-8gb-512ssd-mx250-2gb-win10-ohs?whid=0,30-11-2020
