name,price,location,reviews,link,date
Acer swift 3,15.000.000,KOTA JAKARTA TIMUR,1,https://shopee.co.id/Acer-swift-3-i.11665929.1889348383,09-10-2020
"Acer Swift 3 SF314 41 Laptop  AMD Ryzen 5 3500U 4GB RAM 512GB SSD 14"" Win10",7.799.000,KOTA SURABAYA,23,https://shopee.co.id/Acer-Swift-3-SF314-41-Laptop-AMD-Ryzen-5-3500U-4GB-RAM-512GB-SSD-14-Win10-i.229024612.6338701565,09-10-2020
PROMO MURAH ACER SWIFT 3 -R6WL/ATHLON 300U/8GB/SSD 256/WIN 10/RESMI,6.841.000,KOTA SURABAYA,4,https://shopee.co.id/PROMO-MURAH-ACER-SWIFT-3-R6WL-ATHLON-300U-8GB-SSD-256-WIN-10-RESMI-i.55179188.2537272369,09-10-2020
LAPTOP ACER SWIFT 3 SF314-57G-57S9 / Core i5 gen 10 / RAM 4GB / SSD 256 / NVIDIA MX250 2GB,8.642.300,KOTA SURABAYA,5,https://shopee.co.id/LAPTOP-ACER-SWIFT-3-SF314-57G-57S9-Core-i5-gen-10-RAM-4GB-SSD-256-NVIDIA-MX250-2GB-i.62641692.5715653956,09-10-2020
"Acer Swift 3 SF314-51-51W4 [i5-6200, 4GB, 256SSD, W10, SILVER] [UN.GKLSD.004]",6.999.000,KOTA JAKARTA TIMUR,2,https://shopee.co.id/Acer-Swift-3-SF314-51-51W4-i5-6200-4GB-256SSD-W10-SILVER-UN.GKLSD.004--i.37968209.3450734484,09-10-2020
ACER SWIFT 3 i3 7020U 4GB 1TB NVIDIA MX150 2GB WIN10 14 INCH FHD IPS ALL WARNA,7.349.000,KOTA KEDIRI,4,https://shopee.co.id/ACER-SWIFT-3-i3-7020U-4GB-1TB-NVIDIA-MX150-2GB-WIN10-14-INCH-FHD-IPS-ALL-WARNA-i.89723392.1780004757,09-10-2020
ACER SWIFT 3 SF314 - 56G - 53XX -- Core I5-8265U - 4GB - 1TB - VGA NVIDIA MX2502GB - WIN 10 - FINGER,8.913.600,KOTA SURABAYA,2,https://shopee.co.id/ACER-SWIFT-3-SF314-56G-53XX-Core-I5-8265U-4GB-1TB-VGA-NVIDIA-MX2502GB-WIN-10-FINGER-i.62641692.2181689170,09-10-2020
Acer Swift 3 SF314-41 AMD Athlon 300U 8GB 512GB SSD Vega 3 W10,6.699.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/Acer-Swift-3-SF314-41-AMD-Athlon-300U-8GB-512GB-SSD-Vega-3-W10-i.24011016.5418349268,09-10-2020
Acer Swift 10 2in1 Netbook,1.699.000,KOTA JAKARTA PUSAT,2,https://shopee.co.id/Acer-Swift-10-2in1-Netbook-i.212390287.4744552069,09-10-2020
LAPTOP ACER SWIFT SF314 54 I5-8265U NVIDIA MX150,7.000.000,KOTA JAKARTA BARAT,3,https://shopee.co.id/LAPTOP-ACER-SWIFT-SF314-54-I5-8265U-NVIDIA-MX150-i.161292590.5732563556,09-10-2020
LAPTOP ACER SWIFT 3 SF314-54 Intel Core i3-7020U RAM DDR4 4GB HDD1GB FHD WINDOWS 10 ORI,6.400.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/LAPTOP-ACER-SWIFT-3-SF314-54-Intel-Core-i3-7020U-RAM-DDR4-4GB-HDD1GB-FHD-WINDOWS-10-ORI-i.186855095.6751989257,09-10-2020
LAPTOP ACER SWIFT 3 AMD RYZEN 5-3500 RAM 4GB SSD 512GB WIN ORI,7.775.000,KOTA CIREBON,4,https://shopee.co.id/LAPTOP-ACER-SWIFT-3-AMD-RYZEN-5-3500-RAM-4GB-SSD-512GB-WIN-ORI-i.20450141.6210102857,09-10-2020
"Acer Swift 3 SF314-57-39WL [ i3-1005G1 and SSD 256GB|4GB RAM|14"" Full HD ] Backlight Keyboard.",7.048.000,KOTA SURABAYA,2,https://shopee.co.id/Acer-Swift-3-SF314-57-39WL-i3-1005G1-and-SSD-256GB-4GB-RAM-14-Full-HD-Backlight-Keyboard.-i.2916805.4212135388,09-10-2020
Laptop Acer Swift 3 SF314-56G | NX.HARSN.001 BONUS OHS,11.599.000,KOTA TANGERANG SELATAN,1,https://shopee.co.id/Laptop-Acer-Swift-3-SF314-56G-NX.HARSN.001-BONUS-OHS-i.155149633.2650513087,09-10-2020
"ACER SWIFT 3 i7-8550U 8GB 1TB MX150 2GB 14"" FHD IPS ALL COLOUR",10.899.000,KOTA KEDIRI,1,https://shopee.co.id/ACER-SWIFT-3-i7-8550U-8GB-1TB-MX150-2GB-14-FHD-IPS-ALL-COLOUR-i.89723392.1991369043,09-10-2020
