name,price,location,reviews,link,date
ASUS ROG STRIX G15 G512LI-I75TB6T,18.999.000,KOTA JAKARTA PUSAT,0,https://shopee.co.id/ASUS-ROG-STRIX-G15-G512LI-I75TB6T-i.144939634.4645159547,13-10-2020
Asus ROG Zephyrus M15 GU502LU i7 10750 16GB 512ssd GTX1660Ti 6GB W10 15.6FHD,20.799.000,KOTA JAKARTA UTARA,1,https://shopee.co.id/Asus-ROG-Zephyrus-M15-GU502LU-i7-10750-16GB-512ssd-GTX1660Ti-6GB-W10-15.6FHD-i.15641210.7452852106,13-10-2020
Asus ROG Zephyrus G14 GA401iV Ryzen 9 4900 24GB 1TBssd RTX2060 6GB W10 14.0FHD,29.399.000,KOTA JAKARTA UTARA,1,https://shopee.co.id/Asus-ROG-Zephyrus-G14-GA401iV-Ryzen-9-4900-24GB-1TBssd-RTX2060-6GB-W10-14.0FHD-i.15641210.5350171050,13-10-2020
Asus ROG GL552JX Gaming Desain i7 w/ GTX 950 IPS | GL552J Not GL553VD | G531GD | G531GT,10.350.000,KOTA BANDUNG,25,https://shopee.co.id/Asus-ROG-GL552JX-Gaming-Desain-i7-w-GTX-950-IPS-GL552J-Not-GL553VD-G531GD-G531GT-i.25348905.307834290,13-10-2020
ASUS ROG Strix G G531GT-I765B1T i7-9750H GTX 1650 144Hz 15.6 Inch FHD 8GB 512GB,16.351.000,KOTA JAKARTA PUSAT,31,https://shopee.co.id/ASUS-ROG-Strix-G-G531GT-I765B1T-i7-9750H-GTX-1650-144Hz-15.6-Inch-FHD-8GB-512GB-i.148846460.6347631959,13-10-2020
ASUS ROG Zephyrus G14 GA401II-R55TA8G/R55TA8W - AMD Ryzen 5-4600HS 8GB 512GB SSD GTX1650Ti 120Hz,16.899.000,KOTA JAKARTA UTARA,6,https://shopee.co.id/ASUS-ROG-Zephyrus-G14-GA401II-R55TA8G-R55TA8W-AMD-Ryzen-5-4600HS-8GB-512GB-SSD-GTX1650Ti-120Hz-i.78730497.6345128840,13-10-2020
ASUS ROG Strix III G531GT-I765B1T | i7-9750H 8GB 512GB GTX1650 4GB RGB,17.000.000,KOTA JAKARTA UTARA,1,https://shopee.co.id/ASUS-ROG-Strix-III-G531GT-I765B1T-i7-9750H-8GB-512GB-GTX1650-4GB-RGB-i.54873248.5147699638,13-10-2020
ASUS ROG STRIX G15 G512LU-I766B6P,21.999.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/ASUS-ROG-STRIX-G15-G512LU-I766B6P-i.144939634.3645259958,13-10-2020
Asus ROG GL503GE Hero Edition i7 Gaming w/ GDDR5X 1050 Ti,14.950.000,KOTA BANDUNG,11,https://shopee.co.id/Asus-ROG-GL503GE-Hero-Edition-i7-Gaming-w-GDDR5X-1050-Ti-i.25348905.6704053115,13-10-2020
Asus ROG Phone2 (ZS660KL) - ROG PHONE 2 - Global Version - Republic Of Gamers - Original New BNIB,9.000.000,KOTA PEKANBARU,72,https://shopee.co.id/Asus-ROG-Phone2-(ZS660KL)-ROG-PHONE-2-Global-Version-Republic-Of-Gamers-Original-New-BNIB-i.45221846.2670224400,13-10-2020
Asus ROG G512LI-I75TB6T i7 10750H 8GB 512ssd GTX1650Ti 4GB 15.6FHD Slim IPS 144Hz W10 RGB,17.479.000,KOTA JAKARTA UTARA,1,https://shopee.co.id/Asus-ROG-G512LI-I75TB6T-i7-10750H-8GB-512ssd-GTX1650Ti-4GB-15.6FHD-Slim-IPS-144Hz-W10-RGB-i.250649369.4140166475,13-10-2020
Asus ROG STRIX 15 Intel core i7 8750H GTX 1050Ti 8GB SSD 256GB Win10 120Hz,12.990.000,KOTA BANDUNG,1,https://shopee.co.id/Asus-ROG-STRIX-15-Intel-core-i7-8750H-GTX-1050Ti-8GB-SSD-256GB-Win10-120Hz-i.100409425.4138630251,13-10-2020
Asus ROG TERTIPIS Zephyrus S GX531GX corei7gen8 16gb/512gb GTX1060 6g,21.500.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/Asus-ROG-TERTIPIS-Zephyrus-S-GX531GX-corei7gen8-16gb-512gb-GTX1060-6g-i.958750.4615612068,13-10-2020
Asus Rog G512Lu-I766B6T Strix G I7 10750H 8Gb 512Ssd Gtx1660Ti 6Gb 15.6Fhd Slim Ips 144Hz W10,19.675.000,KOTA JAKARTA UTARA,1,https://shopee.co.id/Asus-Rog-G512Lu-I766B6T-Strix-G-I7-10750H-8Gb-512Ssd-Gtx1660Ti-6Gb-15.6Fhd-Slim-Ips-144Hz-W10-i.250649369.3645210253,13-10-2020
ASUS ROG STRIX SCAR 17 G732LV-I7R6B6T,32.999.000,KOTA MEDAN,1,https://shopee.co.id/ASUS-ROG-STRIX-SCAR-17-G732LV-I7R6B6T-i.13315074.3845804609,13-10-2020
"ASUS ROG G531GU-I766G9T I7-9750H/8GB/512GB/GTX1660Ti 6GB/W10/15.6""FHD 120Hz",18.999.000,KOTA SURABAYA,2,https://shopee.co.id/ASUS-ROG-G531GU-I766G9T-I7-9750H-8GB-512GB-GTX1660Ti-6GB-W10-15.6-FHD-120Hz-i.33376824.4631376621,13-10-2020
Asus ROG Strix G531GT-I765G1T Intel Core i7-9750H RAM 8GB SSD 512GB,17.399.000,KOTA SEMARANG,3,https://shopee.co.id/Asus-ROG-Strix-G531GT-I765G1T-Intel-Core-i7-9750H-RAM-8GB-SSD-512GB-i.74080796.6730122730,13-10-2020
ASUS ROG KEKUATAN TURBO murah Bali,3.100.000,KOTA DENPASAR,1,https://shopee.co.id/ASUS-ROG-KEKUATAN-TURBO-murah-Bali-i.211487119.3856649241,13-10-2020
