name,price,location,reviews,link,date
LAPTOP ASUS VIVOBOOK A412FA Intel Pentium GOLD N5405U RAM4GB HDD1TB 14FHD WINDOWS 10 ORI,6.299.000,KOTA JAKARTA PUSAT,50,https://shopee.co.id/LAPTOP-ASUS-VIVOBOOK-A412FA-Intel-Pentium-GOLD-N5405U-RAM4GB-HDD1TB-14FHD-WINDOWS-10-ORI-i.186855095.5700817915,13-10-2020
LAPTOP ASUS VIVOBOOK A412FA Intel Pentium Gold 5405U / 1TB HDD + 256 SSD/  WIN 10,6.375.000,KOTA JAKARTA PUSAT,107,https://shopee.co.id/LAPTOP-ASUS-VIVOBOOK-A412FA-Intel-Pentium-Gold-5405U-1TB-HDD-256-SSD-WIN-10-i.141973518.6913724262,13-10-2020
LAPTOP ASUS VIVOBOOK A409MA INTEL N4020 RAM8GB HDD1TB HD GRAPHIC WINDOWS 10 ORIGINAL,4.649.000,KOTA JAKARTA PUSAT,19,https://shopee.co.id/LAPTOP-ASUS-VIVOBOOK-A409MA-INTEL-N4020-RAM8GB-HDD1TB-HD-GRAPHIC-WINDOWS-10-ORIGINAL-i.186855095.5551171944,13-10-2020
Laptop ASUS VivoBook Core i5-10210 A412FL-EK511T MX250 4GB 1TB 14 Inch FHD A412FL-EK514T,9.279.000,KOTA JAKARTA PUSAT,29,https://shopee.co.id/Laptop-ASUS-VivoBook-Core-i5-10210-A412FL-EK511T-MX250-4GB-1TB-14-Inch-FHD-A412FL-EK514T-i.148846460.5046131584,13-10-2020
LAPTOP ASUS Vivobook A409MA - N4000 RAM 4GB HDD 1TB/256GBSSD 14HD WIN10,4.399.000,KOTA JAKARTA PUSAT,7,https://shopee.co.id/LAPTOP-ASUS-Vivobook-A409MA-N4000-RAM-4GB-HDD-1TB-256GBSSD-14HD-WIN10-i.120447940.5737684650,13-10-2020
Laptop Asus VivoBook K413FQ-EK703T Core i7-10510U MX350 8GB 512GB 14 Inch FHD Black K413FQ-EK701T,12.913.000,KOTA JAKARTA PUSAT,4,https://shopee.co.id/Laptop-Asus-VivoBook-K413FQ-EK703T-Core-i7-10510U-MX350-8GB-512GB-14-Inch-FHD-Black-K413FQ-EK701T-i.148846460.3949010952,13-10-2020
"LAPTOP ASUS VIVOBOOK K413FQ i5-10210U 8GB 512GB MX350 2GB 14"" FHD W10",10.999.000,KOTA JAKARTA PUSAT,5,https://shopee.co.id/LAPTOP-ASUS-VIVOBOOK-K413FQ-i5-10210U-8GB-512GB-MX350-2GB-14-FHD-W10-i.27662413.7145101132,13-10-2020
"LAPTOP ASUS VIVOBOOK K413FQ - i7-10510U - 8GB - 512GB SSD - MX350 2GB - 14""FHD - BACKLIT - WIN10",12.899.000,KOTA JAKARTA BARAT,2,https://shopee.co.id/LAPTOP-ASUS-VIVOBOOK-K413FQ-i7-10510U-8GB-512GB-SSD-MX350-2GB-14-FHD-BACKLIT-WIN10-i.174585297.5848654550,13-10-2020
"LAPTOP ASUS VIVOBOOK K413FA - i3-10110U - 8GB - 512GB SSD - BACKLIT KEYBOARD - 14""FHD - Win10",8.275.000,KOTA JAKARTA BARAT,2,https://shopee.co.id/LAPTOP-ASUS-VIVOBOOK-K413FA-i3-10110U-8GB-512GB-SSD-BACKLIT-KEYBOARD-14-FHD-Win10-i.174585297.3348752403,13-10-2020
"PROMO LAPTOP Asus Vivobook K403FA ganti jadi K413FQ  i5-10210U 8GB 512GB MX350 2GB 14"" FHD W10",10.599.000,KOTA JAKARTA PUSAT,10,https://shopee.co.id/PROMO-LAPTOP-Asus-Vivobook-K403FA-ganti-jadi-K413FQ-i5-10210U-8GB-512GB-MX350-2GB-14-FHD-W10-i.120447940.2632349424,13-10-2020
"LAPTOP ASUS VIVOBOOK A412FL i5-10210U 4GB 1TB MX250 2GB W10 14""FHD",9.099.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/LAPTOP-ASUS-VIVOBOOK-A412FL-i5-10210U-4GB-1TB-MX250-2GB-W10-14-FHD-i.47045592.5355201706,13-10-2020
