name,price,location,reviews,link,date
"Asus ZenBook UM425IA-AM501S/UM502S [R5-4500U/512GB PCie/8GB/UMA/14""FHD/BL KB/NumPad/W10+OHS2019]",11.699.000,KOTA JAKARTA BARAT,40,https://shopee.co.id/Asus-ZenBook-UM425IA-AM501S-UM502S-R5-4500U-512GB-PCie-8GB-UMA-14-FHD-BL-KB-NumPad-W10-OHS2019--i.146339048.5807687230,13-10-2020
Asus Zenbook UX425JA BM501T i5 1035G1 8GB 512ssd W10+OHS 14.0FHD Blit Npad,13.699.000,KOTA JAKARTA UTARA,1,https://shopee.co.id/Asus-Zenbook-UX425JA-BM501T-i5-1035G1-8GB-512ssd-W10-OHS-14.0FHD-Blit-Npad-i.250649369.6351961612,13-10-2020
Asus Zenbook Q407IQ Ryzen 5-4500u 8GB 256GB MX350 2GB Win10 14 FHD,11.699.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/Asus-Zenbook-Q407IQ-Ryzen-5-4500u-8GB-256GB-MX350-2GB-Win10-14-FHD-i.47045592.5148235338,13-10-2020
ASUS Zenbook Ux533fd-A7601t-A7602t i7 8565 16Gb 512ssd Gtx1050 2Gb W10 15.6Fhd,19.799.000,KOTA JAKARTA UTARA,1,https://shopee.co.id/ASUS-Zenbook-Ux533fd-A7601t-A7602t-i7-8565-16Gb-512ssd-Gtx1050-2Gb-W10-15.6Fhd-i.250649369.6545993679,13-10-2020
ASUS ZENBOOK UX325JA BM501T BM502T - i5-1035G1 - 8GB - 512GB - 13.3”FHD - WIN10 - NUMPAD - OFFICE,13.449.000,KOTA JAKARTA BARAT,1,https://shopee.co.id/ASUS-ZENBOOK-UX325JA-BM501T-BM502T-i5-1035G1-8GB-512GB-13.3”FHD-WIN10-NUMPAD-OFFICE-i.30555036.6952593685,13-10-2020
ASUS Zenbook UM425IA AM701S | Ryzen 7 4700U 16GB 512ssd W10 14FHD,13.999.000,KOTA MALANG,2,https://shopee.co.id/ASUS-Zenbook-UM425IA-AM701S-Ryzen-7-4700U-16GB-512ssd-W10-14FHD-i.46726200.6052148681,13-10-2020
ASUS ZENBOOK DUO UX481FL-BM071T i7-10510U 16GB 512GB SSD NVIDIA MX250 2GB 14 INCH FHD,22.999.000,KOTA KEDIRI,2,https://shopee.co.id/ASUS-ZENBOOK-DUO-UX481FL-BM071T-i7-10510U-16GB-512GB-SSD-NVIDIA-MX250-2GB-14-INCH-FHD-i.89723392.4607003681,13-10-2020
Asus Zenbook UX333FAC i7 10510 16GB 512ssd W10 13.3FHD SPAD,16.399.000,KOTA JAKARTA UTARA,1,https://shopee.co.id/Asus-Zenbook-UX333FAC-i7-10510-16GB-512ssd-W10-13.3FHD-SPAD-i.15641210.4755045514,13-10-2020
ASUS ZENBOOK UX434FL-8565U-16GB-1TB SSD-MX250-TOUCH-WIN10 ROYAL BLUE. TouchScreen & ScreenPad,17.675.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/ASUS-ZENBOOK-UX434FL-8565U-16GB-1TB-SSD-MX250-TOUCH-WIN10-ROYAL-BLUE.-TouchScreen-ScreenPad-i.21228167.5952656751,13-10-2020
ASUS ZENBOOK UM425IA - RYZEN 7-4700U 16GB 512GB 14” W10 + 0HS NUMPAD,14.290.000,KOTA JAKARTA BARAT,1,https://shopee.co.id/ASUS-ZENBOOK-UM425IA-RYZEN-7-4700U-16GB-512GB-14”-W10-0HS-NUMPAD-i.25358865.3164028166,13-10-2020
