name,price,location,reviews,link,date
DELL Inspiron 3277,4.999.000,KOTA YOGYAKARTA,0,https://shopee.co.id/DELL-Inspiron-3277-i.284921671.7254465315,01-10-2020
Dell Inspiron 3180 [A9-9420e-4-500-AMD-W10-GRY] DELL OFFICIAL,3.799.000,KOTA JAKARTA PUSAT,362,https://shopee.co.id/Dell-Inspiron-3180-A9-9420e-4-500-AMD-W10-GRY-DELL-OFFICIAL-i.28185347.1284608500,01-10-2020
Dell Inspiron 3493 [Ci5-1035G1-4-1T-UMA-W10] DELL OFFICIAL,8.399.000,KOTA JAKARTA PUSAT,36,https://shopee.co.id/Dell-Inspiron-3493-Ci5-1035G1-4-1T-UMA-W10-DELL-OFFICIAL-i.28185347.3815267463,01-10-2020
DELL INSPIRON 3480 N4205-4GB-500GB-WIN10,3.821.000,KOTA SURABAYA,16,https://shopee.co.id/DELL-INSPIRON-3480-N4205-4GB-500GB-WIN10-i.139787388.5330026666,01-10-2020
DELL Inspiron 5570 Notebook - Silver,15.000.000,KOTA BEKASI,1,https://shopee.co.id/DELL-Inspiron-5570-Notebook-Silver-i.82045049.3554073623,01-10-2020
DELL Inspiron 14 3467 (Core i3-7020) 4 GB HDD 1 TB  w10,5.700.000,KOTA JAKARTA PUSAT,2,https://shopee.co.id/DELL-Inspiron-14-3467-(Core-i3-7020)-4-GB-HDD-1-TB-w10-i.77745422.1399805528,01-10-2020
DELL INSPIRON 3585 RYZEN 5-2500 - 4GB - 1TB - DVDRW - ATI RADEON VEGA - WIN 10 - READY SILVER BLACK,6.869.400,KOTA SURABAYA,4,https://shopee.co.id/DELL-INSPIRON-3585-RYZEN-5-2500-4GB-1TB-DVDRW-ATI-RADEON-VEGA-WIN-10-READY-SILVER-BLACK-i.62641692.4900093868,01-10-2020
Laptop Dell Inspiron 3180-A9 - White [A9 9420e-4GB-500GB-W10],3.500.000,KOTA YOGYAKARTA,2,https://shopee.co.id/Laptop-Dell-Inspiron-3180-A9-White-A9-9420e-4GB-500GB-W10--i.29339583.5328569110,01-10-2020
"DELL Inspiron 15-3585 Silver - Ryzen 5-2500U,12GB,1TB +Ssd 128Gb,Vega 8,15.6"" W10",8.220.000,KOTA JAKARTA PUSAT,4,https://shopee.co.id/DELL-Inspiron-15-3585-Silver-Ryzen-5-2500U-12GB-1TB-Ssd-128Gb-Vega-8-15.6-W10-i.24940114.4021765421,01-10-2020
SALE Dell Inspiron 3476 Core i3-7020|4GB|1TB|VGA 2GB|WIN 10/RESMI,6.929.649,KOTA SURABAYA,2,https://shopee.co.id/SALE-Dell-Inspiron-3476-Core-i3-7020-4GB-1TB-VGA-2GB-WIN-10-RESMI-i.62641692.1959193236,01-10-2020
"DELL Inspiron 5391 i7-10510U 8GB 512GB SSD MX250 13.3"" FHD Win10 Home",13.799.900,KOTA JAKARTA PUSAT,1,https://shopee.co.id/DELL-Inspiron-5391-i7-10510U-8GB-512GB-SSD-MX250-13.3-FHD-Win10-Home-i.85424513.6333230541,01-10-2020
"DELL Inspiron 15-3585 Black - Ryzen 3-2200U 4GB 1TB Vega 3 15.6"" W10",5.555.000,KOTA JAKARTA PUSAT,3,https://shopee.co.id/DELL-Inspiron-15-3585-Black-Ryzen-3-2200U-4GB-1TB-Vega-3-15.6-W10-i.24940114.2678050999,01-10-2020
Dell Inspiron 3180 A9 9420 4GB HDD500 Radeon R5 Win10 Second Like New,2.799.000,KAB. BANDUNG,1,https://shopee.co.id/Dell-Inspiron-3180-A9-9420-4GB-HDD500-Radeon-R5-Win10-Second-Like-New-i.89017378.2616491867,01-10-2020
Laptop Dell Inspiron 3480,9.000.000,KAB. TANGERANG,1,https://shopee.co.id/Laptop-Dell-Inspiron-3480-i.21920873.4447445602,01-10-2020
Laptop Dell Inspiron 3180-A9 - Grey [A9 9420e-4GB-500GB-W10],3.500.000,KOTA YOGYAKARTA,4,https://shopee.co.id/Laptop-Dell-Inspiron-3180-A9-Grey-A9-9420e-4GB-500GB-W10--i.29339583.2487471269,01-10-2020
"Dell Inspiron 14 5490 (Intel Core i5-10210U/8GB RAM/512GB SSD/14""/Win10) Silver",12.767.040,KOTA BANDUNG,1,https://shopee.co.id/Dell-Inspiron-14-5490-(Intel-Core-i5-10210U-8GB-RAM-512GB-SSD-14-Win10)-Silver-i.4443459.4103854853,01-10-2020
DELL Inspiron 3280 All In One - Core i3-8145 - 4GB - 1TB - Intel HD - Windows 10 Home,6.679.000,KOTA JAKARTA BARAT,1,https://shopee.co.id/DELL-Inspiron-3280-All-In-One-Core-i3-8145-4GB-1TB-Intel-HD-Windows-10-Home-i.137489144.6301986669,01-10-2020
Dell Inspiron 3481 [Ci3-7020U-4-1T-UMA-W10] DELL OFFICIAL,5.699.000,KOTA JAKARTA PUSAT,65,https://shopee.co.id/Dell-Inspiron-3481-Ci3-7020U-4-1T-UMA-W10-DELL-OFFICIAL-i.28185347.6622071565,01-10-2020
