name,price,location,reviews,link,date
HP Envy 13-AQ1016TX|i5-10210U|MX250-2GB|8GB|512GB|Win 10 - Gold,14.900.000,KOTA JAKARTA TIMUR,0,https://shopee.co.id/HP-Envy-13-AQ1016TX-i5-10210U-MX250-2GB-8GB-512GB-Win-10-Gold-i.28377910.4002968667,22-10-2020
"HP PROBOOK 655 G1 - AMD A10-5750M/Radeon™ HD 8560G/4GB/500GB/15""/CAMERA/DVD-RW/WIFI/LAN/USB/VGA PORT",3.500.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/HP-PROBOOK-655-G1-AMD-A10-5750M-Radeon™-HD-8560G-4GB-500GB-15-CAMERA-DVD-RW-WIFI-LAN-USB-VGA-PORT-i.262402403.7255274656,22-10-2020
HP 14s-CF2034TX/CF2035TX|i7-10510U|Radeon 530|8GB|512GB SSD|Win 10 + OHS 2019,11.900.000,KOTA JAKARTA TIMUR,0,https://shopee.co.id/HP-14s-CF2034TX-CF2035TX-i7-10510U-Radeon-530-8GB-512GB-SSD-Win-10-OHS-2019-i.28377910.7957359384,22-10-2020
Laptop HP 745 G3 AMD PRO A10 BERKUALITAS BERGARANSI DAN MURAH,3.850.000,KAB. BANDUNG BARAT,0,https://shopee.co.id/Laptop-HP-745-G3-AMD-PRO-A10-BERKUALITAS-BERGARANSI-DAN-MURAH-i.77276577.6558455347,22-10-2020
HP Spectre X360 13-AW0231TU|i7-1065G7|IRIS Plus|16GB|1TB SSD|Win 10 + OHS 2019,25.699.000,KOTA JAKARTA TIMUR,0,https://shopee.co.id/HP-Spectre-X360-13-AW0231TU-i7-1065G7-IRIS-Plus-16GB-1TB-SSD-Win-10-OHS-2019-i.28377910.7557342487,22-10-2020
HP Envy X360 Convertible Ryzen 7 SSD 512GB,8.750.000,KAB. PONOROGO,1,https://shopee.co.id/HP-Envy-X360-Convertible-Ryzen-7-SSD-512GB-i.7875861.5855560999,22-10-2020
HP Envy X360 13-ar0009AU Ryzen 7-3700U RAM 16 SSD 512GB VEGA 10 layar sentuh masih gransi,13.500.000,KOTA BANDUNG,1,https://shopee.co.id/HP-Envy-X360-13-ar0009AU-Ryzen-7-3700U-RAM-16-SSD-512GB-VEGA-10-layar-sentuh-masih-gransi-i.76080495.7157930253,22-10-2020
HP ENVY x360 13-ay0005AU Ryzen 5 4500U Touchscreen ( Free Win 10 Home + OHS 2019 ) NEW !!!,15.500.000,KOTA JAKARTA PUSAT,2,https://shopee.co.id/HP-ENVY-x360-13-ay0005AU-Ryzen-5-4500U-Touchscreen-(-Free-Win-10-Home-OHS-2019-)-NEW-!!!-i.24814536.5344367689,22-10-2020
"HP ENVY x360  - 13-ay0005au Touch Screen Laptop /13.3""/Ryzen 5/8GB/ AMD Radeon Graphics /512GB SSD",15.699.000,KOTA JAKARTA UTARA,5,https://shopee.co.id/HP-ENVY-x360-13-ay0005au-Touch-Screen-Laptop-13.3-Ryzen-5-8GB-AMD-Radeon-Graphics-512GB-SSD-i.12758413.6545341972,22-10-2020
Laptop HP Envy X360 Ryzen 5 2500u 8GB/1TB Radeon Vega 8 Windows10 Touchscreen,8.990.000,KOTA BANDUNG,1,https://shopee.co.id/Laptop-HP-Envy-X360-Ryzen-5-2500u-8GB-1TB-Radeon-Vega-8-Windows10-Touchscreen-i.100409425.3228844224,22-10-2020
Hp Envy Touchscreen 15 Amd FX Beats audio Keyboard nyala Scu4810,4.850.000,KOTA MALANG,1,https://shopee.co.id/Hp-Envy-Touchscreen-15-Amd-FX-Beats-audio-Keyboard-nyala-Scu4810-i.44435356.4520243661,22-10-2020
Laptop HP Envy 2 In 1 x360 13-ay0006AU/ Black/AMD Ryzen™7 4700U/Ram 16Gb/512 SSD - Free OHS 2019+ADP,17.929.300,KOTA SURABAYA,2,https://shopee.co.id/Laptop-HP-Envy-2-In-1-x360-13-ay0006AU-Black-AMD-Ryzen™7-4700U-Ram-16Gb-512-SSD-Free-OHS-2019-ADP-i.186184847.7745344882,22-10-2020
LAPTOP HP ENVY 13 i7 8565 8GB 256SSD W10 13.3FHD,12.199.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/LAPTOP-HP-ENVY-13-i7-8565-8GB-256SSD-W10-13.3FHD-i.270342862.6838002435,22-10-2020
Laptop HP Envy x360 13 ay0005AU Ryzen 5 4500U 8GB 512GB W10+OHS2019,15.599.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/Laptop-HP-Envy-x360-13-ay0005AU-Ryzen-5-4500U-8GB-512GB-W10-OHS2019-i.24940114.3352604703,22-10-2020
