name,price,location,reviews,link,date
Laptop Termurah HP ELITEBOOK/PROBOOK I5 RAM 4/8GB SSD 128GB Berkualitas,3.500.000,KAB. BANDUNG BARAT,52,https://shopee.co.id/Laptop-Termurah-HP-ELITEBOOK-PROBOOK-I5-RAM-4-8GB-SSD-128GB-Berkualitas-i.250685702.5932710237,10-10-2020
HP Pavilion Gaming 15 Ryzen 5 3550 16GB 512ssd GTX1650 4GB W10+OHS Blit BLK 15.6FHD,11.775.000,KOTA JAKARTA UTARA,0,https://shopee.co.id/HP-Pavilion-Gaming-15-Ryzen-5-3550-16GB-512ssd-GTX1650-4GB-W10-OHS-Blit-BLK-15.6FHD-i.250649369.5953592303,10-10-2020
HP Pavilion Gaming 15 Ryzen 5 3550 8GB 512ssd GTX1650 4GB W10+OHS Blit BLK 15.6 FHD,11.174.000,KOTA JAKARTA UTARA,2,https://shopee.co.id/HP-Pavilion-Gaming-15-Ryzen-5-3550-8GB-512ssd-GTX1650-4GB-W10-OHS-Blit-BLK-15.6-FHD-i.250649369.4153568149,10-10-2020
HP Elitebook 13 830  X360 Touch i5 8265 8GB 256ssd W10 13.3FHD,10.999.000,KOTA JAKARTA UTARA,0,https://shopee.co.id/HP-Elitebook-13-830-X360-Touch-i5-8265-8GB-256ssd-W10-13.3FHD-i.15641210.3223107839,10-10-2020
LAPTOP HP PROBOOK 6460b I5gen2 4gb hdd320 FREE TAS,2.485.000,KOTA JAKARTA BARAT,3,https://shopee.co.id/LAPTOP-HP-PROBOOK-6460b-I5gen2-4gb-hdd320-FREE-TAS-i.8130153.7545007662,10-10-2020
HP Pavilion Gaming 15 - AMD Ryzen 5 3550 8GB 512ssd GTX1650 4GB W10+OHS 15.6FHD,10.999.000,KOTA JAKARTA UTARA,13,https://shopee.co.id/HP-Pavilion-Gaming-15-AMD-Ryzen-5-3550-8GB-512ssd-GTX1650-4GB-W10-OHS-15.6FHD-i.78730497.5951924580,10-10-2020
"HP Pavilion x360 dh1001TX 14"" FHD Core i3-10110U 8GB 512GB SSD Nvidia MX250 2GB WIN10 dh1033TX",8.873.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/HP-Pavilion-x360-dh1001TX-14-FHD-Core-i3-10110U-8GB-512GB-SSD-Nvidia-MX250-2GB-WIN10-dh1033TX-i.283257799.4354697400,10-10-2020
HP PAVILION GAMING 15 EC0107AX - RYZEN 5-3550H - 8GB - 512GB SSD - GTX1650 4GB - WIN10 - OFFICE,10.999.000,KOTA JAKARTA BARAT,2,https://shopee.co.id/HP-PAVILION-GAMING-15-EC0107AX-RYZEN-5-3550H-8GB-512GB-SSD-GTX1650-4GB-WIN10-OFFICE-i.30555036.3620731359,10-10-2020
HP Pavilion x360 - 14-dh1052tx (1A252PA) NVIDIA GeForce Graphics,11.803.000,KOTA JAKARTA UTARA,6,https://shopee.co.id/HP-Pavilion-x360-14-dh1052tx-(1A252PA)-NVIDIA-GeForce-Graphics-i.92611640.6323547857,10-10-2020
"HP PAVILION GAMING 15-DK1092TX - i7-10750H - 16GB - 512SSD - GTX1650 4GB - 15.6"" 144Hz- W10 - OFFICE",15.399.000,KOTA JAKARTA BARAT,19,https://shopee.co.id/HP-PAVILION-GAMING-15-DK1092TX-i7-10750H-16GB-512SSD-GTX1650-4GB-15.6-144Hz-W10-OFFICE-i.30555036.6815620827,10-10-2020
HP Pavilion x360 Convertible 14-dh1054TX - Intel® Core™ i7-10510U - 8 GB -512 GB SSD - W10,14.199.000,KOTA JAKARTA UTARA,1,https://shopee.co.id/HP-Pavilion-x360-Convertible-14-dh1054TX-Intel®-Core™-i7-10510U-8-GB-512-GB-SSD-W10-i.12758413.5524633733,10-10-2020
HP PAVILION X360 14-DH0035TX DH0036TX i3-8145U-4GB-1TB-MX130-W10-14FHD,8.415.000,KOTA JAKARTA PUSAT,1,https://shopee.co.id/HP-PAVILION-X360-14-DH0035TX-DH0036TX-i3-8145U-4GB-1TB-MX130-W10-14FHD-i.120453187.2418975752,10-10-2020
Hp Pavilion Gaming 15-Dk1064Tx I5 10300H 8Gb 512Ssd Rtx2060 6Gb Maxq W10+Ohs 15.6Fhd 144Hz,15.799.000,KOTA JAKARTA UTARA,1,https://shopee.co.id/Hp-Pavilion-Gaming-15-Dk1064Tx-I5-10300H-8Gb-512Ssd-Rtx2060-6Gb-Maxq-W10-Ohs-15.6Fhd-144Hz-i.250649369.3644621804,10-10-2020
HP PAVILION GAMING 15 DK1041TX  i7-10750H - 8GB - 1TB+256SSD - GTX1650 4GB - W10 - OFFICE - 144Hz,14.749.000,KOTA JAKARTA BARAT,17,https://shopee.co.id/HP-PAVILION-GAMING-15-DK1041TX-i7-10750H-8GB-1TB-256SSD-GTX1650-4GB-W10-OFFICE-144Hz-i.174585297.4217919230,10-10-2020
"HP Pavilion G6 Core i5-3210M
RAM4GB 
HDD500GB
Double VGA 15.6 inc Second",2.599.000,KOTA BANDUNG,1,https://shopee.co.id/HP-Pavilion-G6-Core-i5-3210M-RAM4GB-HDD500GB-Double-VGA-15.6-inc-Second-i.32664305.4532663555,10-10-2020
Laptop HP Pavilion x360 14 Inch Core i5-10210U 8GB MX130 2GB 512GB SSD dh1052TX dh1053TX Gold Silver,12.007.000,KOTA JAKARTA PUSAT,63,https://shopee.co.id/Laptop-HP-Pavilion-x360-14-Inch-Core-i5-10210U-8GB-MX130-2GB-512GB-SSD-dh1052TX-dh1053TX-Gold-Silver-i.148846460.4123137011,10-10-2020
2in1 Laptop HP Pavilion X360 14-DH1003TX/DH1004TX i5-10210U/8GB/512GB,11.599.000,KOTA SEMARANG,1,https://shopee.co.id/2in1-Laptop-HP-Pavilion-X360-14-DH1003TX-DH1004TX-i5-10210U-8GB-512GB-i.162756018.5413203439,10-10-2020
Laptop HP Pavilion 14 DH1001TX DH1033TX X360 Intel Core i3 10110 8GB 512ssd MX250 2GB W10 OHS 14FHD,9.299.000,KOTA JAKARTA SELATAN,3,https://shopee.co.id/Laptop-HP-Pavilion-14-DH1001TX-DH1033TX-X360-Intel-Core-i3-10110-8GB-512ssd-MX250-2GB-W10-OHS-14FHD-i.30962556.6333105957,10-10-2020
Laptop HP Pavilion X360 Touchscreen core i3,9.050.000,KOTA MALANG,1,https://shopee.co.id/Laptop-HP-Pavilion-X360-Touchscreen-core-i3-i.164898651.4940737597,10-10-2020
"Laptop HP Pavilion 14-ce3072TX Core i7-1065G7 8GB 512GB-SSD Nvidia MX250 14"" Windows10 Resmi",12.845.000,KOTA MALANG,1,https://shopee.co.id/Laptop-HP-Pavilion-14-ce3072TX-Core-i7-1065G7-8GB-512GB-SSD-Nvidia-MX250-14-Windows10-Resmi-i.2315422.6841125913,10-10-2020
