name,price,location,reviews,link,date
Laptop LENOVO  Legion 5i | i7 10750 16GB 512ssd GTX1660Ti 6GB W10 15.6FHD |,17.999.000,KOTA JAKARTA UTARA,0,https://shopee.co.id/Laptop-LENOVO-Legion-5i-i7-10750-16GB-512ssd-GTX1660Ti-6GB-W10-15.6FHD--i.217781231.5345851710,28-10-2020
"Laptop Gaming LENOVO LEGION 5i-CLID (i7 10750H 16GB 256GB SSD 15.6"" FHD 144Hz RTX 2060 Win10 OHS)",23.999.000,KOTA TANGERANG SELATAN,0,https://shopee.co.id/Laptop-Gaming-LENOVO-LEGION-5i-CLID-(i7-10750H-16GB-256GB-SSD-15.6-FHD-144Hz-RTX-2060-Win10-OHS)-i.91649692.7155657068,28-10-2020
"Laptop Gaming LENOVO LEGION  7 -6CID CI7-10875H/2X8GB/1TB/RTX2060 6GB/15,6/WIN10+OPI/SLATE GREY",29.999.000,KOTA TANGERANG SELATAN,0,https://shopee.co.id/Laptop-Gaming-LENOVO-LEGION-7-6CID-CI7-10875H-2X8GB-1TB-RTX2060-6GB-15-6-WIN10-OPI-SLATE-GREY-i.91649692.4555692516,28-10-2020
Pavilion Gaming 15 dk1041TX GTX1650 Core i7-10750 8GB 1TB+256SSD W10,14.499.000,KOTA JAKARTA UTARA,0,https://shopee.co.id/Pavilion-Gaming-15-dk1041TX-GTX1650-Core-i7-10750-8GB-1TB-256SSD-W10-i.322135047.6857654950,28-10-2020
"Laptop Gaming LENOVO LEGION  5P -63ID CI7-10875H/2X16GB/1TB/RTX2060 6GB/15,6/WIN10+OPI/IRON GREY",27.999.000,KOTA TANGERANG SELATAN,0,https://shopee.co.id/Laptop-Gaming-LENOVO-LEGION-5P-63ID-CI7-10875H-2X16GB-1TB-RTX2060-6GB-15-6-WIN10-OPI-IRON-GREY-i.91649692.7755663995,28-10-2020
Lenovo Legion 5-2XID - AMD Ryzen 7-4800H 16GB 512ssd GTX1650Ti 4GB W10+OHS 15.6FHD 144Hz FREE OFFICE,18.399.000,KOTA JAKARTA UTARA,18,https://shopee.co.id/Lenovo-Legion-5-2XID-AMD-Ryzen-7-4800H-16GB-512ssd-GTX1650Ti-4GB-W10-OHS-15.6FHD-144Hz-FREE-OFFICE-i.78730497.3338614370,28-10-2020
LENOVO LEGION 5 2WID Ryzen 5 16GB 512SSD GTX 1650Ti 4GB FHD WIN10 OHS,15.750.000,KOTA MALANG,7,https://shopee.co.id/LENOVO-LEGION-5-2WID-Ryzen-5-16GB-512SSD-GTX-1650Ti-4GB-FHD-WIN10-OHS-i.164898651.4439957528,28-10-2020
"Laptop Gaming LENOVO LEGION 5i-4RID (i7 10750H 16GB 512GB SSD 15.6"" FHD 144Hz GTX 1660 Ti Win10 OHS)",21.999.000,KOTA TANGERANG SELATAN,1,https://shopee.co.id/Laptop-Gaming-LENOVO-LEGION-5i-4RID-(i7-10750H-16GB-512GB-SSD-15.6-FHD-144Hz-GTX-1660-Ti-Win10-OHS)-i.91649692.4055667544,28-10-2020
Lenovo Legion Y740 15iRH i7 9750 16GB 1TBSSD RTX2060 6GB W10 15.6FHD,21.499.000,KOTA JAKARTA UTARA,2,https://shopee.co.id/Lenovo-Legion-Y740-15iRH-i7-9750-16GB-1TBSSD-RTX2060-6GB-W10-15.6FHD-i.15641210.6125461173,28-10-2020
Lenovo Y740 Legion Gaming Laptop i7 Gen 9 w/ RTX 2060,26.999.000,KOTA BANDUNG,2,https://shopee.co.id/Lenovo-Y740-Legion-Gaming-Laptop-i7-Gen-9-w-RTX-2060-i.25348905.6020063516,28-10-2020
Lenovo Legion 7i Intel 6CID i7 10875H 16GB RTX2060 6GB NVIDIA 1TB SSD 15 FHD WVA 144Hz Win10 OHS RGB,29.999.000,KOTA JAKARTA PUSAT,3,https://shopee.co.id/Lenovo-Legion-7i-Intel-6CID-i7-10875H-16GB-RTX2060-6GB-NVIDIA-1TB-SSD-15-FHD-WVA-144Hz-Win10-OHS-RGB-i.26026296.3350561568,28-10-2020
"Lenovo Legion 5 AMD 2XID Ryzen 7 4800H 16GB GTX1650Ti 4G NVIDIA 512 SSD 15"" FHD WVA 144Hz Win10 OHS",18.499.000,KOTA JAKARTA PUSAT,11,https://shopee.co.id/Lenovo-Legion-5-AMD-2XID-Ryzen-7-4800H-16GB-GTX1650Ti-4G-NVIDIA-512-SSD-15-FHD-WVA-144Hz-Win10-OHS-i.26026296.5738324840,28-10-2020
"LENOVO LEGION 5 2WID - Ryzen 5-4600H - 16GB - 512SSD - GTX1650Ti 4GB - 15.6""FHD 120Hz - W10 - Office",16.499.000,KOTA JAKARTA BARAT,7,https://shopee.co.id/LENOVO-LEGION-5-2WID-Ryzen-5-4600H-16GB-512SSD-GTX1650Ti-4GB-15.6-FHD-120Hz-W10-Office-i.30555036.3248249928,28-10-2020
Lenovo Legion 5i 15IMH i7 10750 16GB 512ssd GTX1660Ti 6GB W10 15.6FHD RGB 120HZ,17.999.000,KOTA JAKARTA UTARA,6,https://shopee.co.id/Lenovo-Legion-5i-15IMH-i7-10750-16GB-512ssd-GTX1660Ti-6GB-W10-15.6FHD-RGB-120HZ-i.15641210.3745432698,28-10-2020
