name,price,location,reviews,link,date
LENOVO YOGA S1 i5 4210U 8GB RAM 256GB SSD IPS FHD TOUCH,4.300.000,KOTA JAKARTA SELATAN,11,https://shopee.co.id/LENOVO-YOGA-S1-i5-4210U-8GB-RAM-256GB-SSD-IPS-FHD-TOUCH-i.20542553.3640880264,01-10-2020
"Lenovo Yoga Slim 7i OHS (i7 1065G7 Win10 16GB 1TB SSD 14"" FHD WVA NVIDIA MX350 2GB 34ID 35ID 36ID)",18.249.000,KOTA JAKARTA PUSAT,9,https://shopee.co.id/Lenovo-Yoga-Slim-7i-OHS-(i7-1065G7-Win10-16GB-1TB-SSD-14-FHD-WVA-NVIDIA-MX350-2GB-34ID-35ID-36ID)-i.26026296.7236757869,01-10-2020
Ultrabook Lenovo YOGA Core i5 kabylake x360 Touchscreen Scu5023,6.000.000,KOTA MALANG,1,https://shopee.co.id/Ultrabook-Lenovo-YOGA-Core-i5-kabylake-x360-Touchscreen-Scu5023-i.44435356.5433998671,01-10-2020
Lenovo Yoga 520-L8ID I5-8250 RAM 8GB HDD 1TB NVIDIA MX130 WIN 10 Touchscreen,10.923.619,KOTA SURABAYA,3,https://shopee.co.id/Lenovo-Yoga-520-L8ID-I5-8250-RAM-8GB-HDD-1TB-NVIDIA-MX130-WIN-10-Touchscreen-i.62641692.2055477688,01-10-2020
LENOVO Yoga C640 13IML + OHS i5-10210U 8GB 512GB SSD Win10 Home 2KID,12.949.900,KOTA JAKARTA PUSAT,5,https://shopee.co.id/LENOVO-Yoga-C640-13IML-OHS-i5-10210U-8GB-512GB-SSD-Win10-Home-2KID-i.85424513.5616174859,01-10-2020
Lenovo yoga 330 mulus normal,3.400.000,KAB. SLEMAN,1,https://shopee.co.id/Lenovo-yoga-330-mulus-normal-i.55379913.3229403517,01-10-2020
LENOVO YOGA BOOK C930-7Y54-4GB-256GB-WIN10 IRON GREY dual display,13.635.000,KOTA JAKARTA PUSAT,10,https://shopee.co.id/LENOVO-YOGA-BOOK-C930-7Y54-4GB-256GB-WIN10-IRON-GREY-dual-display-i.21228167.942107395,01-10-2020
Lenovo Yoga Slim 7-14IIL05 i5-1035G1/8GB/512GB SSD/MX350 2GB W10 OHS 2019,13.999.000,KOTA JAKARTA PUSAT,6,https://shopee.co.id/Lenovo-Yoga-Slim-7-14IIL05-i5-1035G1-8GB-512GB-SSD-MX350-2GB-W10-OHS-2019-i.24011016.5035731912,01-10-2020
"Lenovo Yoga Slim 7i OHS (i7 1065G7 Win10 16GB 1TB SSD 14"" FHD WVA NVIDIA MX350 2GB 34ID 35ID 36ID) 5",18.249.000,KOTA SURABAYA,2,https://shopee.co.id/Lenovo-Yoga-Slim-7i-OHS-(i7-1065G7-Win10-16GB-1TB-SSD-14-FHD-WVA-NVIDIA-MX350-2GB-34ID-35ID-36ID)-5-i.252699817.6536184817,01-10-2020
Lenovo Yoga C640 i7 - 10510U - 512GB SSD - 16GB - Win 10 -pre-installed MS. OHS 2019,15.699.000,KOTA JAKARTA BARAT,4,https://shopee.co.id/Lenovo-Yoga-C640-i7-10510U-512GB-SSD-16GB-Win-10-pre-installed-MS.-OHS-2019-i.30121154.3512358812,01-10-2020
