name,price,location,reviews,link,date
ACER Predator Nitro 7 AN715-51-701Y- i7 9750H 8GB 512SSD GTX1650 4GB - RAM 16GB,14.499.000,Jakarta Utara, 3,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEos1Oo_JRH_yDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUsthbm-7q3OBUsthosnh6_17HAUhbm-srcHi6sHOHmFiy3zwrfo5rM1i6sJpo_1Xop1dbm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1O_oI2vucra_1zV8jY1gp-ozJuE_OzSH1B2PfBgHO-N3Ao6QVByZM2xe7jfZ32VH7hkZ9xvzV1F_92CHJNk__V68BBd_SB-r7BWPchB3czfyfOZgMHa_SgsQuu2_fB-P7B2PfBiQ_BO3_-uq1Y2ZMWqqBjh332CHOBNH3xozcWR_VzZqu2k_9zgqBuR_uHFo1OJ1MOqQ1jO392uo1Y1yfBHe72fyfODQMV9o3gqzOgR3A-Dq7BkQfBoe7BpZ37N83V9gICiQABRyf7Nqfz9_sCyHMh0Z325q1OAZ9o-Q_BNyuPjrc-D692xzpBR3A-Dq7BkQfBoe7BpZ3NcHu2yZsuyHO-t3sooq1Y2ZSooQ9xfgAod6c-JzSoiHfedgjPR8BxE19PozcKdgjg6zBUFH1g1QV-M1B1OZVPNgcxgHBgNZ1rOrczUZSgGH_JdgjP78B29gAxMzjNc1snhzBzD1Mg_u_uVuRBjqVjauSB-zpuFgJxGPjthH_xMZJdFyBo-r7BX_M2iH72D3A-G83UpgI2q17jfZ32-oJNAoACvucPd_1zs81OEz_VvzVVd_9B-r7BX_M2iH72D3Ao6QVByZM2xe7jfZ32-o1OAoA-vzV1a_7zoHjOkqRx68j7F_SBG6ZUDUSupg9-wq3ei6iUFUiFiy3hSUstirRzW9fWpg3PwQAowQA-wQAJibm-XP3Oig9-wQfgwy3zpUstabm-XP3Oig9-wy3zp9R-BrZUEHsnDUMoxPVY2gIHi6BDa6_rDHpK7oaF7HAnd9ZFiQBYsy3Njq3zxPcuwy3zpUstabm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstigcuMUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUEHsU7HsJDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUseFHAKibmUp6_KaUiFiHpjdoiUDUsHNo_KibmU7HAnNUBOY?src=search&management_type=1&t=desktop&page=1&dv=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Fgateway%2Facer-predator-nitro-7-an715-51-701y-i7-9750h-8gb-512ssd-gtx1650-4gb-ram-16gb%3Fsrc%3Dtopads&is_search=1&keywords=acer+nitro&ob=23,06-10-2020
ACER Nitro 5 AN515-54-76RU i7 9750H 8GB 512ssd GTX1650 4GB W10 15.6FHD,13.799.000,Jakarta Utara, 8,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEo_eFoA1RosUDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstabm-7q3OBUsthosnh6_17HAUhbm-srcHi6seFHmFiy3zwrfo5rM1i6sJa6_HX6_KpHaFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfB61pe7_7z-8jN1Z_u6zJud_S2gHJNNZ9o-Q1dFyfFN8B29zSBgHMP2_fB-HJhk_9x6qB1F_M2sHjOku_zvucWN_7o-r7BWPchB3czfyfOZgMHa_SgsQuu2_fB-P7B2PfBiQ_BO3_-uq1Y2ZMWqqBjh332CHOBNH3xozcWR_VzZqu2k_9zgqBuR_uHFo1OJ1MOqQ1jO392uo1Y1yfBHe72fyfODQMV9o3gqzOgR3A-Dq7BkQfBoe7BpZ37N83V9gICiQABRyf7Nqfz9_sCyHMh0Z325q1OAZ9o-Q_BNyuPjrc-D692xzpBR3A-Dq7BkQfBoe7BpZ3NcHu2yZsuyHO-t3sooq1Y2ZSooQ9xfgAod6c-JzSoiHfedgjPR8BxE19PozcKdgjg6zBUFH1g1QV-M1B1OZVPNgcxgHBgNZ1rOrczUZSgGH_JdgjP78B29gAxMzjNc1snhzBzD1Mg_u_uVuRBjqVjauSB-zpuFgJxGPjthH_xMZJdFyBo-r7BX_M2iH72D3A-G83UpgI2q17jfZ32-H7OAoAV6zcrF_32go1NEe_CozJj7_9B-r7BX_M2iH72D3Ao6QVByZM2xe7jfZ32-H7NNoAC6zJJa_M20HjNkZ_z68jONZ3dFvZUDUSupg9-wq3ei6iUFUiFiy3hSUstirRzW9fWpg3PwQAowQA-wQAJibm-XP3Oig9-wQfgwy3zpUstabm-XP3Oig9-wy3zp9R-BrZUEHsnDUMoxPVY2gIHi6BDa6_rDHpK7oaF7HAnd9ZFiQBYsy3Njq3zxPcuwy3zpUstabm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstigcuMUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUEHsU7HsJDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUseFHAKibmUp6_KaUiFiHpjdoiUDUsHNo_KibmU7HAnNUBOY?dv=desktop&keywords=acer+nitro&page=1&t=desktop&is_search=1&management_type=1&ob=23&r=https%3A%2F%2Fwww.tokopedia.com%2Flaptopgaming%2Facer-nitro-5-an515-54-76ru-i7-9750h-8gb-512ssd-gtx1650-4gb-w10-15-6fhd%3Fsrc%3Dtopads&src=search,06-10-2020
Acer Nitro 5 AN515-54-76RU i7 9750H 8GB 512ssd GTX1650 4GB W10 120Hz,13.449.000,Jakarta Utara, 20,https://www.tokopedia.com/royalltech/acer-nitro-5-an515-54-76ru-i7-9750h-8gb-512ssd-gtx1650-4gb-w10-120hz?whid=0,06-10-2020
ACER Nitro 5 AN515-54-76RU i7 9750H 8GB 512ssd GTX1650 4GB W10 15.6FHD,13.449.000,Jakarta Utara, 49,https://www.tokopedia.com/prostorecomputer/acer-nitro-5-an515-54-76ru-i7-9750h-8gb-512ssd-gtx1650-4gb-w10-15-6fhd-8-gb?whid=0,06-10-2020
Acer Predator Nitro 5 AN515-55 i5-10300H GTX1650 8GB 512 NVMe 144Hz,12.499.000,Jakarta Pusat, 17,https://www.tokopedia.com/acerid/acer-predator-nitro-5-an515-55-i5-10300h-gtx1650-8gb-512-nvme-144hz-hitam-8-gb?whid=0,06-10-2020
Acer Predator Nitro 5 AN515-54 - i5-9300H GTX1650 1TB HDD 8GB Win10,10.999.000,Jakarta Pusat, 6,https://www.tokopedia.com/acerid/acer-predator-nitro-5-an515-54-i5-9300h-gtx1650-1tb-hdd-8gb-win10?whid=0,06-10-2020
Acer Predator AN515-43 Nitro 5 Ryzen 7-3750H/RX 560X 4GB/8GB/1TB+512,13.000.000,Jakarta Pusat, 8,https://www.tokopedia.com/acerid/acer-predator-an515-43-nitro-5-ryzen-7-3750h-rx-560x-4gb-8gb-1tb-512?whid=0,06-10-2020
Acer Predator Nitro 5 77YU - i7 9750H 8GB 256GB GTX1650 4GB 144Hz,13.449.000,Jakarta Utara, 8,https://www.tokopedia.com/toptech/acer-predator-nitro-5-77yu-i7-9750h-8gb-256gb-gtx1650-4gb-144hz-hitam?whid=0,06-10-2020
Acer Predator Nitro 5 AN515-43 Ryzen 5 3550H RX560X 512GB NVME 8GB,9.899.000,Jakarta Pusat, 4,https://www.tokopedia.com/acerid/acer-predator-nitro-5-an515-43-ryzen-5-3550h-rx560x-512gb-nvme-8gb?whid=0,06-10-2020
Acer Nitro 7 AN715 i7 9750 8GB 512GB-SSD GTX1650-4GB W10 15.6-FHD,13.999.000,Jakarta Utara, 2,https://www.tokopedia.com/envicstore/acer-nitro-7-an715-i7-9750-8gb-512gb-ssd-gtx1650-4gb-w10-15-6-fhd?whid=0,06-10-2020
