name,price,location,reviews,link,date
ASUS TUF A15 FX506II-R55TB6T Ryzen 5 4600H GTX 1650Ti RAM 8GB 512GB - Portgress Gray,13.413.000,Jakarta Pusat, 10,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEosnNHpnRo_HDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUsthbm-7q3OBUsthosnhosjd6A1Rbm-srcHi6srFHmFiy3zwrfo5rM1i6sJ7o_rXH_yaoZFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z_oHqBjO_32oP7NE3_uoqjOR_S2go1Oku3BHe72a3BxDHfUpZMWyH7NkysoGQJBkQfBoe7BpZ37OPM-W_Mh-qMY23BPgH1NkqcxvzJV73uzs8jONHAC6QujO_Vz0oJOJ39zgqjNW_S2jQ1NI19BvuJN0Z3BRq3UpZSCqHMhO3A-ZQcoc69Cqe7jfZ32Cq1hAZSgsQ3hXyurOgMoUZSgqZVgkgJyNrV2AZ_g-qjV2_JoGPMoWQcNxupuMyp-tPMoc69Cqe7jfZ32Cq1hAZSxjuOgNguyNHVB9gI2-qMY2yjzcrfUpgAxMzRPN3I2ooJNJgAxMzjNc1snhzBzD1MgZu_uUuRBjqcHpuS2-ZVUh3MBjgcgU8VzZu3z61B1OuuKFQJYZzSoX3ux6H3oNesCjuOBX3Vxd6cJp_MhqHRKdypoZPJB2PfBsHjNfyfO3gBBXZSgjH7NDZ325q1Okgp-HqjVd_S2sP7YJyRxozVBd_32oq1hAZS2gHsBN3ByN8B29zSBgHMP2_fB-81Y1z9u6zJON_BzVP7OEu9BvuVj7_BoG6ZUDUSupg9-wq3ei6iUFUiFiy3hSUstirRzW9fWpg3PwQA-wQAJibm-XP3Oig9-wQfgwy3zpUstNbm-XP3Oig9-wy3zp9R-BrZUEHsnDUMoxPVY2gIHi6BDa6_rDHpK7oaF7HAnd9ZFiQBYsy3Njq3zxPcuwy3zpUstNbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstiyRCs9RotQRCwP3NhUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUEHsKposUDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUsHdoAri997?r=https%3A%2F%2Fwww.tokopedia.com%2Fdealerapple%2Fasus-tuf-a15-fx506ii-r55tb6t-ryzen-5-4600h-gtx-1650ti-ram-8gb-512gb-portgress-gray%3Fsrc%3Dtopads&src=search&t=desktop&keywords=asus+tuf&ob=23&management_type=1&dv=desktop&page=1&is_search=1,03-10-2020
ASUS TUF Gaming A15 FX506II R7-4800H 8GB 512GB GTX1650TI IPS 144Hz W10,15.349.000,Jakarta Pusat, 3,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEo_1doAUdo_rDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstabm-7q3OBUsthosnhosjd6A1Rbm-srcHi6seFHmFiy3zwrfo5rM1i6sJ7HAJXHAj7bm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1O2oA-oucH7_1zVP7NJyRxoqjJF_uzSH7B2PfBgHO-N3Ao6QVByZM2xe7jfZ32SP1OJgRPvzJJ7_1zSP7YJe_zozcPdZ3BRq3JausujHsBN3jyN8Bja69Bq17jfZ32Cq1hAZSuiHsuk3Bo-ojBWuMO6uVj73uzSP7h9z_oo8jO7_jzqQ1Y_HAuvzJJa_VP-8B2kypoqqB-0_3208B2AZ9o-Q_BNyuPjrc-D63Wq3J-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7-Nys-ZHujp1MgxuOV2_fB-P7B2PfBiH72F3s-DPuKp_MYiH7-MyuPzq1Y2Z9P-q9P2yOx3QcoXQcgjz7gXyRB-ojBWPRxizpjpgjxdr7OD6I2vzVJpgjxduV-ugJNZu_uu3AC3_OUhrfNg3JdhyRBmHcz933Ny3IKdu_C3ZVzuujY3zsBGucWZyjtazS2j3JOSgJx3Q1thH_xMzRzE3BPj6cgU_sCi17BpZ3N6qMUpZMhyHj2Nysoj8B2_Z_g-qjj7_Sj7HJNJqpooqMPd_jzSHJOEgpo-q9P2yp-6PMoWuMgsHBgtyfO6Q7BkQfBoqMPR_c2-8JYJgRP6zJVN_32-P7Y1_3BM1_7YUiFiP9oBrBY2gmUEUsnibm-xQcri6i-pPcOwqRoBgOYDHBYDHZUDUMNOQ3-BrBY5gBYxgIHi6sjDUMNOQ3-BrBYxgIowrMuhUstaHmFiyfV79fBjraUE3pUNoaFp6AeRbAeFHAxPbm-X9foxQMz2gcV7guYxgIHi6sjDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-srcowrfx5rVYOQSJibm-fg9-pq3YXUstiPsUibm-sQIupPcua9fBj9RyaUst7opJhoiFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDiHpK7oa-Pwe?r=https%3A%2F%2Fwww.tokopedia.com%2Fvistar518%2Fasus-tuf-gaming-a15-fx506ii-r7-4800h-8gb-512gb-gtx1650ti-ips-144hz-w10%3Fsrc%3Dtopads&src=search&keywords=asus+tuf&t=desktop&management_type=1&dv=desktop&is_search=1&ob=23&page=1,03-10-2020
ASUS TUF A15 i7-10750H GTX 1650 FX506LH-I765B6T FHD 144Hz 8GB 512GB,15.592.000,Jakarta Pusat, 9,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEos1FHsr7osnDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstpbm-7q3OBUsthosnhosjd6A1Rbm-srcHi6srFHmFiy3zwrfo5rM1i6sJpopjXHpyNoiFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z9P-q9P2y_-3o3ea69BqzsBE3_UN8u2_Z_g-qjV2_JoGP3Uao32q17jfZ3O3Q1N13_zgucPR_VPVH7OE_9z6zV2W_OHFo1YJe_-Hu7BE3M2sHO2k1MWoqMWE3jo-r7BW69BxufzFyMFNqO2yeMgxuOV2_fB-P7B2PfBiH72F3s-DPuKpeSBiHBUh3_oZgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Ao6QfUpeMgxuOV2_fB-P7B2PfBs3VgDyfNDgMzIzMNs81jfZ3OR8c-I6_oMZIxp_3Fd8jYJ1_oMZIx11Buj_B-uouuyHVgv1sVpQBBy_sVs81UFgVPgQBxy8AxuHVgUuVu3_Ogc6121qO-iZs-c8Mzy_3PjZVgWZsJh6cgIPI2qufedgjx6Hc-_Z9o-QjNkysoGQVKaZSBiHfzE3Bo-ojBkZ_zvepep_1z0H1YJ__-vzVud_Ozzq1hAZS2gHsBN3ByN8B29zSBgHMP2_fB-81NEu9uvzcoE_Ozoo1N1e_zoqjjF_uoG6ZUDUSupg9-wq3ei6iUFUiFiy3hSUstirRzW9fWpg3PwQA-wQAJibm-XP3Oig9-wQfgwy3zpUstNbm-XP3Oig9-wy3zp9R-BrZUEHsnDUMoxPVY2gIHi6BDa6_rDHpK7oaF7HAnd9ZFiQBYsy3Njq3zxPcuwy3zpUstNbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstiyRCs9RotQRCwP3NhUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUEo_nOHsHDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUsHdoAri997?ob=23&t=desktop&management_type=1&keywords=asus+tuf&is_search=1&dv=desktop&page=1&src=search&r=https%3A%2F%2Fwww.tokopedia.com%2Fdealerapple%2Fasus-tuf-a15-i7-10750h-gtx-1650-fx506lh-i765b6t-fhd-144hz-8gb-512gb%3Fsrc%3Dtopads,03-10-2020
Laptop ASUS TUF A15 FX506II-R55TB6T Ryzen 5 4600H 8GB 512GB GTX1650Ti - FORTRESS GREY,13.413.000,Jakarta Pusat, 10,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEosnOo_jdH_KDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUst7bm-7q3OBUsthosnhosjd6A1Rbm-srcHi6seFHmFiy3zwrfo5rM1i6sJpHpnXosjRoiFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z_VHqMr7_32oH1OkqpCouJ1p_M2zH7B2PfBxHByOgAUN8u2c692gHsBN3Bo-ojBke3BHe72OysUOqB2_Z_g-QugW_BzgoVB1gRPHu71p_92oPJNJ3MOv1pnO_7zCHjh9Z92qqMHp3M2Zq7OkqR2qe7BpZ37N83V9gICiQAB03BxmgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Aom83Ua1sVgHO-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7N5ysomgMV913Bvq1BRZ3BRq3oyuMhsQMhMgJPcQMoNZ_g-Q9PdyjrNHfgU8IooQAxE_7zzHfgU8VzZu3z61B1OuuKFujYZH9oX3ux6H3oNesCjuOBX3Vxd6V1Fujx1uugvujyNZBz01M-GHjgEgVxogfzUuMOGH_JdgjP78B29gAxMZJdFyBo-r7BX_M2iH72D3A-G83UpgI2q17jfZ32-H7O_oIB6qj1a_uzsH7NkyRP6zcWEZ3BRq3Ha_SgsQugMyp-3qcoW_MY-qMY2_32gHjhkz92vuVuE_BzuoJNEe9P6uVjFZ3dFvZUDUSupg9-wq3ei6iUFUiFiy3hSUstirRzW9fWpg3PwQA-wQAJibm-XP3Oig9-wQfgwy3zpUstNbm-XP3Oig9-wy3zp9R-BrZUEHsnDUMoxPVY2gIHi6BDa6_rDHpK7oaF7HAnd9ZFiQBYsy3Njq3zxPcuwy3zpUstNbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstiyRCs9RotQRCwP3NhUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUEHsKposUDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUsHdoAri997?management_type=1&is_search=1&keywords=asus+tuf&ob=23&r=https%3A%2F%2Fwww.tokopedia.com%2Fipadstuff%2Flaptop-asus-tuf-a15-fx506ii-r55tb6t-ryzen-5-4600h-8gb-512gb-gtx1650ti-fortress-grey%3Fsrc%3Dtopads&src=search&page=1&t=desktop&dv=desktop,03-10-2020
ASUS TUF A15 i5-10300H GTX 1650 FX506LH-I565B6B 144Hz 8GB 512GB FHD - Bonfire Black,13.464.000,Jakarta Pusat, 1,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEos1FHsr7o_jDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstObm-7q3OBUsthosnhosjd6A1Rbm-srcHi6srFHmFiy3zwrfo5rM1i6sJpo_nXop1pHaFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z9P-q9P2y_-3o3ea69BqzsBE3_UN8u2_Z_g-qjV2_JoGP3Uao32q17jfZ3O3Q1N13_zgucPR_VPVH7OE_9z6zV2W_OHFo1YJe_-Hu7BE3M2sHO2k1MWoqMWE3jo-r7BW69BxufzFyMFNqO2yeMgxuOV2_fB-P7B2PfBiH72F3s-DPuKpeSBiHBUh3_oZgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Ao6QfUpeMgxuOV2_fB-P7B2PfBs3VgDyfNDgMzIzMNs81jfZ3OR8c-I6_oMZIxp_3Fd8jYJ1_oMZIx11Buj_B-uouuyHVgv1sVpQBBy_sVs81UFgVPgQBxy8AxuHVgUuVu3_Ogc6121qO-iZs-c8Mzy_3PjZVgWZsJh6cgIPI2qufedgjx6Hc-_Z9o-QjNkysoGQVKaZSBiHfzE3Bo-ojBkZ_zoepeh_1zuHJN1gpzouJ7h_M2CH1B2PfBsHjNfyfO3gMHauMxsQ1N5Z325q1OkyRPHqj1h_1zgHjN11_z6qBVR_1zVq3gzv_7ibm-Orfua9fBjUstiHmUDUMVDgaUEUSo7QuY0rfuS9fFa9fFhUiFiQSuWyMua9fYM9fVjraUE6ZFiQSuWyMua9fVjrOYag9Ji6sUFbm-sy9zwq3zpUs2QHsjRbAHdoArDoAnF6V7DUMNwyfVXgcBjy9zB9fVjraUE6ZFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMoFyOYpqcYF9RuXrZUDUSgBrSo2Qfdi6i-fHiUDUMoDP9o7g9-wq3zwPsUi6sUdHpyabm-sy9zBgfYa8uYpP3PSg9o79fV7PI-2ySu7gZUE3aUp6AeRUBOY?t=desktop&is_search=1&keywords=asus+tuf&ob=23&r=https%3A%2F%2Fwww.tokopedia.com%2Fdealerapple%2Fasus-tuf-a15-i5-10300h-gtx-1650-fx506lh-i565b6b-144hz-8gb-512gb-fhd-bonfire-black%3Fsrc%3Dtopads&page=1&src=search&management_type=1&dv=desktop,03-10-2020
ASUS TUF Gaming A15 FX506II R7-4800H 8GB 512GB GTX1650TI IPS 144Hz W10,15.499.000,Jakarta Pusat, 32,https://www.tokopedia.com/collinsofficial/asus-tuf-gaming-a15-fx506ii-r7-4800h-8gb-512gb-gtx1650ti-ips-144hz-w10?whid=0,03-10-2020
ASUS TUF GAMING A15 FX506IU RYZEN 7 4800H 8GB 256GB+1TB GTX1660Ti 6GB,17.199.000,Jakarta Pusat, 15,https://www.tokopedia.com/protechcom/asus-tuf-gaming-a15-fx506iu-ryzen-7-4800h-8gb-256gb-1tb-gtx1660ti-6gb?whid=0,03-10-2020
ASUS TUF Gaming A15 FX506IH R5-4600H 8GB 512GB GTX1650 IPS 144Hz W10,12.669.000,Jakarta Pusat, 11,https://www.tokopedia.com/collinsofficial/asus-tuf-gaming-a15-fx506ih-r5-4600h-8gb-512gb-gtx1650-ips-144hz-w10?whid=0,03-10-2020
ASUS TUF GAMING A15 FX506II 144Hz Ryzen 5 4600H GTX1650Ti 4GB W10,13.499.000,Jakarta Utara, 51,https://www.tokopedia.com/toptech/asus-tuf-gaming-a15-fx506ii-144hz-ryzen-5-4600h-gtx1650ti-4gb-w10-abu-abu?whid=0,03-10-2020
ASUS TUF A15 FX506II 144Hz Ryzen 7 4800H 8GB 512ssd GTX1650Ti 4GB W10,15.299.000,Jakarta Utara, 43,https://www.tokopedia.com/toptech/asus-tuf-a15-fx506ii-144hz-ryzen-7-4800h-8gb-512ssd-gtx1650ti-4gb-w10-abu-abu?whid=0,03-10-2020
