name,price,location,reviews,link,date
Lenovo Yoga C940 14iiL 2in1 4K UHD Touch i7 1065G7 16GB 1TBssd W10,20.899.000,Jakarta Utara, 1,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEosedH_KOosnDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUsthbm-7q3OBUsthosnho_eF6ArFbm-srcHi6sHOHmFiy3zwrfo5rM1i6sJp6AJXo_jNoiFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z_oHqMPN_OzVoJO11_u6zVja_uz081O_Z9o-Q9zDguxjPMoW1MgsHjNfyfOuq1Y2Z9P-q9P2yM7NPujau3Bvq12W_jzg8BB1Z92v1pCE_jz3qJh119xvzVB7_OPqqV22HAzouOuN_M2-oJNke9xg8jB2_JoGPMoWQcNxupuM3jP3POKaQcW-qMY2_1o-r7BW69BxufzFyMFNPfoW63Wju7dF3A-Dq7BkQfBoe7BpZ37N83V9gICiQABEy1rNPOKaQcW-qMY2_1o-r7BXzsVq3JtO3AoZqVtp_3Bvq1211Buj_B-uouuyHVgv1sVpQM-IuSuiHO2fZ1xDPBtaz3Ny3IKdu_C3ZVzuujY3zsBGucWZyjta8chiQ_jaySBmo3UagcxGH_JdgjPR8c-I6_oMZIxp_3Fd8jYJ1_CMZIxayp-3QMgU8I2jzpC2_JoG8Bja69BqusB2yf7NHfHau3Bvq1BN_M2oP1YJu_V6zJ7p_uzSoJOku9P6q1BpZ3N6qMUpZMhyH7ND3uxGqMVAZ_g-qjjp_Mj78jO1qpuoqMPd_M2C8jOJZ_-617tNUiFiP9oBrBY2gmUEUsnibm-xQcri6i-pPcOwqRoBgOYDHBYDHZUDUMNOQ3-BrBY5gBYxgIHi6s1DUMNOQ3-BrBYxgIowrMuhUstaHmFiyfV79fBjraUE3pUNoaFp6Ae7bAHN6A-Pbm-X9foxQMz2gcV7guYxgIHi6s1DUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-jg3yibm-fg9-pq3YXUstiPsUibm-sQIupPcua9fBj9RyaUstp6_HFbm-sy9zBgfYa8uYpP3PSg9o79fV7PI-2ySu7gZUE3aUp6Ae7UBOY?dv=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Fmimomart%2Flenovo-yoga-c940-14iil-2in1-4k-uhd-touch-i7-1065g7-16gb-1tbssd-w10%3Fsrc%3Dtopads&page=1&src=search&keywords=lenovo+yoga&ob=23&management_type=1&t=desktop&is_search=1,01-10-2020
One Netbook One Mix Mirip GPD Pocket/Lenovo Yoga/Macbook Laptop Mini,10.500.000,Tangerang, 5,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEHsepHpJRos1DUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstabm-7q3OBUsthosnho_eF6ArFbm-srcHi6sHNHmFiy3zwrfo5rM1i6sJpHprXH_ehoiFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z9xoq_ea_BzS81Okypz6zcPd_1zV81Nk33BHe72a3BxDHfUpZMWyH7NkysoGQJBkQfBoe7BpZ37OPM-W_Mh-qMY23M2zHj7az9Bo8MW7_92zHuB_HACoucra_VzDQuB939zvzJgD_32g81YJ39Pou7ONZ3BRq3UpZSCqHMhO3A-ZQcoc69Cqe7jfZ32Cq1hAZSgsQ3hXyurOgMoUZSgqZVgkgJyNrV2AZ_g-qjV2_JoGPMoWQcNxupuMyp-tPMoc69Cqe7jfZ32Cq1hAZSxjuOgNguyNHVB9gI2-qMY2u_C3ZVzuujY3zsBcucWjyjta8chiQ_jaySBmo3UagcxGH_Jdgjg6zBUFH1g1QV-M1O1OzuPNgIoqupufgc7dgfu963Ng1fzjgjxdr7O98IgjHRKdyjzGgjOEgpC6ZIKdy_o6QVtp8AxsHO-7Z3BRq3Ha_SgsQugM33NGPMep_Mh-qMY2_32uoJhke_CozJVd_Bz-HjNku_uvzJ7hZ3BRq3Ha_SgsQugMyp-3qcoW_MY-qMY2_32gH7hk19BvzJOR_jzso1OEgpz6qBjFZ3dFvZUDUSupg9-wq3ei6iUFUiFiy3hSUstirRzW9fWpg3PwQA-wQAJibm-XP3Oig9-wQfgwy3zpUstObm-XP3Oig9-wy3zp9R-BrZUEHsnDUMoxPVY2gIHi6BDa6_rDHpK7omFp6_Ka9ZFiQBYsy3Njq3zxPcuwy3zpUstObm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstigcuMUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUEHpnFH_jDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUsHdoAei997?dv=desktop&src=search&keywords=lenovo+yoga&ob=23&is_search=1&management_type=1&page=1&t=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Fstoneedge%2Fone-netbook-one-mix-mirip-gpd-pocket-lenovo-yoga-macbook-laptop-mini%3Fsrc%3Dtopads,01-10-2020
Thinkpad Yoga X1 Carbon Ci5-8250U Ram 8GB 256GB 14 FHD,13.699.000,Jakarta Utara, 2,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEHpHFH_rNHA1DUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstpbm-7q3OBUsthosnho_eF6ArFbm-srcHi6seFHmFiy3zwrfo5rM1i6sJhHpeXo_JObm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1ONoIBoqB17_1zgHJN1z_-ouJjO_1zoq1hAZM2jZJ2Myp-3qcoW_MY-qMY2_uzzP1N11_V6zV1F_BzzH1NJu_C6uVJhZ3BRq3JausujHsBN3jyN8Bja69Bq17jfZ32Cq1hAZSuiHsuk3Bo-ojBW3_C6qjNt_32oo1h1__C6u7u7_jzVoJN2HAuqQ1gW_VzS8V21Z_-oqMra_1zcqjO2Z9o-Q_BNyuPjrc-D63Wq3J-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7-Nys-ZHujp1MgxuOV2_fB-P7B2PfBiH72F3s-DPuKp_MYiH7-MyuPzq1Y2Z9P-q9P2yOx3QcoXQcgjz7gXyRB-ojBWPRBy8j77_jzZ6cgU_sCi3IKdyjzcrfUpyfBHe72E3_UN8u2363BsQ_jpyp-uq1Y2Z9B68BVO_jzo8jN13_o6zcrp_uzV8JN_Z9o-QjNkysoGQVKp_Mhg3J2ky1o-ojBkZ_zo8_ea_32SH7N1gpz6qMrh_M2u8JNNZsjibm-Orfua9fBjUstiHmUDUMVDgaUEUMVDPVY0g9BRQR-j9fzBgMVOQIeibm-XP3Oig9-wQfgwy3zpUstObm-XP3Oig9-wy3zp9R-BrZUEHsnDUMoxPVY2gIHi6BDa6_rDHpK7omFp6_Ka9ZFiQBYsy3Njq3zxPcuwy3zpUstObm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstiyRCs9RotQRCwP3NhUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUEHpjpHmFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDiHpK7om-Pbm-xQIzBrMNxPcuwqfuNPfYagmUEUSztq3N0rcVjUIB5gfJiwe?is_search=1&keywords=lenovo+yoga&page=1&ob=23&r=https%3A%2F%2Fwww.tokopedia.com%2Flaptopgaming%2Fthinkpad-yoga-x1-carbon-ci5-8250u-ram-8gb-256gb-14-fhd%3Fsrc%3Dtopads&src=search&t=desktop&dv=desktop&management_type=1,01-10-2020
Thinkpad Yoga X1 GEN4 X360 i5 8265 8GB 256 SSD W10 14.0FHD Touch,13.699.000,Jakarta Utara, 4,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEo_r7oAydosHDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUst7bm-7q3OBUsthosnho_eF6ArFbm-srcHi6seFHmFiy3zwrfo5rM1i6sJFo_jXHsJFoaFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z9P-q9P2y_-3o3ea69BqzsBE3_UN8u2_Z_g-qjV2_JoGP3Uao32q17jfZ3OgHJNk_Mxoqj7O_VzoHJN9z9z6zJ17_MjFou2WzMOHucPd3Bz-HjOkgp-ozJgk_3B-r7BW69BxufzFyMFNqO2yeMgxuOV2_fB-P7B2PfBiH72F3s-DPuKpeSBiHBUh3_oZgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Ao6QfUpeMgxuOV2_fB-P7B2PfBs3VgDyfNDgMzIzMNs81jfZ3OR8uxE__z6zVUdgjx6Hc-y8AxizJgpysosq1hAZS2gHsBN3ByNq3oW6_osHBu2_fB-81N139u6qB1a_Bzzo1YJZ_-o8jjp_Bo-r7BX_M2iH72D3Ao6QVByZM2xe7jfZ32-HjNAoAzozJja_S2SP7OJZ_u6uJVEZ3dFvZUDUSupg9-wq3ei6iUFUiFiy3hSUstiy3h79fWB89P5rMzwgcuMy9uDPmUDUMNOQ3-BrBY5gBYxgIHi6s1DUMNOQ3-BrBYxgIowrMuhUstaHmFiyfV79fBjraUE3pUNoaFp6Ae7bAHN6ABPbm-X9foxQMz2gcV7guYxgIHi6s1DUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-srcowrfx5rVYOQSJibm-fg9-pq3YXUstiPsUibm-sQIupPcua9fBj9RyaUstp6_HFbm-sy9zBgfYa8uYpP3PSg9o79fV7PI-2ySu7gZUE3aUp6Ae7UB7DUMVDPcuaQMV7guY0g9BRQR-jUstiPcx2QMWFy3eK83YSyZ-Y?ob=23&management_type=1&is_search=1&r=https%3A%2F%2Fwww.tokopedia.com%2Flaptopgaming%2Fthinkpad-yoga-x1-gen4-x360-i5-8265-8gb-256-ssd-w10-14-0fhd-touch%3Fsrc%3Dtopads&keywords=lenovo+yoga&page=1&t=desktop&src=search&dv=desktop,01-10-2020
Laptop Thinkpad Yoga X1 GEN4 i7 8565 16GB 512ssd W10 14.0FHD Touch,19.299.000,Jakarta Utara, 2,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEo_r7oAydosKDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstObm-7q3OBUsthosnho_eF6ArFbm-srcHi6seFHmFiy3zwrfo5rM1i6sJFoA1XoA1OHZFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBo81BpZ3O6HcoD692qu7gN3_-Sq1Y2Z9P-q9P2y_-3o3ea69BqzsBE3_UN8u2_Z_g-qjV2_JoGP3Uao32q17jfZ3OgHJNk_Mxoqj7O_VzoHJN9z9z6zJ17_MjFou2WzMOHucPd3Bz-HjOkgp-ozJgk_3B-r7BW69BxufzFyMFNqO2yeMgxuOV2_fB-P7B2PfBiH72F3s-DPuKpeSBiHBUh3_oZgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Ao6QfUpeMgxuOV2_fB-P7B2PfBs3VgDyfNDgMzIzMNs81jfZ3OR8uxE__z6zVUdgjx6Hc-y8AxizJgpysosq1hAZS2gHsBN3ByNq3oW6_osHBu2_fB-81YJu9uoucHh_1zg8jN1Z9B6zJ17_jo-r7BX_M2iH72D3Ao6QVByZM2xe7jfZ32-HjO_oI26qj7p_S2gP7YJZ_CoqMPEZ3dFvZUDUSupg9-wq3ei6iUFUiFiy3hSUstiy3h79fWB89P5rMzwgcuMy9uDPmUDUMNOQ3-BrBY5gBYxgIHi6s1DUMNOQ3-BrBYxgIowrMuhUstaHmFiyfV79fBjraUE3pUNoaFp6Ae7bAHN6ABPbm-X9foxQMz2gcV7guYxgIHi6s1DUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-srcowrfx5rVYOQSJibm-fg9-pq3YXUstiPsUibm-sQIupPcua9fBj9RyaUstp6_HFbm-sy9zBgfYa8uYpP3PSg9o79fV7PI-2ySu7gZUE3aUp6Ae7UB7DUMVDPcuaQMV7guY0g9BRQR-jUstiPcx2QMWFy3eK83YSyZ-Y?src=search&t=desktop&dv=desktop&keywords=lenovo+yoga&r=https%3A%2F%2Fwww.tokopedia.com%2Flaptopgaming%2Flaptop-thinkpad-yoga-x1-gen4-i7-8565-16gb-512ssd-w10-14-0fhd-touch%3Fsrc%3Dtopads&page=1&ob=23&management_type=1&is_search=1,01-10-2020
Lenovo Yoga Slim 7 14ARE05 11ID | Ryzen 7 4800U 16GB 1TBssd W10 14FHD,17.599.000,Jakarta Utara, 6,https://www.tokopedia.com/amd-id/lenovo-yoga-slim-7-14are05-11id-ryzen-7-4800u-16gb-1tbssd-w10-14fhd?whid=0,01-10-2020
Lenovo Yoga C640 i5-10210U 8GB 512GB SSD 13FHD IPS Touch FREE Office,12.599.000,Jakarta Selatan, 7,https://www.tokopedia.com/omgits/lenovo-yoga-c640-i5-10210u-8gb-512gb-ssd-13fhd-ips-touch-free-office?whid=0,01-10-2020
LENOVO YOGA S940-14IIL - i7-1065G7- IRON GREY - WIN10+OHS (81Q8002NID),24.999.000,Jakarta Pusat, 5,https://www.tokopedia.com/lenovo-official/lenovo-yoga-s940-14iil-i7-1065g7-iron-grey-win10-ohs-81q8002nid?whid=0,01-10-2020
Lenovo Yoga C740-14IML-9NID x360 i7 10710 16GB 1TB ssd W10+OHS 14FHD,17.299.000,Jakarta Utara, 5,https://www.tokopedia.com/royalltech/lenovo-yoga-c740-14iml-9nid-x360-i7-10710-16gb-1tb-ssd-w10-ohs-14fhd?whid=0,01-10-2020
Ultrabook Lenovo Thinkpad Yoga S1 Core i5 gen 4 murah,5.300.000,Jakarta Timur, 10,https://www.tokopedia.com/thinpadpdg/ultrabook-lenovo-thinkpad-yoga-s1-core-i5-gen-4-murah?whid=0,01-10-2020
