name,price,location,reviews,link,date
MSI GF63 Thin i5-9300H 256GB SSD 8GB GTX 1650 Ti Max-Q Win 10,11.299.000,Jakarta Barat, 2,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEos1fo_jFoAeDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUsthbm-7q3OBUsthosna6AUFHs1Rbm-srcHi6sHOHmFiy3zwrfo5rM1i6sUdomd7HAeRHpUhosJ7HAUabm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1O_oIPouJVd_1zVP7O1e9xozJuR_uzC81B2PfBgHO-N3Ao6QVByZM2xe7jfZ32VP7hk39xvuVJa_OzC81Nku_CvzVjp_9B-r7BWPchB3czfyfOZgMHa_SgsQuu2_fB-P7B2PfBiQ_BO3_-uq1Y2ZMW6zVVd3BzVHjO2HAu68MoN_VzZqBBE39zvzOg0_MjhqB29u9xozVVN3Bzo8JY1qfBHe72fyfODQMV9o3gqzOgR3A-Dq7BkQfBoe7BpZ37N83V9gICiQABRyf7Nqfz9_sCyHMh0Z325q1OAZ9o-Q_BNyuPjrc-D692xzpBR3A-Dq7BkQfBoe7BpZ3NcHu2yZsuyHO-t3sooq1Y2ZSooQ9xfgAod6c-JzSoiHfedgjPR8BxE19PozcKdgjx6Hc-_Z9o-QjNkysoGQVKaZSBiHfzE3Bo-ojBkZ_z6epeh_S2V8jOkyRxouVJa_7zzoJB2PfBsHjNfyfO3gMHauMxsQ1N5Z325q1OkgpCHqBVR_jzs8jOkz_-ouVVR_32-q3gzv_7ibm-Orfua9fBjUstiHmUDUMVDgaUEUSo7QuYDHOYDHBYDHZUDUMNOQ3-BrBY5gBYxgIHi6sHDUMNOQ3-BrBYxgIowrMuhUstaHmFiyfV79fBjraUE3pUNoaFp6AeRbAeFHAxPbm-X9foxQMz2gcV7guYxgIHi6sHDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-srcowrfx5rVYOQSJibm-fg9-pq3YXUstiPsUibm-sQIupPcua9fBj9RyaUstdosyDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUseFHAKibmUp6_KaUiFiHpjFHiUDUsHNHAHibmUp6_KfUBOY?r=https%3A%2F%2Fwww.tokopedia.com%2Fsinarmulia%2Fmsi-gf63-thin-i5-9300h-256gb-ssd-8gb-gtx-1650-ti-max-q-win-10%3Fsrc%3Dtopads&is_search=1&keywords=msi+gf63&t=desktop&dv=desktop&page=1&ob=23&src=search&management_type=1,16-10-2020
Laptop Asus FX506IV-R7R6B6T - Fortess Gray [Ryzen7 4800H-8GB-512GB-W10,20.199.000,Yogyakarta, 1,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEosr7oAyfo_JDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstabm-7q3OBUsthosna6AUFHs1Rbm-srcHi6seFHmFiqfuNPfYagVY2gmUEHsnaH_1RHseDUMVj9RosQR-BUstaoA1XHsUdoAURH_UpHprf6_1DUSHp9fh5gaUEUMuNZM2jZJ2M33NGPMep_Mh-qMY2_1o-r7BW_sCsQABE3BPc8ujagfBvq1BN_c2-HJNEz_uouJVd_uz-8jN1qpV617BpZ3O7QcuygIgsQu-Myp-6PMoWu3Bvq1BR_c2C8jN_Z9o-Q_ufyMO6QJBkQfBqzVJF_uPu8JNkZ9zvucHp_3jFHVja__-HucxD3jzgPVjauMhouJJF_3Ou8jO1qpu-q9P2ysoGrVtaQIuyHB-Dy7yNrV2AZ_g-qjV2_JoGPMoWQcNxupuMy7xGPB2UuM2jzsBF3jo-ojBke3BHe72fyfODQMV9o3gsHMxfy7yNrV2AZ_g-qjV2_JoG8cz9uSBBusjF3uPj8jBkQfBxHO-My7Pt8uBy_Mh-q9P2yp-6PMoWuMggQj2fgAo6QJBkQfBoe7BpZ3N6qMUpZMhyH7ND3uxGqMVAZ_g-qjjF_BH781OkgpCoqMod_32o8jNE3_u617tNUiFiP9oBrBY2gmUEUsnibm-xQcri6i-0PVYFqI-xrf1ibm-XP3Oig9-wQfgwy3zpUstpbm-XP3Oig9-wy3zp9R-BrZUEHsnDUMoxPVY2gIHi6BDa6_rDHpK7oaF7HAnd9ZFiQBYsy3Njq3zxPcuwy3zpUstpbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstiyRCs9RotQRCwP3NhUiFiPMuarfB5QiUEUSyaUiFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDioAnF6mUDUsHN6AUibmUp6_naUiFiHpjFHaUDUsHN6Ayi997?keywords=msi+gf63&t=desktop&dv=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Felscomputer%2Flaptop-asus-fx506iv-r7r6b6t-fortess-gray-ryzen7-4800h-8gb-512gb-w10%3Fsrc%3Dtopads&page=1&src=search&ob=23&is_search=1&management_type=1,16-10-2020
Acer Nitro 5 AN515-55-58X3 - Black [i5 10300H-8GB-512GB-GTX1650Ti-W10],13.999.000,Yogyakarta, 1,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEosr7oAyfos1DUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstpbm-7q3OBUsthosna6AUFHs1Rbm-srcHi6seFHmFiqfuNPfYagVY2gmUEHsnaH_1RHseDUMVj9RosQR-BUstaoAeXo_JR6AHhHsUN6_ydo_UDUSHp9fh5gaUEUMuNZM2jZJ2M33NGPMep_Mh-qMY2_1o-r7BW_sCsQABE3BPc8ujagfBvq1BE_c2o8jOE_92o8jOE_92o8jOE_92o8Bu2_JoGrB2yQAoiH7203Ao6qMUpZMh-qMY2_1H7P7OEu3BHe72OysUOqB2_Z_g-QuJF_jzcQJO139BHucDp_S2-PJNI_M26q_n73BPzHjh9_MhquJuR_jzGQJOEz_uv17BpZ37N83V9gICiQAB03BxmgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Aom83Ua1sVgHO-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7N5ysomgMV913Bvq1BRZ3BRq3oyuMhsQMhMgJPcQMoNZ_g-Q9eF3AomQfoWzS2q17BpZ3N6qMUpZMhyHj2Nysoj8B2_Z_g-qjV2_JoG8Bja69BqusBE3BPc8ujagfBvq1BN_jzzP1N1z_ovzJOd_32-o1Y13_z6uJB2gBJYvZUDUSupg9-wq3ei6iUFUiFiy3hSUstiqRzwrcxay9oBUiFiQSuWyMua9fYM9fVjraUEHaFiQSuWyMua9fVjrOYag9Ji6sUFbm-sy9zwq3zpUs2QHsjRbAHdoArDoAnF6V7DUMNwyfVXgcBjy9zB9fVjraUEHaFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMoFyOYpqcYF9RuXrZUDUSgBrSo2Qfdi6i-fHiUDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUseFHAKibmUp6_KaUiFiHpjFHiUDUsHNHAHibmUp6_KfUBOY?t=desktop&management_type=1&page=1&dv=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Felscomputer%2Facer-nitro-5-an515-55-58x3-black-i5-10300h-8gb-512gb-gtx1650ti-w10%3Fsrc%3Dtopads&keywords=msi+gf63&src=search&is_search=1&ob=23,16-10-2020
MSI Notebook GF63 9RCX [9S7-16R312-623] - Black,10.799.000,Jakarta Pusat, 6,https://www.tokopedia.com/msi-official/msi-notebook-gf63-9rcx-9s7-16r312-623-black?whid=0,16-10-2020
MSI GF63 Thin 10SCSR [9S7-16R412-677] i7-10750H 8G 512GB GTX1650Ti 4GB,15.999.000,Jakarta Pusat, 8,https://www.tokopedia.com/msi-official/msi-gf63-thin-10scsr-9s7-16r412-677-i7-10750h-8g-512gb-gtx1650ti-4gb?whid=0,16-10-2020
"MSI GF63 Thin 9RCX-623ID i5-9300H/256GB/8GB/GTX1050Ti/15""/W10H",10.999.000,Jakarta Pusat, 4,https://www.tokopedia.com/infonetmanggadua/msi-gf63-thin-9rcx-623id-i5-9300h-256gb-8gb-gtx1050ti-15-w10h?whid=0,16-10-2020
LAPTOP MSI GF63 9SCSR [9S7-16R412-883] i5-9300H 8GB 256GB GTX1650Ti 4G,11.499.000,Jakarta Pusat, 18,https://www.tokopedia.com/msi-official/laptop-msi-gf63-9scsr-9s7-16r412-883-i5-9300h-8gb-256gb-gtx1650ti-4g?whid=0,16-10-2020
MSI GF63 Thin i5-9300H 256GB SSD 8GB GTX 1650 Ti Max-Q Win 10,11.299.000,Jakarta Barat, 2,https://www.tokopedia.com/sinarmulia/msi-gf63-thin-i5-9300h-256gb-ssd-8gb-gtx-1650-ti-max-q-win-10?whid=0,16-10-2020
LAPTOP MSI GF63 9SCXR [9S7-16R412-838] i5-9300H 8GB 256GB GTX1650 4GB,10.999.000,Jakarta Pusat, 27,https://www.tokopedia.com/msi-official/laptop-msi-gf63-9scxr-9s7-16r412-838-i5-9300h-8gb-256gb-gtx1650-4gb?whid=0,16-10-2020
LAPTOP MSI GF63 9SCSR [9S7-16R412-882] i7-9750H 8GB 512GB GTX1650Ti 4G,13.499.000,Jakarta Pusat, 9,https://www.tokopedia.com/msi-official/laptop-msi-gf63-9scsr-9s7-16r412-882-i7-9750h-8gb-512gb-gtx1650ti-4g?whid=0,16-10-2020
"MSI GF63 Thin 9RCX-622ID i7-9750H/256GB/8GB/GTX1050Ti/15""/W10H",12.799.000,Jakarta Pusat, 6,https://www.tokopedia.com/infonetmanggadua/msi-gf63-thin-9rcx-622id-i7-9750h-256gb-8gb-gtx1050ti-15-w10h?whid=0,16-10-2020
"MSI GF63 677 10SCSR I7-10750H/8GB/512GB SSD/GTX1650Ti 4GB/15.6""/W10",15.499.000,Jakarta Pusat, 2,https://www.tokopedia.com/infonetmanggadua/msi-gf63-677-10scsr-i7-10750h-8gb-512gb-ssd-gtx1650ti-4gb-15-6-w10-hitam-8-gb?whid=0,16-10-2020
"MSI GF63 9SC 621ID I5-9300H,8GB,256NVME,GTX1650 4GB,15.6""FHD,Win10 IPS",11.800.000,Bekasi, 19,https://www.tokopedia.com/dennisolshop/msi-gf63-9sc-621id-i5-9300h-8gb-256nvme-gtx1650-4gb-15-6-fhd-win10-ips?whid=0,16-10-2020
LAPTOP MSI GF63 9SCXR [9S7-16R412-837] i7-9750H 8GB 512GB GTX1650 4GB,13.499.000,Jakarta Pusat, 16,https://www.tokopedia.com/msi-official/laptop-msi-gf63-9scxr-9s7-16r412-837-i7-9750h-8gb-512gb-gtx1650-4gb?whid=0,16-10-2020
"MSI GF63 Thin 9RCX - 622 i7-9750H/16GB/256GB+1TB/GTX1050Ti/15,6""/Win10",14.499.000,Jakarta Pusat, 1,https://www.tokopedia.com/infonetmanggadua/msi-gf63-thin-9rcx-622-i7-9750h-16gb-256gb-1tb-gtx1050ti-15-6-win10?whid=0,16-10-2020
MSI GF63 9RCX-623ID I5-9300H 8GB 256GB SSD GTX1050Ti 4GB 15.6'' WIN 10,11.499.000,Jakarta Pusat, 1,https://www.tokopedia.com/collinsofficial/msi-gf63-9rcx-623id-i5-9300h-8gb-256gb-ssd-gtx1050ti-4gb-15-6-win-10?whid=0,16-10-2020
MSI GF63 i7 9750 8GB 512ssd GTX1650Ti 4GB W10 15.6FHD BLACK,12.859.000,Jakarta Utara, 1,https://www.tokopedia.com/prostorecomputer/msi-gf63-i7-9750-8gb-512ssd-gtx1650ti-4gb-w10-15-6fhd-black?whid=0,16-10-2020
"MSI GF63 9SCSR 883 i5-9300H/8GB/256GB/GTX1650Ti 4GB/15,6""FHD IPS/WIN10",11.499.000,Jakarta Pusat, 9,https://www.tokopedia.com/infonetmanggadua/msi-gf63-9scsr-883-i5-9300h-8gb-256gb-gtx1650ti-4gb-15-6-fhd-ips-win10-hitam-8-gb?whid=0,16-10-2020
Laptop GAMING MSI GF63 i7 9750H 256GB 8GB GTX 1050Ti-4GB W10 Murah,12.699.000,Surabaya, 3,https://www.tokopedia.com/dutasarana168/laptop-gaming-msi-gf63-i7-9750h-256gb-8gb-gtx-1050ti-4gb-w10-murah?whid=0,16-10-2020
LAPTOP MSI GF63 9SCSR 883 i5-9300H 8GB 256GB GTX1650Ti 4GB WIN10,11.299.000,Surabaya, 1,https://www.tokopedia.com/dutasarana168/laptop-msi-gf63-9scsr-883-i5-9300h-8gb-256gb-gtx1650ti-4gb-win10?whid=0,16-10-2020
MSI GF63 i7 9750 8GB 512ssd GTX1650Ti 4GB W10 15.6FHD BLK -9SCSR.882,12.859.000,Jakarta Utara, 1,https://www.tokopedia.com/rogsstoreid/msi-gf63-i7-9750-8gb-512ssd-gtx1650ti-4gb-w10-15-6fhd-blk-9scsr-882?whid=0,16-10-2020
MSI GF63 9SCSR.882 | i7 9750 8GB 512ssd GTX1650Ti 4GB W10 15.6FHD,12.859.000,Jakarta Utara, 1,https://www.tokopedia.com/laptopgaming/msi-gf63-9scsr-882-i7-9750-8gb-512ssd-gtx1650ti-4gb-w10-15-6fhd?whid=0,16-10-2020
MSI GF63 9SCXR-837ID I7-9750H 8GB 512GB SSD GTX1650 4GB 15'' FHD W 10,12.899.000,Jakarta Pusat, 1,https://www.tokopedia.com/zxcomputer/msi-gf63-9scxr-837id-i7-9750h-8gb-512gb-ssd-gtx1650-4gb-15-fhd-w-10?whid=0,16-10-2020
MSI GAMING GF63 9SCR-883 Intel i5-9300H 8GB 256GB GTX1650Ti MAX-Q W10,11.499.000,Jakarta Pusat, 1,https://www.tokopedia.com/globalpersadasys/msi-gaming-gf63-9scr-883-intel-i5-9300h-8gb-256gb-gtx1650ti-max-q-w10?whid=0,16-10-2020
MSI Gaming Laptop GF63-10SCR-677 i7-10750H 8GB 512GB GTX1650Ti 144Hz,15.999.000,Jakarta Pusat, 1,https://www.tokopedia.com/globalpersadasys/msi-gaming-laptop-gf63-10scr-677-i7-10750h-8gb-512gb-gtx1650ti-144hz?whid=0,16-10-2020
MSI GF63 9SCXR-837 i7-9750H_512GB.SSD_8GB_GTX1650-4GB_Win10Home,12.999.000,Jakarta Pusat, 4,https://www.tokopedia.com/infonetmanggadua/msi-gf63-9scxr-837-i7-9750h-512gb-ssd-8gb-gtx1650-4gb-win10home?whid=0,16-10-2020
"MSI Thin GF63 9SCSR i7-9750H GTX 1650Ti 8GB 512GB 15.6"" 9S7-16R412-882",12.853.000,Jakarta Pusat, 1,https://www.tokopedia.com/distrilapid/msi-thin-gf63-9scsr-i7-9750h-gtx-1650ti-8gb-512gb-15-6-9s7-16r412-882?whid=0,16-10-2020
"MSI GF63 9SCSR 882 i7-9750H/8GB/512GB/GTX1650Ti 4GB/15,6FHD IPS/WIN10",13.499.000,Jakarta Pusat, 3,https://www.tokopedia.com/infonetmanggadua/msi-gf63-9scsr-882-i7-9750h-8gb-512gb-gtx1650ti-4gb-15-6fhd-ips-win10-hitam-8-gb?whid=0,16-10-2020
MSI GF63-9SCSR-883 I5-9300H 8GB 256GB SSD GTX1650Ti 4G WIN10,11.499.000,Jakarta Pusat, 1,https://www.tokopedia.com/vicmicindonesia/msi-gf63-9scsr-883-i5-9300h-8gb-256gb-ssd-gtx1650ti-4g-win10?whid=0,16-10-2020
MSI GF63 9SCXR-838 i5-9300H_256GB.SSD_8GB_GTX1650-4GB_Win10Home,11.099.000,Jakarta Pusat, 4,https://www.tokopedia.com/infonetmanggadua/msi-gf63-9scxr-838-i5-9300h-256gb-ssd-8gb-gtx1650-4gb-win10home?whid=0,16-10-2020
LAPTOP MSI GF63 9SCSR-883|I5-9300H|8GB|256GB|GTX1650Ti 4GB|15.6|W10,11.499.000,Makassar, 1,https://www.tokopedia.com/smartmediacom/laptop-msi-gf63-9scsr-883-i5-9300h-8gb-256gb-gtx1650ti-4gb-15-6-w10?whid=0,16-10-2020
LAPTOP GAMING MSI GF63 9SCXR-837 I7-9750H/8GB/SSD 512GB/GTX 1650 4GB,13.149.000,Jakarta Pusat, 2,https://www.tokopedia.com/auratechnology/laptop-gaming-msi-gf63-9scxr-837-i7-9750h-8gb-ssd-512gb-gtx-1650-4gb?whid=0,16-10-2020
MSI GF63 9SC-621ID i5 9300H|RAM 16GB|1TB+256GB SSD|GTX1650 4GB|15.6FHD,11.899.000,Jakarta Pusat, 1,https://www.tokopedia.com/kbm24store/msi-gf63-9sc-621id-i5-9300h-ram-16gb-1tb-256gb-ssd-gtx1650-4gb-15-6fhd-8-gb?whid=0,16-10-2020
"MSI Thin GF63 9SCSR i5-9300H GTX 1650Ti 8GB 256GB 15.6"" 9S7-16R412-883",11.271.000,Jakarta Pusat, 5,https://www.tokopedia.com/distrilapid/msi-thin-gf63-9scsr-i5-9300h-gtx-1650ti-8gb-256gb-15-6-9s7-16r412-883?whid=0,16-10-2020
MSI GL62M Gaming i7 GDDR5X 1050 Ti/ ROG GL553VE GL503GE FX505GE GF63,12.350.000,Bandung, 5,https://www.tokopedia.com/gandante/msi-gl62m-gaming-i7-gddr5x-1050-ti-rog-gl553ve-gl503ge-fx505ge-gf63?whid=0,16-10-2020
MSI GF63 10SCSR-677 i7 10750H 8GB 512ssd GTX1650Ti 4GB W10 15.6FHD 144,15.489.000,Jakarta Utara, 1,https://www.tokopedia.com/prostorecomputer/msi-gf63-10scsr-677-i7-10750h-8gb-512ssd-gtx1650ti-4gb-w10-15-6fhd-144?whid=0,16-10-2020
Msi Gf63 i5 Gtx1650 TERMURAH,11.500.000,Malang, 1,https://www.tokopedia.com/homeitmalang/msi-gf63-i5-gtx1650-termurah?whid=0,16-10-2020
LAPTOP MSI GF63 9SCSR 882 i7-9750H 8GB 512GB GTX1650Ti 4GB WIN 10,13.300.000,Surabaya, 2,https://www.tokopedia.com/dutasarana168/laptop-msi-gf63-9scsr-882-i7-9750h-8gb-512gb-gtx1650ti-4gb-win-10?whid=0,16-10-2020
MSI GF63 i5 9300 8GB 256ssd GTX1650Ti 4GB W10 15.6FHD BLACK,11.099.000,Jakarta Utara, 1,https://www.tokopedia.com/prostorecomputer/msi-gf63-i5-9300-8gb-256ssd-gtx1650ti-4gb-w10-15-6fhd-black?whid=0,16-10-2020
MSI GF63 THIN 9SCSR - i5-9300H 8GB 256GB SSD GTX1650 Ti Max-Q 4GB W10,10.999.000,Jakarta Barat, 3,https://www.tokopedia.com/spacetech/msi-gf63-thin-9scsr-i5-9300h-8gb-256gb-ssd-gtx1650-ti-max-q-4gb-w10?whid=0,16-10-2020
MSI GAMING GF63 9SCSR I7 9750H 8GB 512GB-SSD GTX1650Ti-4GB 15.6-FHD,12.899.000,Jakarta Utara, 1,https://www.tokopedia.com/envicstore/msi-gaming-gf63-9scsr-i7-9750h-8gb-512gb-ssd-gtx1650ti-4gb-15-6-fhd?whid=0,16-10-2020
